"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"6228185","2016-09-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6228184","2016-09-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6228183","2016-09-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6228182","2016-09-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6228181","2016-09-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6228180","2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6228179","2016-09-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6228178","2016-09-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6228177","2016-09-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6228176","2016-09-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6228175","2016-09-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6228174","2016-10-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6228173","2016-10-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6228172","2016-10-05",NA,0.489239598278336,NA,NA,NA,NA,NA,NA,NA,NA,15.7214285714286,NA,NA
"6228171","2016-10-06",NA,0.277136258660508,NA,NA,NA,NA,NA,NA,63.2963988919668,NA,15.7052380952381,NA,NA
"6228170","2016-10-07",NA,0.296296296296296,0.35422405107838,NA,NA,NA,NA,NA,63.2963988919668,NA,15.6912063492064,NA,NA
"6228169","2016-10-10",NA,0.25679012345679,0.276740892804531,NA,NA,NA,NA,NA,62.4933244865923,NA,15.6577121693122,NA,NA
"6228168","2016-10-11",NA,0.283950617283951,0.279012345679012,0.303325763187308,NA,NA,NA,NA,62.8423700908301,NA,15.6433505467372,NA,NA
"6228167","2016-10-12",NA,0.113456464379947,0.218065735040229,0.257939657841258,NA,NA,NA,NA,58.9737436638685,NA,15.5349038071723,NA,NA
"6228166","2016-10-13",NA,0.121372031662269,0.172926371108722,0.223334817275988,18.0980313990475,14.0487352676192,16.0733833333333,0.235744197196423,59.0867600855079,NA,15.4449166328826,NA,NA
"6228165","2016-10-14",NA,0.0505952380952381,0.0951412447124846,0.162044450287145,17.7032924316991,14.6664742349675,16.1848833333333,0.186662177859668,59.6454408703401,NA,15.3855944151649,NA,NA
"6228164","2016-10-17",NA,0.0119047619047616,0.0612906772207561,0.109786097680654,17.5761711289019,14.5909288710981,16.08355,0.209610390558027,58.8419390996192,NA,15.3168484931429,NA,NA
"6228163","2016-10-18",NA,0,0.0208333333333332,0.0590884184221914,17.6004016283181,14.3668317050152,15.9836166666667,0.0570581842033103,55.0341337417106,NA,15.1746020273906,NA,NA
"6228162","2016-10-19",NA,0,0.00396825396825381,0.0286974215074478,17.4738498213188,14.2014168453478,15.8376333333333,0.0596650329441466,55.0341337417106,NA,15.0513217570718,NA,NA
"6228161","2016-10-20",NA,0.00253807106598979,0.000846023688663193,0.00854920366341685,17.2754656441348,14.1144676891985,15.6949666666667,0.120910858822695,55.088499194539,15.3844,14.9458121894622,NA,NA
"6228160","2016-10-21",NA,0.0380710659898478,0.0135363790186125,0.00611688555850995,17.287461269444,14.0174720638893,15.6524666666667,0.218918542063686,55.892515860427,15.49,14.8730372308673,-3.54974229894968,NA
"6228159","2016-10-24",NA,0.221354166666667,0.0873211012408346,0.0339011679827036,17.2848267880998,14.0424398785668,15.6636333333333,0.377569618388375,59.7705063279575,15.434,14.9032989334183,-3.13551123567581,NA
"6228158","2016-10-25",13.8967932796172,0.412067352666043,0.223830861774186,0.108229447344544,17.2002578596748,14.0274088069919,15.6138333333333,0.439118860223331,59.9384911678685,15.39524,14.9336590756292,-2.75842202084902,NA
"6228157","2016-10-26",14.522879132132,0.463426371511068,0.365615963614592,0.225589308876538,17.0365229677842,14.0526103655491,15.5445666666667,0.455349451846033,60.4094188735973,15.31976,14.970904532212,-2.38764961468719,NA
