"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"6274438","2013-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6274437","2013-09-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6274436","2013-09-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6274435","2013-09-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6274434","2013-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6274433","2013-10-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6274432","2013-10-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6274431","2013-10-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6274430","2013-10-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6274429","2013-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6274428","2013-10-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6274427","2013-10-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6274426","2013-10-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6274425","2013-10-14",NA,0.367567567567567,NA,NA,NA,NA,NA,NA,NA,NA,11.92,NA,NA
"6274424","2013-10-15",NA,0.11764705882353,NA,NA,NA,NA,NA,NA,56.2408223201175,NA,11.8506666666667,NA,NA
"6274423","2013-10-16",NA,0,0.161738208797032,NA,NA,NA,NA,NA,53.2912340789896,NA,11.7439111111111,NA,NA
"6274422","2013-10-17",NA,0.296875,0.138174019607843,NA,NA,NA,NA,NA,59.4999964305856,NA,11.7780562962963,NA,NA
"6274421","2013-10-18",NA,0.375,0.223958333333333,0.174623520579403,NA,NA,NA,NA,60.9702867285448,NA,11.8409821234568,NA,NA
"6274420","2013-10-21",NA,0.053125,0.241666666666667,0.201266339869281,NA,NA,NA,NA,52.5118979213203,NA,11.7581845069959,NA,NA
"6274419","2013-10-22",NA,0,0.142708333333333,0.202777777777778,13.4456275934768,10.7043724065232,12.075,0.12365172291268,48.5018460514422,NA,11.6104265727298,NA,NA
"6274418","2013-10-23",NA,0.0972222222222221,0.0501157407407407,0.14483024691358,13.4147766394203,10.7685566939131,12.0916666666667,0.197052141101212,50.9773679484318,NA,11.5290363630325,NA,NA
"6274417","2013-10-24",NA,0.138888888888889,0.0787037037037037,0.0905092592592593,13.4077150976431,10.7859515690235,12.0968333333333,0.221497893041824,52.0413875257709,NA,11.4784981812948,NA,NA
"6274416","2013-10-25",NA,0.182634730538922,0.139581947216678,0.0894671305537074,13.4154943002042,10.7448390331292,12.0801666666667,0.259047898119483,52.8495980522623,NA,11.4493650904555,NA,NA
"6274415","2013-10-28",NA,0.343478260869565,0.221667293432459,0.146650981450947,13.4146277259692,10.7403722740308,12.0775,0.406204422935169,54.2094701565475,NA,11.4481164117281,NA,NA
"6274414","2013-10-29",NA,0.282608695652174,0.269573895686887,0.210274378778675,13.4197847983411,10.7138818683256,12.0668333333333,0.278200962048842,52.9307919262242,11.664,11.428367556831,NA,NA
"6274413","2013-10-30",NA,0.267857142857143,0.297981366459627,0.263074185192991,13.4162154815308,10.6671178518025,12.0416666666667,0.306603206478626,52.4549103298435,11.692,11.4045852159202,-2.33823108944672,NA
