"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"6383595","2017-10-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6383594","2017-10-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6383593","2017-10-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6383592","2017-10-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6383591","2017-11-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6383590","2017-11-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6383589","2017-11-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6383588","2017-11-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6383587","2017-11-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6383586","2017-11-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6383585","2017-11-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6383584","2017-11-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6383583","2017-11-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6383582","2017-11-14",NA,0.938124702522608,NA,NA,NA,NA,NA,NA,NA,NA,27.7586428571429,NA,NA
"6383581","2017-11-15",NA,0.7,NA,NA,NA,NA,NA,NA,93.6105032822757,NA,28.0441571428571,NA,NA
"6383580","2017-11-16",NA,0.578796561604585,0.738973754709064,NA,NA,NA,NA,NA,91.9209282337774,NA,28.2396028571429,NA,NA
"6383579","2017-11-17",NA,0.663534404364959,0.647443655323181,NA,NA,NA,NA,NA,92.063329494728,NA,28.4569891428572,NA,NA
"6383578","2017-11-20",NA,0.523985239852399,0.588772068607314,0.658396492879853,NA,NA,NA,NA,91.1977811528572,NA,28.6213905904762,NA,NA
"6383577","2017-11-21",NA,0.451895043731778,0.546471562649712,0.594229095526736,NA,NA,NA,NA,91.327060461972,NA,28.7992051784127,NA,NA
"6383576","2017-11-22",NA,0.27405247813411,0.416644253906096,0.517295961721041,37.321246537122,19.9444867962113,28.6328666666667,0.570043745294342,89.6942339836268,NA,28.9126444879577,NA,NA
"6383575","2017-11-24",NA,0.137184115523464,0.287710545796451,0.416942120784086,31.1018456418324,28.1535543581676,29.6277,0.58105259747932,89.7266610023715,NA,29.0176252228967,NA,NA
"6383574","2017-11-27",NA,0.187265917602996,0.199500837086857,0.301285212263134,31.0400844450239,28.5176488883094,29.7788666666667,0.87839090244583,89.9380513791783,NA,29.1499418598438,NA,NA
"6383573","2017-11-28",NA,0.289940828402366,0.204796953842942,0.230669445575417,31.0744507576202,28.8162825757131,29.9453666666667,1.09545313945471,90.2718377696408,NA,29.3286162785313,NA,NA
"6383572","2017-11-29",NA,0.597633136094675,0.358279960700012,0.254192583876604,31.2510474367947,28.9959525632053,30.1235,1.24934023979386,90.9707385772578,NA,29.6221341080604,NA,NA
"6383571","2017-11-30",NA,0.637535816618911,0.50836992703865,0.357148947193868,31.6249057152244,28.9204276181089,30.2726666666667,1.1966223915843,91.1063726710808,28.82644,29.903849560319,NA,NA
"6383570","2017-12-01",NA,0.503782505910165,0.579650486207917,0.48210012464886,32.0036747478279,28.7560585855055,30.3798666666667,1.10376593230088,90.4355396175811,29.69328,30.1354696189432,4.9255556319852,NA
"6383569","2017-12-04",NA,0.704805491990847,0.615374604839974,0.56779833936218,32.4925978657606,28.6196354675727,30.5561166666667,1.13617538205021,91.1444695601085,29.90168,30.4627403364174,5.12755287842031,NA
"6383568","2017-12-05",83.1516826887898,0.471395881006865,0.559994626302625,0.585006572450172,32.7204802278667,28.6040864388,30.6622833333333,0.884086188303786,83.942620536086,30.06488,30.6103749582284,4.9548373627549,NA
"6383567","2017-12-06",82.2873598062394,0.581235697940502,0.585812356979405,0.587060529374001,32.9568480686632,28.6000519313368,30.77845,0.879074427157727,84.5608679682084,30.23964,30.802324963798,4.88445611214039,NA
"6383566","2017-12-07",81.59400404486,0.678486997635934,0.577039525527767,0.574282169603266,33.2701325419468,28.5677674580532,30.91895,0.931920951215945,85.1632443009698,30.40964,31.0313483019582,4.89033340998222,NA
"6383565","2017-12-08",80.9501736950078,0.789598108747045,0.683106934774494,0.615319605760555,33.5567538280736,28.6064795052597,31.0816166666667,0.905038159351993,85.7615093828939,30.53164,31.2925018616971,4.95369351958406,NA
"6383564","2017-12-11",80.6410781963141,0.669144981412639,0.712410029265206,0.657518829855822,33.9731267852402,28.5671065480931,31.2701166666667,0.975990942280416,86.0955270324061,30.69444,31.5535016134709,5.00639804038872,NA
"6383563","2017-12-12",80.4657367523754,0.844408427876823,0.767717172678836,0.721078045572845,34.6552545343522,28.4029787989811,31.5291166666667,1.08392871457653,87.9764663953393,30.89844,31.9943680650081,5.38499902892993,NA
"6383562","2017-12-13",79.7533353252593,0.762254901960785,0.758602770416749,0.746243324120264,35.1002456035223,28.450987729811,31.7756166666667,0.949832155228259,84.2049010287733,31.07464,32.310452323007,5.48498973780118,5.06809063577632
"6383561","2017-12-14",79.28596773138,0.760542168674699,0.789068499504102,0.771796147533229,35.6617165814518,28.4511834185482,32.05645,0.990053914206957,85.1664356655904,31.27704,32.6770586799394,5.66166122754612,5.18680475413028
"6383560","2017-12-15",78.8519835370636,0.771103896103897,0.764633655579793,0.770768308500215,36.1106735054631,28.5817264945369,32.3462,0.932836091855978,85.4140914364225,31.50464,33.0187841892808,5.76877868994936,5.3031995412941
"6383559","2017-12-18",78.6565618349397,0.712510356255178,0.748052140344591,0.767251431809496,36.6618725212527,28.6710274787473,32.66645,0.9682712921386,86.2258589173031,31.74064,33.3936129640434,5.91825149323597,5.42620993168247
"6383558","2017-12-19",78.5192891337586,0.854980079681275,0.77953144401345,0.764072413312612,37.3024717163415,28.7450949503252,33.0237833333333,0.992504901354484,87.6159861224759,32.02484,33.8657979021709,6.21648905456365,5.58426575625871
"6383557","2017-12-20",78.5920396481437,0.76078431372549,0.776091583220648,0.76789172252623,37.9897479980395,28.8514853352938,33.4206166666667,1.00112187648121,88.1464692184921,32.33324,34.3356915152148,6.46933587061163,5.76127977912929
"6383556","2017-12-21",78.6595936972157,0.790849673202614,0.802204688869793,0.78594257203463,38.5193420770692,29.1438912562642,33.8316166666667,0.952072483162939,88.4165837235359,32.64204,34.7735993131862,6.63156390157584,5.9353366036186
"6383555","2017-12-22",78.853469008995,0.798088410991637,0.783240799306581,0.787179023799007,39.0741221103395,29.4837778896605,34.27895,0.972807151546882,89.146176186355,32.99164,35.2371194047613,6.81191757919795,6.11065279873447
"6383554","2017-12-26",79.0334960842187,0.869455006337135,0.819464363510462,0.801636617228945,39.6681232387719,29.7387767612281,34.70345,0.955204513565471,89.8662885666706,33.35324,35.7268368174598,7.00798984600306,6.29012020818819
"6383553","2017-12-27",79.2823834620837,0.866498740554156,0.844680719294309,0.815795294037117,40.2939792833428,29.9592540499905,35.1266166666667,0.947686470825106,90.3767647008124,33.74164,36.2165919084652,7.17388230772462,6.46687262809548
"6383552","2017-12-28",79.5295336094515,0.876152832674572,0.870702193188621,0.844949091997798,40.8724283208542,30.1948050124791,35.5336166666667,0.913923261668167,90.6258447240473,34.12904,36.6730463206698,7.25929428186669,6.62535695884972
"6383551","2017-12-29",79.7840888298983,0.902796271637817,0.881815948288848,0.865732953590593,41.4218155165144,30.4570844834856,35.93945,0.895256693509257,91.0320530956848,34.54424,37.1206401445805,7.3138649834511,6.76305856377
"6383550","2018-01-02",79.299081791078,0.81078967943706,0.863246261249816,0.871921467575762,41.7945399145373,30.8386267521294,36.3165833333333,0.825554789192589,86.0875959152091,34.93824,37.4445547919698,7.16023053342318,6.84249295770063
"6383549","2018-01-03",78.3921790105925,0.762314308053167,0.825300086376015,0.85678743197156,42.080171385731,31.2096619476023,36.6449166666667,0.770617491916407,82.9538347834547,35.30744,37.6839474863738,6.88654709441674,6.85130378504386
"6383548","2018-01-04",77.5500550001416,0.775438596491228,0.782847527993818,0.823797958539883,42.2066846980865,31.8254819685801,37.0160833333333,0.755325264557218,83.4559477470271,35.66704,37.9234211548573,6.63970485599394,6.80898399923387
"6383547","2018-01-05",75.7456594742613,0.644927536231884,0.727560146925426,0.778569253765086,42.1682069330531,32.5359597336136,37.3520833333333,0.686655993086565,76.5736065752456,35.95784,38.0402983342097,6.22533672873451,6.692254545134
"6383546","2018-01-08",73.0628649433998,0.450304259634888,0.623556797452667,0.711321490790637,42.0153271426719,33.2386728573281,37.627,0.59358159802476,69.7421792572658,36.21044,38.0415918896484,5.67250926293525,6.48830548869425
"6383545","2018-01-09",70.1688631056322,0.207843137254901,0.434358311040558,0.595158418472884,41.7446811437665,34.0159855229001,37.8803333333333,0.535322907433816,66.9958436474747,36.454,38.0000463043619,5.10825762715905,6.21229591638721
"6383544","2018-01-10",65.9730050832857,0,0.21938246562993,0.425765858041051,41.4635825706379,34.6074174293621,38.0355,0.341189161740242,56.6377894224137,36.6044,37.780040130447,4.31873610369007,5.83358395384778
"6383543","2018-01-11",63.301310136734,0.340136054421769,0.18265973055889,0.278800169076459,41.378725502011,35.033274497989,38.206,0.560515793086513,63.2828136614304,36.8556,37.7893681130541,3.96785253546366,5.46043767017096
"6383542","2018-01-12",61.4443315417785,0.644710578842315,0.328282211088028,0.243441469092283,41.3367780540018,35.6158886126649,38.4763333333333,0.796632196339637,69.1539735701821,37.1568,38.0281190313135,4.01098674588192,5.17054748531315
"6383541","2018-01-16",59.8616533864278,0.771106941838649,0.585317858367578,0.365419933338165,41.4568312678929,36.0235020654405,38.7401666666667,0.891380665658944,71.6382966716206,37.4744,38.3523698271384,4.17814050185878,4.97206608862228
"6383540","2018-01-17",57.0855601478475,0.501397949673811,0.639071823451592,0.517557297635733,41.3040831307018,36.6089168692982,38.9565,0.707695875369312,62.8429001006647,37.7164,38.4440538501866,3.96251300220554,4.77015547133893
"6383539","2018-01-18",54.9169352794484,0.775609756097561,0.682704882536674,0.635698188118614,41.5219437478843,36.9082229187824,39.2150833333333,1.01258339077421,68.871634671743,38.0312,38.8008466701617,4.17546625745207,4.65121762856156
"6383538","2018-01-19",53.5025382285944,0.772348993288591,0.683118899686654,0.668298535224973,42.061804757185,36.9114619094817,39.4866333333333,1.11795886101432,71.2482812875081,38.32096,39.2412671141402,4.48741251821649,4.61845660649255
"6383537","2018-01-22",52.1891695385157,0.798657718120805,0.782205489168985,0.716009757130771,42.567339870576,36.880260129424,39.7238,1.03094619220543,71.7115816276655,38.63836,39.6490981655881,4.71026739538885,4.6368187642718
"6383536","2018-01-23",49.7170070103383,0.60268456375839,0.724563758389262,0.729962715748301,42.7227067923106,37.061559874356,39.8921333333333,0.77283046275213,63.5028929245133,38.86956,39.8078850768431,4.53247798810525,4.61595060903849
"6383535","2018-01-24",46.4476298966865,0.418791946308725,0.606711409395973,0.704493552318073,42.7521340385032,37.1730992948301,39.9626166666667,0.546671753322317,56.9188453359825,39.03876,39.762833733264,4.06666886053784,4.50609425933836
"6383534","2018-01-25",44.3100475472336,0.0577181208053691,0.359731543624161,0.563668903803132,42.8171321144977,36.970934552169,39.8940333333333,0.150650419372223,46.683949294854,39.07676,39.3651225688288,3.11420382203389,4.22771617187747
"6383533","2018-01-26",42.3251496513131,0.208590604026846,0.228366890380313,0.398269947800149,42.8162967613881,36.8480365719452,39.8321666666667,0.279472304341761,50.6750503102047,39.11552,39.1703062263183,2.55858559489606,3.89389005648119
"6383532","2018-01-29",40.4820301765297,0.248322147651007,0.171543624161074,0.253214019388516,42.796032754211,36.7313005791223,39.7636666666667,0.305377500727629,51.700437824343,39.14792,39.0409320628092,2.15428398447655,3.54596884208026
"6383531","2018-01-30",39.4256382396742,0.0671140939597316,0.174675615212528,0.191528709917972,42.8179318778645,36.4137347888021,39.6158333333333,0.140990644932938,46.9106170799135,39.11712,38.748807787768,1.53536784330357,3.14384864232492
"6383530","2018-01-31",37.5582794464906,0.0712250712250713,0.128887104278603,0.158368781217402,42.7958517413811,36.2494815919522,39.5226666666667,0.270458035160484,48.5457959793259,39.07832,38.5529667493989,1.12018863494967,2.73911664084987
"6383529","2018-02-01",35.8243034242486,0.133903133903134,0.090747433029312,0.131436717506814,42.7746653402998,36.1400013263668,39.4573333333333,0.322548160560824,50.2348811414609,39.03072,38.4419045161457,0.872900972102308,2.36587350710036
"6383528","2018-02-02",34.6956259520282,0.00284900284900228,0.0693257359924023,0.0963200911001059,42.7588797059891,35.9641202940109,39.3615,0.262831926446264,46.777201499114,38.92672,38.2229839139929,0.476898986173846,1.98807860291506
"6383527","2018-02-05",33.6475682992522,0.0498575498575501,0.0622032288698952,0.0740921326305365,42.7610208720917,35.8203124612416,39.2906666666667,0.275623287833439,48.1556532720031,38.82632,38.0772527254606,0.229251334942338,1.63631314932051
"6383526","2018-02-06",32.8104277589383,0.0143874643874643,0.0223646723646721,0.0512978790756565,42.7891586492419,35.6864080174248,39.2377833333333,0.239943472266586,47.1630720688842,38.70036,37.9177523620658,-0.0204450432404912,1.30496151080831
"6383525","2018-02-07",31.8400954170638,0.118233618233618,0.0608262108262107,0.0484647040202593,42.7924902986798,35.6627430346536,39.2276166666667,0.320804774790125,50.3872913495612,38.62276,37.8767187137904,-0.0624794446416055,1.03147331971833
"6383524","2018-02-08",32.0136471031083,0,0.0442070275403606,0.0424659702437478,42.8446772013749,35.5535561319584,39.1991166666667,0.112892177605017,42.3348955295664,38.47316,37.559822885285,-0.542337838112383,0.716711088152186
"6383523","2018-02-09",33.0631619203538,0,0.0394112060778725,0.048148148148148,43.245440431905,34.7021262347616,38.9737833333333,-0.0724300765662138,35.2719304918259,38.21576,36.9578465005803,-1.44529169758945,0.28431053100386
"6383522","2018-02-12",33.6041408925967,0.173307231690465,0.0577690772301548,0.0471291036161293,43.2531911646415,34.2030421686918,38.7281166666667,0.116788997814424,41.6939533451881,38.04576,36.636800300503,-1.82042657266117,-0.136636889729146
"6383521","2018-02-13",34.2639089128964,0.151798561151079,0.108368597613848,0.0685162936406251,43.1533095850654,33.6882570816012,38.4207833333333,0.109005514551678,40.4031643056501,37.88776,36.2985602604359,-2.19728904017565,-0.548767319818448
"6383520","2018-02-14",34.8494261505536,0.171023151605675,0.16537631481574,0.110504663219914,43.0944607116504,33.2329392883495,38.1637,0.157892544650505,40.7979249065907,37.74616,36.0174188923778,-2.45267667830152,-0.929549191515063
"6383519","2018-02-15",35.3351857889829,0.288115064345193,0.203645592367316,0.159130168265634,42.6679720487775,33.0329612845558,37.8504666666667,0.236883186187273,44.1531427157444,37.69008,35.8748297067274,-2.4591786684098,-1.23547508689401
"6383518","2018-02-16",35.7862483103815,0.308099924299773,0.255746046750213,0.208255984644423,41.8729535134589,33.1010464865411,37.487,0.262081381665839,44.740470278539,37.57928,35.7688524124971,-2.40786717282772,-1.46995350408075
"6383517","2018-02-20",36.0949569962988,0.353520060560182,0.316578349735049,0.258656662950859,40.8587610885504,33.4042389114495,37.1315,0.299025795205387,46.1271731513327,37.41128,35.7170054241641,-2.2736913292945,-1.6307010691235
"6383516","2018-02-21",35.6427629077332,0.367146101438304,0.342922028766086,0.30508214175045,40.0454618882374,33.6658714450959,36.8556666666667,0.35333436762033,46.5604296904575,37.21168,35.6840713676089,-2.12269122825859,-1.72909910095052
"6383515","2018-02-22",35.2228683969222,0.383800151400454,0.368155437799646,0.342551938766927,39.4508999776393,33.8234666890273,36.6371833333333,0.360709143973996,47.1201874563228,37.07328,35.6701951852611,-1.95563214262865,-1.77440570928615
"6383514","2018-02-23",34.9979181749951,0.384223918575064,0.37839005713794,0.363155841234558,39.3137942635451,33.7447390697882,36.5292666666667,0.349896741143735,45.8506701657357,36.84088,35.6221691605596,-1.86301028291088,-1.79212662401109
"6383513","2018-02-26",35.2445192253049,0.264100268576545,0.34404144618402,0.363528980373869,39.0590846451379,33.6435153548621,36.3513,0.24247705853611,42.2627910981477,36.53752,35.475213272485,-1.94710547648517,-1.82312239450591
"6383512","2018-02-27",35.4735059148782,0.303491495076097,0.317271894075901,0.346567799132621,38.7359750325958,33.6079249674042,36.17195,0.270747818035831,43.5866874439598,36.23512,35.3771848361536,-1.94239077997376,-1.84697607159948
"6383511","2018-02-28",35.9320978328846,0.248770894788594,0.272120886147078,0.311144742135667,38.6231299278223,33.4628700721777,36.043,0.247041162683802,41.579852739156,35.97392,35.2348935246665,-2.01467397930574,-1.88051565314073
"6383510","2018-03-01",37.1525707237585,0,0.18408746328823,0.25782674783707,38.4755317785886,33.1434682214114,35.8095,0.0387339303768483,34.7984364930285,35.69992,34.886241054711,-2.4356059832125,-1.99153371915508
"6383509","2018-03-02",36.9615950988509,0.0880952380952391,0.112288710961277,0.189499020132195,38.1192170071989,33.0691163261344,35.5941666666667,0.179049303034559,37.2128300664492,35.54832,34.6334089140828,-2.65856634946887,-2.12494024521784
"6383508","2018-03-05",36.1715968655376,0.590714285714286,0.226269841269841,0.17421533850645,37.8091528412945,33.1619138253721,35.4855333333333,0.51975366441999,48.8504259115562,35.4362,34.6957543922051,-2.31830280753538,-2.16361275768135
"6383507","2018-03-06",35.1639614886947,0.630952380952382,0.436587301587302,0.258381951272807,37.4778125181715,33.2979208151618,35.3878666666667,0.593814232806797,49.6549376777139,35.319,34.7723204732444,-1.98633240073167,-2.12815668629141
"6383506","2018-03-07",34.87429969749,0.373809523809524,0.531825396825397,0.398227513227514,37.1487140929753,33.348619240358,35.2486666666667,0.331056848605289,44.804975449727,35.2126,34.6946777434785,-1.95159938904487,-2.0928452268421
"6383505","2018-03-08",33.2677461743013,0.234741784037558,0.413167896266488,0.460526864893062,36.5371207483541,33.6358792516458,35.0865,0.369079036073255,42.4484427978684,35.0662,34.5513873776814,-2.03426700555672,-2.08112958258503
"6383504","2018-03-09",31.86750855962,0.202112676056339,0.270221327967807,0.405071540353231,36.3699509073008,33.5594157593658,34.9646833333333,0.135532044225587,41.870112462199,34.89664,34.4086690606572,-2.10949343594762,-2.08680235325755
"6383503","2018-03-12",30.567287917416,0.208920187793427,0.215258215962441,0.299549146732245,36.3888102402823,33.519223093051,34.9540166666667,0.12223950308931,42.047512689485,34.76504,34.2888465192362,-2.13902970611681,-2.0972478238294
"6383502","2018-03-13",29.8132784793412,0.0563380281690145,0.155790297339593,0.213756613756614,36.458833924807,33.248866075193,34.85385,0.002430115141066,39.162639756366,34.59424,34.0983336500047,-2.29094799361902,-2.13598785778732
"6383501","2018-03-14",28.4932474577754,0.140845070422535,0.135367762128325,0.168805425143453,36.4837867881265,33.1229132118735,34.80335,0.174682794459958,41.5543702926229,34.4478,33.9812224966708,-2.3015024946523,-2.16909078516032
"6383500","2018-03-15",28.1724322517786,0,0.0657276995305164,0.118961919666145,36.6465209117952,32.7311790882048,34.68885,-0.0590444202884021,35.7882339841453,34.2174,33.6970594971147,-2.60860253103904,-2.25699313433606
