"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"6544348","2018-10-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6544347","2018-10-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6544346","2018-10-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6544345","2018-10-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6544344","2018-10-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6544343","2018-10-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6544342","2018-10-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6544341","2018-10-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6544340","2018-10-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6544339","2018-10-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6544338","2018-10-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6544337","2018-10-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6544336","2018-10-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6544335","2018-10-26",NA,0.979999999999997,NA,NA,NA,NA,NA,NA,NA,NA,25.0607142857143,NA,NA
"6544334","2018-10-29",NA,0.86111111111111,NA,NA,NA,NA,NA,NA,72.7272727272727,NA,25.092619047619,NA,NA
"6544333","2018-10-30",NA,0.942857142857134,0.927989417989414,NA,NA,NA,NA,NA,73.5054347826086,NA,25.1242698412698,NA,NA
"6544332","2018-10-31",NA,0.423728813559322,0.742565689175856,NA,NA,NA,NA,NA,67.9385625965997,NA,25.1410338624339,NA,NA
"6544331","2018-11-01",NA,0.661016949152543,0.675867635189667,0.782140914118312,NA,NA,NA,NA,71.9431150184675,NA,25.1742293474427,NA,NA
"6544330","2018-11-02",NA,0.423728813559322,0.502824858757063,0.640419394374195,NA,NA,NA,NA,63.4133619975098,NA,25.184332101117,NA,NA
"6544329","2018-11-05",NA,0.677966101694913,0.587570621468926,0.588754371805218,25.4654278685032,24.9105721314968,25.188,0.936149405799907,67.8161976753982,NA,25.2130878209681,NA,NA
"6544328","2018-11-06",NA,0.762711864406779,0.621468926553671,0.570621468926553,25.4900037901497,24.9403295431836,25.2151666666667,0.957543720463758,69.1489320653394,NA,25.2446761115057,NA,NA
"6544327","2018-11-07",NA,0.616438356164382,0.685705440755358,0.631581662925985,25.5379396973088,24.9423936360246,25.2401666666667,1.009056622779,69.1489320653394,NA,25.2720526299716,NA,NA
"6544326","2018-11-08",NA,0.205479452054792,0.528209890875318,0.611794752728116,25.5446916179804,24.9613083820196,25.253,0.649130099456368,53.6805794243898,NA,25.2557789459754,NA,NA
"6544325","2018-11-09",NA,0.0461538461538478,0.289357218124341,0.501090849918339,25.5404547385995,24.9758785947338,25.2581666666667,0.355643918210979,52.0099935421992,NA,25.2363417531786,NA,NA
"6544324","2018-11-12",NA,0.415384615384619,0.222339304531086,0.346635471176915,25.5523130037961,24.9880203295372,25.2701666666667,0.700546049645767,60.0445756493956,25.1712,25.2514961860882,NA,NA
"6544323","2018-11-13",NA,0.384615384615383,0.282051282051283,0.264582601568904,25.5620996787336,24.9949003212664,25.2785,0.661318941559798,59.1557574435855,25.1924,25.2619633612764,0.387887227215167,NA
"6544322","2018-11-14",NA,0.548387096774192,0.449462365591398,0.317950984057923,25.579694799393,25.0079718672737,25.2938333333333,0.773150958083433,62.7213766592028,25.2108,25.2870349131062,0.414280051240046,NA
"6544321","2018-11-15",22.3263301025133,0.403225806451612,0.445409429280396,0.392307692307693,25.5786275333783,25.0420391332884,25.3103333333333,0.654680943505447,58.5901886675982,25.2252,25.2967635913587,0.401795889757239,NA
"6544320","2018-11-16",21.0822790476554,0.516129032258064,0.489247311827956,0.461373035566584,25.5717492947601,25.08925070524,25.3305,0.720035185537551,60.7553017504505,25.242,25.3145284458442,0.40947622772376,NA
"6544319","2018-11-19",19.9270887824303,0.548387096774192,0.489247311827956,0.474634684312103,25.5633632324374,25.1359701008959,25.3496666666667,0.734756541293588,61.3766624359986,25.2564,25.3325913197317,0.417081105937123,NA
"6544318","2018-11-20",19.8294046199995,0.14516129032258,0.403225806451612,0.460573476702508,25.5602775916495,25.1457224083505,25.353,0.331948388361025,50.5933761630714,25.2572,25.3149124771008,0.339533803060599,NA
"6544317","2018-11-21",19.9546078337576,0.0806451612903236,0.258064516129032,0.383512544802867,25.5503600528881,25.1646399471119,25.3575,0.195374966872524,49.1067767350772,25.26,25.294257480154,0.262285864209821,NA
"6544316","2018-11-23",20.0708679608186,0.258064516129032,0.161290322580645,0.274193548387097,25.5357713520629,25.1952286479371,25.3655,0.346813142567294,53.180956729791,25.27,25.2910231494668,0.233462948316587,NA
"6544315","2018-11-26",22.1272693337547,0.184713375796178,0.174474351071845,0.197943063260507,25.652154639448,25.1325120272187,25.3923333333333,1.33583086358151,57.5100941686351,25.286,25.3055533962046,0.249215836855488,0.346113217146203
"6544314","2018-11-27",24.0367848943381,0.197452229299364,0.213410040408192,0.183058238020227,25.6739703951461,25.1363629381872,25.4051666666667,0.812805680966459,58.1512050128462,25.3028,25.3208129433773,0.264991217029209,0.329888817122804
"6544313","2018-11-28",25.8099064863085,0.21656050955414,0.199575371549894,0.195819921009977,25.6832386665316,25.143428000135,25.4133333333333,0.660550118887393,59.1469492246552,25.3128,25.3380378842603,0.283745806869717,0.320660215072187
"6544312","2018-11-29",26.8874213936913,0.152866242038218,0.188959660297241,0.200648357418442,25.6841852533851,25.1461480799482,25.4151666666667,0.471811117492515,54.492532604534,25.3228,25.3396328330256,0.263701405231487,0.309268453104047
"6544311","2018-11-30",27.606124238707,0.0921052631578951,0.153844004916751,0.180793012254629,25.6818921595337,25.1421078404663,25.412,0.409840532695069,52.277390976825,25.3316,25.3343484552889,0.229250398827263,0.29326484224869
"6544310","2018-12-03",28.2148395987332,0.085526315789473,0.110165940328529,0.150989868514174,25.6811115744598,25.1482217588735,25.4146666666667,0.384904286891156,51.8236508484346,25.3316,25.328435327917,0.19649820015708,0.273911513830368
"6544309","2018-12-04",27.7175267667489,0,0.0592105263157895,0.107740157187023,25.6853602566403,25.120973076693,25.4031666666667,0.140022534378552,44.0080297827612,25.3236,25.2979772841948,0.108711599418232,0.240871530947941
"6544308","2018-12-06",26.7505829975264,0,0.0285087719298245,0.065961746191381,25.6991939158434,25.0671394174899,25.3831666666667,-0.000747958956848392,40.5424451415753,25.3104,25.2582469796355,0.0070481424672586,0.194106853251805
"6544307","2018-12-07",25.8527066403913,0.113095238095239,0.0376984126984131,0.0418059036480091,25.6832369631909,25.0477630368091,25.3655,0.223828165540565,48.7934752378454,25.308,25.2491473823507,-0.0127239235601539,0.152740697889413
"6544306","2018-12-10",24.0901346136567,0,0.0376984126984131,0.0346351991088836,25.6937517806221,25.0112482193779,25.3525,0.100734684075179,42.4495392761798,25.2924,25.2159277313706,-0.08817311058823,0.104557936193884
"6544305","2018-12-11",22.7166591968397,0.148809523809524,0.0873015873015877,0.0542328042328047,25.6911583124475,25.0228416875525,25.357,0.364834526078823,51.4027677285841,25.2924,25.2204707005212,-0.0672137003449813,0.0702036088861112
"6544304","2018-12-12",21.1061012310701,0.107142857142857,0.0853174603174604,0.0701058201058204,25.6884728737767,25.0075271262233,25.348,0.287550378005231,49.0994684750388,25.2836,25.2150746071184,-0.0721755301829941,0.0417277810722901
"6544303","2018-12-13",20.5645551029362,0,0.0853174603174604,0.0859788359788362,25.6979016603004,24.9644316730329,25.3311666666667,0.0939393042612546,42.3799415850534,25.2636,25.1797313261693,-0.148088832658033,0.00376445832622548
"6544302","2018-12-14",19.8102229934609,0.0809248554913298,0.062689237544729,0.0777747193932167,25.6870288493503,24.9446378173164,25.3158333333333,0.267642667332069,47.1235524826872,25.2492,25.1677671493467,-0.161576075415015,-0.0293036484220227
"6544301","2018-12-17",19.8337015887119,0,0.0269749518304434,0.058327216564211,25.6953957074668,24.8919376258665,25.2936666666667,0.0722655922731436,42.0625015273828,25.2392,25.1320648627671,-0.230618587864506,-0.0695666363105194
"6544300","2018-12-18",21.7188439607841,0,0.0269749518304434,0.0388797137352053,25.7885410538744,24.6977922794589,25.2431666666667,-0.248568340530616,28.7578443111504,25.2004,24.9997895477315,-0.524399569624179,-0.160533222973251
"6544299","2018-12-19",24.0566806037125,0,1.01770443923973e-16,0.0179833012202957,25.8929952397448,24.4633380935886,25.1781666666667,-0.219170095733095,24.4789037371657,25.1364,24.8331509413673,-0.87548540374508,-0.303523659127617
"6544298","2018-12-20",27.0100954381016,0,1.01770443923973e-16,0.00899165061014793,26.1106547074752,24.0666786258582,25.0886666666667,-0.280504893223258,18.7126214576381,25.0432,24.5887308158517,-1.38648135873046,-0.520115199048186
"6544297","2018-12-21",29.7525520700342,0.209677419354838,0.0698924731182796,0.0232974910394267,26.2055720034048,23.8120946632619,25.0088333333333,-0.0705088479836814,30.871364552116,24.966,24.4462333737381,-1.606386652046,-0.737369489647749
"6544296","2018-12-24",30.4778932320468,0.208333333333333,0.139336917562724,0.0697431302270013,26.2313029881364,23.6343636785302,24.9328333333333,0.0612142356253954,30.681278455874,24.8916,24.3200689239064,-1.76911831922028,-0.943719255562254
"6544295","2018-12-26",30.8239511197784,0.643478260869565,0.353829671185913,0.187686353955639,26.1101334132319,23.6208665867681,24.8655,0.345135123361754,47.6807907045091,24.8536,24.3413930673855,-1.55551991449256,-1.06607938734832
"6544294","2018-12-27",31.7662157285517,0.452173913043478,0.434661835748792,0.309276141499143,26.030291395976,23.5610419373573,24.7956666666667,0.249316539145355,42.6263266825601,24.7972,24.3012073250675,-1.51487604074121,-1.15583871802689
"6544293","2018-12-28",32.4747141973411,0.608695652173912,0.568115942028985,0.452202482987897,25.9423168517387,23.542349814928,24.7423333333333,0.371248231637951,47.5274779547806,24.7652,24.3143796817251,-1.34762359243642,-1.1941956929088
"6544292","2018-12-31",32.3815332453287,0.543478260869565,0.534782608695652,0.512520128824477,25.8614835994286,23.5241830672381,24.6928333333333,0.378991456409643,45.7729208059734,24.7288,24.3057957241618,-1.25044543915809,-1.20544564215866
"6544291","2019-01-02",31.546130705875,0.715555555555555,0.622576489533011,0.575158346752549,25.7892466475754,23.5334200190913,24.6613333333333,0.53191734643561,50.4963349724723,24.7024,24.3463562942735,-1.0419088455474,-1.17273828283641
"6544290","2019-01-03",30.8850675698471,0.688888888888889,0.649307568438003,0.602222222222222,25.7104336494447,23.545233017222,24.6278333333333,0.525632728521341,49.7190221594754,24.6684,24.3735087883704,-0.886320688243825,-1.11545476391789
"6544289","2019-01-04",30.2712232292497,0.866666666666666,0.757037037037037,0.67630703166935,25.6767860066908,23.5538806599758,24.6153333333333,0.657645590362535,54.7229134512903,24.6496,24.4503742832543,-0.62365351405147,-1.01709451394461
"6544288","2019-01-07",29.9698690629875,0.88780487804878,0.814453477868112,0.740266027781051,25.6529399139763,23.557393419357,24.6051666666667,0.623197775534717,52.8809891997482,24.6244,24.4996577121538,-0.453420124201154,-0.904359635995916
"6544287","2019-01-08",30.2059792934788,0.775,0.843157181571816,0.804882565492321,25.5937749818845,23.5658916847822,24.5798333333333,0.551038440006825,49.1785861978245,24.5924,24.5063700171999,-0.402809216613176,-0.804049552119368
"6544286","2019-01-09",30.4252245075064,0.934343434343435,0.865716104130739,0.841108921190222,25.568038075426,23.571961924574,24.57,0.656974639068553,53.1071425770413,24.5744,24.5521873482399,-0.261045201890997,-0.695448682073694
"6544285","2019-01-10",30.8207271052961,0.883838383838384,0.86439393939394,0.857755741698831,25.5009961982095,23.5940038017905,24.5475,0.641147215464575,51.6732537354826,24.5528,24.5785623684746,-0.179563786263071,-0.592271702911569
"6544284","2019-01-11",31.1879795175294,0.912162162162163,0.91011466011466,0.880074901213113,25.45055621881,23.61244378119,24.5315,0.6914101260252,53.0387388953977,24.5428,24.614754052678,-0.0813183751766866,-0.490081037364593
"6544283","2019-01-14",31.3074032709687,0.906666666666666,0.900889070889071,0.89179922346589,25.4319668406607,23.6183664926727,24.5251666666667,0.710355054476709,53.181202643357,24.5372,24.6474535123209,-0.000274299326663563,-0.392119689757007
"6544282","2019-01-15",31.4182967563053,0.989583333333332,0.936137387387387,0.915713706130373,25.4056663382748,23.6293336617252,24.5175,0.765997471215695,55.0886339875448,24.5292,24.6931263773448,0.105128135364585,-0.292670124732688
"6544281","2019-01-16",31.0442460161986,0.885714285714285,0.927321428571428,0.921449295615962,25.4148732131747,23.6261267868253,24.5205,0.773655333584088,54.719282052564,24.528,24.7300428603655,0.179895575600164,-0.198156984666118
"6544280","2019-01-17",30.6969131860996,0.892857142857143,0.922718253968253,0.928725689975689,25.4706777777107,23.6306555556227,24.5506666666667,0.760504100211021,55.2044467831125,24.518,24.7660371456501,0.245964375039143,-0.109332712725066
"6544279","2019-01-18",30.9737613132186,0.595505617977529,0.791359015516319,0.880466232685333,25.5009072894311,23.6754260439022,24.5881666666667,0.670822534658785,50.8976008263343,24.502,24.7678988595634,0.224049967442141,-0.0426561766916244
"6544278","2019-01-22",31.2308345741148,0.762711864406779,0.750358208413817,0.821478492632796,25.4476769522524,23.8839897144143,24.6658333333333,0.743548277505832,54.7033167129987,24.504,24.7988456782883,0.275090695520208,0.0208931977507421
"6544277","2019-01-23",30.6285523364407,0.599999999999999,0.652739160794769,0.731485461574968,25.3857057346955,24.0916275986379,24.7386666666667,0.779220646161393,54.7033167129987,24.5004,24.8256662545165,0.311854878195783,0.0790855338397503
"6544276","2019-01-24",29.3726071867632,0.448275862068965,0.603662575491914,0.668919981566833,25.3861816186805,24.2584850479862,24.8223333333333,1.07137119157563,58.1251845974157,24.5124,24.875577420581,0.401154923161129,0.143499411704026
"6544275","2019-01-25",27.6967881188802,0.344827586206897,0.464367816091954,0.573589850792879,25.4113831613396,24.2986168386604,24.855,0.75012738762905,54.7825781379204,24.5488,24.8988337645035,0.418310600595806,0.198461649482382
"6544274","2019-01-28",26.4039877269161,0.489655172413794,0.427586206896552,0.49853886616014,25.4063502802935,24.4163163863732,24.9113333333333,0.895946040238825,58.3902629898952,24.6092,24.9469892625697,0.49405873991013,0.257581067567932
"6544273","2019-01-29",25.5202079943136,0.536000000000001,0.456827586206897,0.449593869731801,25.4583797829172,24.4656202170828,24.962,0.988201457176934,60.9468702160787,24.706,25.0100573608938,0.598547291486895,0.325774312351724
"6544272","2019-01-30",24.4452435606988,0.0800000000000011,0.368551724137932,0.417655172413794,25.4209340754887,24.5660659245113,24.9935,0.554394353031901,49.3206750356057,24.7592,24.9887163794413,0.491672237763252,0.35895389743403
"6544271","2019-01-31",23.3521183473449,0.540983606557378,0.385661202185793,0.403680170843541,25.4813179805796,24.5766820194205,25.029,0.958011123946978,58.207496040969,24.8368,25.0488875288491,0.59038113297698,0.40523934454262
"6544270","2019-02-01",22.3370735063734,0.540983606557378,0.387322404371585,0.380511776898437,25.5237285316253,24.6099381350414,25.0668333333333,0.908372278874581,58.207496040969,24.8752,25.1010358583359,0.660621096758507,0.456315694985797
