"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"6610551","2011-05-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6610550","2011-05-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6610549","2011-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6610548","2011-05-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6610547","2011-05-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6610546","2011-05-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6610545","2011-05-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6610544","2011-05-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6610543","2011-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6610542","2011-05-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6610541","2011-05-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6610540","2011-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6610539","2011-06-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6610538","2011-06-03",NA,0.532319391634981,NA,NA,NA,NA,NA,NA,NA,NA,11.6342857142857,NA,NA
"6610537","2011-06-06",NA,0.704225352112676,NA,NA,NA,NA,NA,NA,62.5994694960212,NA,11.8230476190476,NA,NA
"6610536","2011-06-07",NA,0.186619718309859,0.474388154019172,NA,NA,NA,NA,NA,44.0867940796091,NA,11.7906412698413,NA,NA
"6610535","2011-06-08",NA,0.105633802816901,0.332159624413145,NA,NA,NA,NA,NA,41.994209002369,NA,11.7318891005291,NA,NA
"6610534","2011-06-09",NA,0.0563380281690141,0.116197183098591,0.307581653843636,NA,NA,NA,NA,40.7270179429436,NA,11.6623038871252,NA,NA
"6610533","2011-06-10",NA,0.0809859154929573,0.0809859154929575,0.176447574334898,NA,NA,NA,NA,41.6747036627119,NA,11.6113300355085,NA,NA
"6610532","2011-06-13",NA,0.0211267605633798,0.0528169014084504,0.0833333333333331,13.0185945183692,10.7344054816308,11.8765,0.233019761707579,40.001978478163,NA,11.5444860307741,NA,NA
"6610531","2011-06-14",NA,0.0211267605633798,0.0410798122065723,0.05829420970266,12.9608286639404,10.6705046693929,11.8156666666667,0.241375746512946,40.001978478163,NA,11.4865545600042,NA,NA
"6610530","2011-06-15",NA,0,0.0140845070422533,0.035993740219092,12.9498105590058,10.5775227743276,11.7636666666667,0.194949882834374,37.9250176400738,NA,11.4096806186703,NA,NA
"6610529","2011-06-16",NA,0,0.00704225352112665,0.0207355242566507,12.9872192268055,10.3494474398611,11.6683333333333,-0.00863637002533895,29.5097606622254,NA,11.2070565361809,NA,NA
"6610528","2011-06-17",NA,0,3.46944695195361e-17,0.00704225352112658,13.0866741286684,9.97832587133158,11.5325,-0.115278547210985,26.0872665794904,NA,10.9567823313568,NA,NA
"6610527","2011-06-20",NA,0,3.46944695195361e-17,0.00234741784037551,13.1958079369131,9.56452539642019,11.3801666666667,-0.0976309038106589,23.4699522359589,11.3012,10.6732113538426,NA,NA
"6610526","2011-06-21",NA,0,3.46944695195361e-17,-2.68882138776405e-17,13.3609915935794,9.14134173975395,11.2511666666667,-0.0556148214228103,22.5443317545485,11.1628,10.4021165066635,-8.2934631786355,NA
"6610525","2011-06-22",NA,0.0323809523809524,0.0107936507936508,0.00359788359788357,13.4336920283237,8.81164130500959,11.1226666666667,0.0486851778847917,25.3800036398302,11.0372,10.1898343057751,-8.8591609402541,NA
"6610524","2011-06-23",25.653443035569,0,0.0107936507936508,0.00719576719576717,13.5623378594553,8.38866214054473,10.9755,0.00799003681351198,21.4080387309667,10.8776,9.89918973167173,-9.87601087418796,NA
"6610523","2011-06-24",27.7765761640136,0,0.0107936507936508,0.0107936507936508,13.6560532848007,8.0112800485326,10.8336666666667,0.0623680119758856,21.1848848056878,10.7152,9.64063110078217,-10.6612798628812,NA
"6610522","2011-06-27",29.7480569261407,0.0161662817551962,0.00538876058506542,0.00899202072412229,13.6894357590583,7.68389757427507,10.6866666666667,0.118685298546199,22.4043730390746,10.5544,9.42588028734455,-11.1481584518291,NA
"6610521","2011-06-28",30.0532254582788,0.338541666666667,0.118235982807288,0.0448061313953345,13.6123842761624,7.55761572383756,10.585,0.310342323837894,39.9782790010088,10.4768,9.40376291569861,-10.3910984851024,NA
"6610520","2011-06-29",30.7773423759814,0.232044198895028,0.19558404910563,0.106402930832661,13.5246831769137,7.41398348975295,10.4693333333333,0.290094959279101,36.6364668080451,10.372,9.32326119360546,-10.0734291990439,NA
"6610519","2011-06-30",31.3843929907941,0.234806629834254,0.268464165131983,0.1940947323483,13.3405646000413,7.31410206662534,10.3273333333333,0.313489257791356,36.7602253289469,10.2744,9.2548263677914,-9.71057046560375,NA
"6610518","2011-07-01",31.9480828474059,0.32378223495702,0.263544354562101,0.242530856266571,12.9566504392787,7.34201622738799,10.1493333333333,0.348728643526837,40.2775775073659,10.196,9.23284951875255,-9.08107301979438,-9.78824938637026
"6610517","2011-07-05",30.6642447406943,0.532934131736527,0.3638409988426,0.298616506178895,12.3824140591505,7.58591927418282,9.98416666666667,0.508860637174713,47.568136712826,10.1356,9.30046958291888,-7.92706531583105,-9.41601257226242
"6610516","2011-07-06",29.7833606241392,0.475308641975309,0.444008336222952,0.357131229875884,12.0227392772299,7.70626072277012,9.8645,0.501274186800793,45.3660376941031,10.0672,9.32707363852969,-7.1355896405312,-8.95992798591618
"6610515","2011-07-07",28.9653968016238,0.769811320754717,0.592684698155518,0.466844677740357,11.7937116062423,7.78828839375766,9.791,0.600447146778219,50.5066086975991,10.0152,9.4167971533924,-6.00920405609786,-8.36978319995251
"6610514","2011-07-08",28.5674885698483,0.667924528301887,0.637681497010638,0.558124843796369,11.5762201899029,7.85244647676372,9.71433333333333,0.542698620337475,47.8863804843112,9.9392,9.45855753294008,-5.28506763908086,-7.75284008777819
"6610513","2011-07-11",28.8946320026245,0.445283018867925,0.627672955974843,0.619346383713666,11.3157701613025,7.91022983869748,9.613,0.422772900894968,42.6762340536114,9.8068,9.41608319521474,-5.15321432559567,-7.23291493534168
"6610512","2011-07-12",29.3174291865047,0.40377358490566,0.505660377358491,0.590338276781324,11.0409905853652,7.98134274796811,9.51116666666667,0.408104892585985,41.7638785454576,9.646,9.36460543585277,-5.08755436552701,-6.80384282137875
"6610511","2011-07-13",28.5161135766107,0.505660377358491,0.451572327044025,0.528301886792453,10.7452762522991,8.11505708103427,9.43016666666667,0.565837352475609,44.8788362254658,9.5548,9.35599137773907,-4.7516405736972,-6.39340237184244
"6610510","2011-07-14",27.8778257765906,0.475471698113208,0.461635220125786,0.472955974842767,10.4353522615396,8.25898107179377,9.34716666666667,0.515086274569352,44.1257192936257,9.4696,9.33785919404053,-4.50296777631385,-6.01531545273672
"6610509","2011-07-15",27.2027608087419,0.523255813953489,0.501462629808396,0.471556725659402,10.3008718585507,8.31079480811601,9.30583333333334,0.597567411585525,46.0747889386665,9.3964,9.34347796816846,-4.12125176163879,-5.63650271451714
"6610508","2011-07-18",26.424921775322,0.414364640883978,0.471030717650225,0.478042855861469,10.3027835718986,8.31054976143471,9.30666666666667,0.665643208275415,48.1445648015425,9.3272,9.37101423907933,-3.6305176842767,-5.23530570846905
"6610507","2011-07-19",24.7708557707608,0.386740331491713,0.44145359544306,0.471315647633893,10.3478498683511,8.32015013164889,9.334,0.708446378433761,47.5662870507539,9.2628,9.38821234053542,-3.24671039191693,-4.83758664515863
"6610506","2011-07-20",23.0654720360732,0.555555555555556,0.452220175977082,0.454901496356789,10.4249972503853,8.35400274961468,9.3895,0.80283357412745,51.4591819760146,9.2108,9.4444506951307,-2.6469385567726,-4.39945702748142
"6610505","2011-07-21",21.4819014252919,0.569620253164557,0.503972046737275,0.465881939385806,10.5066781464628,8.37732185353716,9.442,0.802751901505833,52.9164372083475,9.1716,9.50919060244661,-2.04689228908053,-3.92894407980124
"6610504","2011-07-22",20.1928579768843,0.670886075949367,0.598687294889827,0.518293172534728,10.5409469382794,8.52238639505394,9.53166666666667,0.842653416558638,54.8622105062867,9.1796,9.58663185545372,-1.42168542651071,-3.42749234914314
"6610503","2011-07-25",19.5052180068919,0.709302325581395,0.649936218231773,0.584198519952958,10.5617649121214,8.70690175454526,9.63433333333333,0.92177415090591,56.7854679369221,9.2164,9.67508094139323,-0.78619581457251,-2.89923304222901
"6610502","2011-07-26",18.8666951776133,0.755813953488372,0.712000785006378,0.653541432709326,10.5406708670291,8.93366246630428,9.73716666666667,0.945652098858768,57.7547053362437,9.2764,9.7624034825408,-0.2174664669501,-2.36287972717323
"6610501","2011-07-27",17.628781644772,0.598837209302326,0.687984496124031,0.683307166454061,10.5915808778433,8.95975245549003,9.77566666666667,0.764120905173628,53.4014711509592,9.3332,9.80208301820202,0.00876211405784755,-1.88855135892701
"6610500","2011-07-28",16.4792905071336,0.622093023255814,0.658914728682171,0.68630000327086,10.6189921370011,9.03634119633224,9.82766666666667,0.752108655008525,53.9551861534864,9.3848,9.84180528244175,0.217603863641402,-1.46732031441333
"6610499","2011-07-29",15.4119058793265,0.645348837209303,0.622093023255814,0.656330749354005,10.6335555780477,9.12411108861898,9.87883333333333,0.730437976202082,54.5369640299452,9.47,9.88156457811619,0.410258872584102,-1.09180447701384
"6610498","2011-08-01",15.0277101862769,0.594771241830066,0.620737700765061,0.633915150901015,10.6560277390398,9.20197226096019,9.929,0.757440887900455,54.352072387441,9.5568,9.91468930103403,0.547782992110468,-0.763886983188982
"6610497","2011-08-02",14.6709570427308,0.61437908496732,0.618166388002229,0.620332370674368,10.6796063193767,9.20072701395659,9.94016666666667,0.70950548986505,54.8466362390228,9.642,9.94739739422949,0.67274918984801,-0.476559748581584
"6610496","2011-08-03",15.216776969805,0,0.403050108932462,0.547318065899917,10.6888718508081,9.14912814919191,9.919,0.193238989815282,39.0511784723633,9.6364,9.83707774166556,-0.0730897616990078,-0.395865751205069
"6610495","2011-08-04",15.9504239181508,0,0.20479302832244,0.408669841752377,10.6982863131987,9.03238035346792,9.86533333333333,0.0525957939103821,37.4861147339892,9.6436,9.72280070944348,-0.778181772654973,-0.472328955495049
"6610494","2011-08-05",17.9901247931659,0,-1.11022302462516e-16,0.202614379084967,10.8535800950878,8.72408657157885,9.78883333333333,-0.178799904316266,28.0577906727663,9.6068,9.47842728151769,-2.24144872554485,-0.826152909505009
"6610493","2011-08-08",19.884132748537,0.143356643356644,0.0477855477855478,0.0841928587026624,10.9328026558602,8.56319734413982,9.748,-0.0126029472751335,34.7098175532034,9.5752,9.321303643982,-3.04622723471424,-1.27016777454685
"6610492","2011-08-09",21.4502936813749,0.188811188811189,0.110722610722611,0.0528360528360526,10.979899573169,8.45743376016429,9.71866666666667,0.0736975590355389,36.7081252613561,9.5228,9.20246315811773,-3.54592196846054,-1.72531861332959
"6610491","2011-08-10",22.9045859761529,0.216783216783217,0.182983682983683,0.113830613830614,11.0143716741868,8.32862832581317,9.6715,0.123381735037151,37.9663923529822,9.4832,9.11013473703537,-3.83746098796908,-2.14774708825749
"6610490","2011-08-11",24.0105770913205,0.255244755244755,0.22027972027972,0.171328671328671,11.0364342152599,8.24456578474008,9.6405,0.184619808593183,39.7403326126309,9.428,9.04478343876399,-3.93189011088622,-2.50457569278323
