"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"6702220","2020-02-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6702219","2020-02-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6702218","2020-02-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6702217","2020-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6702216","2020-02-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6702215","2020-02-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6702214","2020-02-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6702213","2020-02-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6702212","2020-02-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6702211","2020-02-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6702210","2020-02-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6702209","2020-02-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6702208","2020-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6702207","2020-02-28",NA,0.387387387387388,NA,NA,NA,NA,NA,NA,NA,NA,1.86107142857143,NA,NA
"6702206","2020-03-02",NA,0.549549549549549,NA,NA,NA,NA,NA,NA,50.5681818181818,NA,1.86892857142857,NA,NA
"6702205","2020-03-03",NA,0.531531531531531,0.48948948948949,NA,NA,NA,NA,NA,49.9568221070812,NA,1.87440476190476,NA,NA
"6702204","2020-03-04",NA,0.465346534653465,0.515475871911515,NA,NA,NA,NA,NA,46.3370301910043,NA,1.87115079365079,NA,NA
