"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"6793471","2000-05-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6793470","2000-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6793469","2000-05-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6793468","2000-05-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6793467","2000-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6793466","2000-06-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6793465","2000-06-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6793464","2000-06-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6793463","2000-06-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6793462","2000-06-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6793461","2000-06-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6793460","2000-06-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6793459","2000-06-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6793458","2000-06-14",NA,0.536,NA,NA,NA,NA,NA,NA,NA,NA,10.5581428571429,NA,NA
"6793457","2000-06-15",NA,0.428571428571429,NA,NA,NA,NA,NA,NA,73.0911330049261,NA,10.5837238095238,NA,NA
"6793456","2000-06-16",NA,0,0.32152380952381,NA,NA,NA,NA,NA,48.8137416171074,NA,10.505893968254,NA,NA
"6793455","2000-06-19",NA,0,0.142857142857143,NA,NA,NA,NA,NA,48.8137416171074,NA,10.4384414391534,NA,NA
"6793454","2000-06-20",NA,0.0714285714285714,0.0238095238095238,0.162730158730159,NA,NA,NA,NA,51.9017917384584,NA,10.3966492472663,NA,NA
"6793453","2000-06-21",NA,0.214285714285714,0.0952380952380952,0.0873015873015873,NA,NA,NA,NA,57.4329849821164,NA,10.3937626809641,NA,NA
"6793452","2000-06-22",NA,0.357142857142857,0.214285714285714,0.111111111111111,11.4261821029641,9.81668456370257,10.6214333333333,0.579880002007121,62.1237299459668,NA,10.4245943235023,NA,NA
"6793451","2000-06-23",NA,0.285714285714286,0.285714285714286,0.198412698412698,11.4155072822934,9.88362605103993,10.6495666666667,0.497671708097272,58.6439897402446,NA,10.434648413702,NA,NA
"6793450","2000-06-26",NA,0.0833333333333333,0.242063492063492,0.247354497354497,11.4023420162481,9.91345798375189,10.6579,0.226036419830411,49.6576751326057,NA,10.3933619585417,NA,NA
"6793449","2000-06-27",NA,0.0458181818181823,0.1382886002886,0.222022126022126,11.4042833088039,9.90948335786281,10.6568833333333,0.130574869688065,48.3388135974301,NA,10.3493136974028,NA,NA
"6793448","2000-06-28",NA,0,0.0430505050505052,0.141134199134199,11.4314687098968,9.8572979567699,10.6443833333333,0.0377142757727122,42.239647802938,NA,10.2694052044158,NA,NA
"6793447","2000-06-29",NA,0,0.0152727272727274,0.0655372775372777,11.4623436510854,9.78682301558129,10.6245833333333,0.0774945102638558,42.239647802938,10.39508,10.2001511771603,NA,NA
"6793446","2000-06-30",NA,0,1.15648231731787e-17,0.0194410774410775,11.4883477485581,9.70665225144186,10.5975,0.117873349045739,42.239647802938,10.38508,10.1401310202056,-2.48495600689871,NA
"6793445","2000-07-03",NA,0.0909090909090909,0.0303030303030303,0.0151919191919192,11.4953531233673,9.63918020996605,10.5672666666667,0.194389104284897,45.6595775726792,10.38008,10.1047802175115,-2.49245260919303,NA
"6793444","2000-07-05",16.8823551220955,0.0952018278750952,0.062036972928062,0.0307800010770308,11.4435311282763,9.57850220505703,10.5110166666667,0.203659644924256,45.6595775726792,10.37508,10.0741428551767,-2.47113327764067,NA
"6793443","2000-07-06",16.4342436992178,0.2,0.128703639594729,0.0736812142752737,11.3534635487198,9.57273645128022,10.4631,0.356931100204526,49.1512764031439,10.37508,10.0642571411531,-2.3280306257521,NA
"6793442","2000-07-07",16.018140235117,0.2,0.165067275958365,0.118602629493719,11.2598817667007,9.57048489996594,10.4151833333333,0.352896219023425,49.1512764031439,10.36508,10.0556895223327,-2.18958009219693,NA
"6793441","2000-07-10",16.3755517449112,0.4,0.266666666666667,0.186812527406587,11.178287889011,9.5895454443223,10.3839166666667,0.520613788036875,55.7469127636784,10.36008,10.0815975860217,-1.85815715256255,NA
"6793440","2000-07-11",16.7074338611487,0.5,0.366666666666667,0.266133536430566,11.077878990011,9.62328767665565,10.3505833333333,0.545430859325633,58.6359577754396,10.35756,10.1207179078854,-1.47874487364388,NA
"6793439","2000-07-12",17.0156101119407,0.4,0.433333333333334,0.355555555555556,10.9351894299365,9.68681057006351,10.311,0.551266488128863,54.7842681635108,10.33756,10.1379555201674,-1.26315662342115,NA
"6793438","2000-07-13",17.3017737733904,0.420875420875421,0.440291806958474,0.413430602319491,10.8196269689485,9.73983969771815,10.2797333333333,0.588227254761132,54.7842681635109,10.30756,10.1528947841451,-1.07983615061885,-1.96067193465865
"6793437","2000-07-14",18.4926531531942,0.526094276094276,0.448989898989899,0.440871679760569,10.7556718298461,9.77462817015391,10.26515,0.803265470121911,57.9850801517664,10.28256,10.1825088129257,-0.825975306007631,-1.73373260892845
