"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"6821828","2021-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6821827","2021-01-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6821826","2021-01-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6821825","2021-01-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6821824","2021-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6821823","2021-01-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6821822","2021-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6821821","2021-01-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6821820","2021-01-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6821819","2021-01-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6821818","2021-01-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6821817","2021-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6821816","2021-01-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6821815","2021-01-29",NA,0.0280373831775711,NA,NA,NA,NA,NA,NA,NA,NA,10.7871428571429,NA,NA
"6821814","2021-02-01",NA,0.074766355140187,NA,NA,NA,NA,NA,NA,39.3700787401574,NA,10.7528571428571,NA,NA
"6821813","2021-02-02",NA,0.205607476635515,0.102803738317758,NA,NA,NA,NA,NA,45.8040064970222,NA,10.7418095238095,NA,NA
"6821812","2021-02-03",NA,0.336448598130842,0.205607476635515,NA,NA,NA,NA,NA,51.3623621752943,NA,10.7509015873016,NA,NA
"6821811","2021-02-04",NA,0.102756892230576,0.214937655665644,0.174449623539639,NA,NA,NA,NA,53.2081264607852,NA,10.765448042328,NA,NA
"6821810","2021-02-05",NA,0.31328320802005,0.250829566127156,0.223791566142772,NA,NA,NA,NA,72.2565280571886,NA,10.8900549700176,NA,NA
"6821809","2021-02-08",NA,0.3734335839599,0.263157894736842,0.242975038843214,11.9921274442189,10.1135425557811,11.052835,1.11420257011979,75.3447856995629,NA,11.030047640682,NA,NA
"6821808","2021-02-09",NA,0.343358395989975,0.343358395989975,0.285781952284658,12.1250647390026,10.0926052609974,11.108835,0.926985962602512,71.0840965433571,NA,11.1353746219244,NA,NA
"6821807","2021-02-10",NA,0.182957393483709,0.299916457811195,0.302144249512671,12.1632199617456,10.1137800382544,11.1385,0.673136733244106,53.6566543805299,NA,11.1413246723344,NA,NA
"6821806","2021-02-11",NA,0.273182957393484,0.266499582289056,0.303258145363409,12.2298680901439,10.1231319098561,11.1765,0.764310898793831,59.6493106852168,NA,11.1944813826899,NA,NA
"6821805","2021-02-12",NA,0.278195488721805,0.244778613199666,0.270398217766639,12.2782701024061,10.1257298975939,11.202,0.723611773781158,59.9590869491445,NA,11.2432171983312,NA,NA
"6821804","2021-02-16",NA,0.281954887218045,0.277777777777778,0.2630186577555,12.3346730104062,10.1496603229271,11.2421666666667,0.724788931195336,60.2058399644036,11.0082,11.2874549052204,NA,NA
"6821803","2021-02-17",NA,0.320707070707071,0.293619148882307,0.272058513286584,12.4205173265996,10.1648160067338,11.2926666666667,0.798798424270147,63.0655475920543,11.0462,11.3491275845243,3.20106425436297,NA
"6821802","2021-02-18",NA,0.275252525252525,0.292638161059214,0.288011695906433,12.4572226620049,10.2114440046618,11.3343333333333,0.66133973495055,58.4155780323614,11.077,11.3785772399211,3.08299869480708,NA
"6821801","2021-02-19",51.6655335728441,0.286445012787724,0.29413486958244,0.29346405984132,12.4934058651392,10.2492574681941,11.3713316666667,0.653867572722341,59.8330956530029,11.1066,11.4147669412649,3.01037295051874,NA
"6821800","2021-02-22",52.0644904919532,0.278541114058356,0.280079550699535,0.288950860447063,12.5655039702735,10.2811660297265,11.423335,0.764145826509744,61.0848782374337,11.135404,11.4554780157629,2.96680686362112,NA
"6821799","2021-02-23",50.4953187214687,0.0385674931129473,0.201184539986342,0.258466320089439,12.5645760099748,10.3014273233585,11.4330016666667,0.402936853140764,44.6298187984876,11.140604,11.3880809469946,2.36130886363444,NA
"6821798","2021-02-24",49.038230648876,0.0726256983240223,0.129911435165109,0.203725175283662,12.5605877049425,10.3330822950575,11.446835,0.396669910514283,47.9623188151277,11.152604,11.3523368207286,1.97872652814368,NA
"6821797","2021-02-25",46.6349067970202,0,0.0370643971456567,0.122720124099036,12.5346497539748,10.3880202460252,11.461335,0.209000397590737,40.4124231606975,11.145804,11.2560252446315,1.30987114512966,NA
"6821796","2021-02-26",44.0692821586906,0,0.0242085661080076,0.0637281328062576,12.5399043220621,10.3774323446046,11.4586683333333,0.118337250792781,38.167643837264,11.127804,11.1498885453473,0.646278919022025,NA
"6821795","2021-03-01",41.807369369121,0.128440366972477,0.0428134556574924,0.0346954729703856,12.516402824094,10.426767175906,11.471585,0.200146290793157,43.7133628053928,11.121404,11.095236739301,0.317201860063476,2.09718111992258
"6821794","2021-03-02",39.1403714799353,0,0.0428134556574924,0.0366118258076642,12.5280605639892,10.4044427693441,11.4662516666667,0.0810992909161134,39.8630398466242,11.104204,11.0105385073942,-0.148295126565201,1.64808587062502
"6821793","2021-03-03",36.4817986976329,0,0.0428134556574924,0.0428134556574924,12.572146155995,10.3203571773383,11.4462516666667,0.0264868614364085,36.8656531975646,11.079004,10.9051333730749,-0.69002765853361,1.1804631647933
"6821792","2021-03-04",34.7679718750082,0,1.85037170770859e-16,0.0285423037716617,12.677694322549,10.1258090107844,11.4017516666667,-0.0623626553215435,32.1001808660411,11.052204,10.7551155899983,-1.43821195192426,0.656728141449784
"6821791","2021-03-05",33.0719928505598,0.0419580419580423,0.0139860139860143,0.0189331565478356,12.6667257977638,9.93777753556951,11.3022516666667,0.0460088597146467,34.5837867083972,11.024604,10.6411001779985,-1.92802114379723,0.139778284400381
"6821790","2021-03-08",31.2809232352774,0.13986013986014,0.0606060606060609,0.0248640248640251,12.5966762440285,9.82816042263813,11.2124183333333,0.164410442294892,40.0902532855226,11.012604,10.5796201542654,-2.08382965231715,-0.304943302943125
"6821789","2021-03-09",29.6177871639436,0.157342657342658,0.113053613053613,0.0625485625485629,12.4757971997726,9.75970613356076,11.1177516666667,0.203832340770787,41.0446036128407,11.000604,10.5330041336967,-2.14623285338218,-0.673201213030936
