"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"6897419","2017-11-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6897418","2017-11-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6897417","2017-11-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6897416","2017-11-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6897415","2017-11-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6897414","2017-11-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6897413","2017-11-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6897412","2017-11-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6897411","2017-11-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6897410","2017-11-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6897409","2017-11-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6897408","2017-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6897407","2017-11-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6897406","2017-11-21",NA,0.33933933933934,NA,NA,NA,NA,NA,NA,NA,NA,7.50535714285714,NA,NA
"6897405","2017-11-22",NA,0.56,NA,NA,NA,NA,NA,NA,68.8787185354691,NA,7.53930952380952,NA,NA
"6897404","2017-11-24",NA,0.709163346613546,0.536167561984295,NA,NA,NA,NA,NA,72.1706280497403,NA,7.60073492063492,NA,NA
"6897403","2017-11-27",NA,0.755395683453237,0.674853010022261,NA,NA,NA,NA,NA,76.2318900528433,NA,7.70197026455027,NA,NA
"6897402","2017-11-28",NA,0.664383561643835,0.709647530570206,0.640222700858921,NA,NA,NA,NA,73.6593757037763,NA,7.77904089594356,NA,NA
"6897401","2017-11-29",NA,0.650684931506849,0.690154725534641,0.691551755375703,NA,NA,NA,NA,72.9961735841075,NA,7.84316877648442,NA,NA
"6897400","2017-11-30",NA,0.785310734463276,0.700126409204654,0.699976221769834,8.73133120809996,7.0158354585667,7.87358333333333,1.05557312432435,77.7437974218064,NA,7.95741293961983,NA,NA
"6897399","2017-12-01",NA,0.697777777777778,0.711257814582635,0.70051298310731,8.94651896593939,6.96231436739394,7.95441666666666,1.08071128392943,79.3437495784615,NA,8.08042454767052,NA,NA
"6897398","2017-12-04",NA,0.735408560311284,0.739499024184113,0.716961082657134,9.18431960172955,6.94851373160378,8.06641666666667,1.10839360794928,81.8427592609465,NA,8.22970127464778,NA,NA
