"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"6939600","2003-06-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6939599","2003-06-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6939598","2003-06-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6939597","2003-06-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6939596","2003-06-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6939595","2003-06-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6939594","2003-06-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6939593","2003-06-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6939592","2003-06-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6939591","2003-06-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6939590","2003-06-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6939589","2003-06-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6939588","2003-06-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6939587","2003-07-01",NA,0.164926931106472,NA,NA,NA,NA,NA,NA,NA,NA,16.8271428571429,NA,NA
"6939586","2003-07-02",NA,0.725321888412017,NA,NA,NA,NA,NA,NA,60.8173076923077,NA,16.9701904761905,NA,NA
"6939585","2003-07-03",NA,0.785407725321888,0.558552181613459,NA,NA,NA,NA,NA,62.1877230549607,NA,17.1128317460317,NA,NA
"6939584","2003-07-07",NA,0.56923076923077,0.693320127654891,NA,NA,NA,NA,NA,61.6898148148148,NA,17.2324541798942,NA,NA
"6939583","2003-07-08",NA,0.55,0.634879498184219,0.628917269150857,NA,NA,NA,NA,60.815848168188,NA,17.3294602892416,NA,NA
"6939582","2003-07-09",NA,0.542586750788643,0.553939173339804,0.627379599726305,NA,NA,NA,NA,64.00136633794,NA,17.4521989173427,NA,NA
