"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"6969963","2014-03-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6969962","2014-03-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6969961","2014-03-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6969960","2014-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6969959","2014-04-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6969958","2014-04-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6969957","2014-04-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6969956","2014-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6969955","2014-04-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6969954","2014-04-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6969953","2014-04-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6969952","2014-04-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6969951","2014-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6969950","2014-04-15",NA,0.08823529411764,NA,NA,NA,NA,NA,NA,NA,NA,19.9928571428571,NA,NA
"6969949","2014-04-16",NA,0.0937500000000035,NA,NA,NA,NA,NA,NA,72.7272727272724,NA,19.9951428571429,NA,NA
"6969948","2014-04-17",NA,0.218750000000001,0.133578431372548,NA,NA,NA,NA,NA,80.4020100502508,NA,20.0024571428571,NA,NA
"6969947","2014-04-21",NA,0.319148936170211,0.210549645390072,NA,NA,NA,NA,NA,87.7978339350176,NA,20.0194628571429,NA,NA
"6969946","2014-04-22",NA,0.170212765957444,0.236037234042552,0.193388436935057,NA,NA,NA,NA,64.7665351050895,NA,20.0248678095238,NA,NA
"6969945","2014-04-23",NA,0.239130434782615,0.242830712303423,0.229805863912015,NA,NA,NA,NA,69.6636917118246,NA,20.0348854349206,NA,NA
"6969944","2014-04-24",NA,0.0652173913043502,0.158186864014803,0.212351603453592,20.1809701753863,19.945363157947,20.0631666666667,0.557298802670323,53.6135781316439,NA,20.0329007102646,NA,NA
"6969943","2014-04-25",NA,0,0.101449275362322,0.167488950560183,20.1815615782483,19.943771755085,20.0626666666667,0.208425985557261,47.6964330946075,NA,20.0258472822293,NA,NA
"6969942","2014-04-28",NA,0.0212765957446767,0.0288313290163424,0.0961558227978223,20.1801438525678,19.9415228140989,20.0608333333333,0.398723654788661,49.2057372746897,NA,20.0210676445987,NA,NA
"6969941","2014-04-29",NA,0.0212765957446767,0.0141843971631179,0.0481550005139273,20.1759565747097,19.9380434252903,20.057,0.358491778412324,49.2057372746897,NA,20.0169252919856,NA,NA
"6969940","2014-04-30",NA,0.0212765957446767,0.0212765957446768,0.0214307739747123,20.1712821485545,19.9347178514455,20.053,0.360503041231134,49.2057372746897,NA,20.0133352530541,NA,NA
"6969939","2014-05-01",NA,0.129870129870127,0.0574744404531603,0.0309784777869849,20.2262855061227,19.9103811605439,20.0683333333333,1.24389606629011,61.646500483541,20.012,20.0222238859803,NA,NA
"6969938","2014-05-02",NA,0.181818181818183,0.110988302477662,0.0632464462251664,20.2509785473231,19.9026881193435,20.0768333333333,0.95890819986213,65.6708656450176,20.0184,20.0352607011829,0.109969039094948,NA
"6969937","2014-05-05",NA,0.233766233766234,0.181818181818181,0.116760308249668,20.2684181621929,19.9015818378071,20.085,0.849838128893602,69.1562035947618,20.0248,20.0518926076918,0.15029894693952,NA
"6969936","2014-05-06",68.9296070251889,0,0.138528138528139,0.143778207607994,20.3181866392388,19.8174800274279,20.0678333333333,-0.247942989299813,25.6635778768399,20.0064,19.9836402599996,-0.0668532950011902,NA
"6969935","2014-05-07",64.9493554443302,0.132231404958678,0.121999212908304,0.147448511084875,20.3384191907995,19.7689141425339,20.0536666666667,-0.0215054737521538,36.7232364044088,19.9944,19.9458215586663,-0.172776312471135,NA
"6969934","2014-05-08",60.6848480355841,0.0413223140495873,0.0578512396694218,0.106126197035288,20.3633280050715,19.7116719949285,20.0375,-0.0332568020414799,33.0794286972106,19.9788,19.8983786841775,-0.298100593548534,NA
"6969933","2014-05-09",57.2013654804211,0.0165289256198343,0.0633608815426999,0.0810704447068085,20.3789536920331,19.6663796413002,20.0226666666667,0.0565373175250853,32.142707787605,19.9612,19.8532615262871,-0.405276197981486,NA
"6969932","2014-05-12",53.5490084828577,0,0.019283746556474,0.0468319559228652,20.3987792102615,19.6058874564052,20.0023333333333,0.022002848236611,29.7253928645816,19.9404,19.8034933227822,-0.517177271752323,NA
"6969931","2014-05-13",50.7873195820347,0,0.0055096418732782,0.029384756657484,20.4813037314579,19.4453629352088,19.9633333333333,-0.201455787143162,21.9483381241863,19.9056,19.7136942130779,-0.740953951648515,NA
"6969930","2014-05-14",48.4368196880283,0,8.44232091642046e-17,0.00826446280991741,20.5432975669248,19.3007024330752,19.922,-0.10250249358959,20.9370588295174,19.8684,19.6278683180008,-0.933473554461306,-0.31937146564778
"6969929","2014-05-15",46.2542126435937,0.0773809523809518,0.0257936507936507,0.0104344308889763,20.5691596969344,19.194173636399,19.8816666666667,0.0260558013126975,28.6119428491865,19.8364,19.5708192089341,-1.02174978854481,-0.459847130227186
"6969928","2014-05-16",43.6414001410083,0.035714285714285,0.0376984126984123,0.021164021164021,20.5728620039715,19.1011379960285,19.837,0.0807637867765704,27.0871809372343,19.802,19.5120433144095,-1.10849669209163,-0.589577042600075
"6969927","2014-05-19",41.4445009507084,0.071428571428572,0.0615079365079363,0.0416666666666664,20.531304738192,19.057695261808,19.7945,0.223241917299509,30.5057281975671,19.77,19.4691042058216,-1.13982650359212,-0.699626934798485
"6969926","2014-05-20",39.4045231311443,0.166666666666667,0.0912698412698415,0.0634920634920634,20.4928019305904,19.0315314027429,19.7621666666667,0.313746557204859,38.7524247419528,19.7444,19.4532236450454,-1.0860163847498,-0.776904824788748
"6969925","2014-05-21",36.9894104185388,0.12142857142857,0.11984126984127,0.0908730158730159,20.4516708734772,18.9989957931895,19.7253333333333,0.273750736743161,35.6226398386722,19.7144,19.424793825706,-1.07675894949835,-0.836875649730668
"6969924","2014-05-22",34.4270723749583,0.0800000000000011,0.122698412698413,0.111269841269841,20.4223386436798,18.9419946896535,19.6821666666667,0.183294323553541,33.7543860925979,19.6808,19.3908213156119,-1.08624368602324,-0.886749256989181
"6969923","2014-05-23",33.1711485568964,0.225806451612904,0.142411674347159,0.128317118962281,20.3883001500822,18.9150331832511,19.6516666666667,0.317865098875797,39.1546671298861,19.65,19.3760451401969,-1.03619959087293,-0.916639323765932
"6969922","2014-05-27",31.0839732785903,0,0.101935483870969,0.122348523638847,20.3479278571656,18.8740721428344,19.611,0.236971086859354,33.5343544706288,19.6076,19.335239121504,-1.07190635536595,-0.947692730085935
"6969921","2014-05-28",29.3701387523663,0,0.0752688172043015,0.106538658474143,20.3182915283038,18.8000418050296,19.5591666666667,0.122921057567947,29.0445603202683,19.5596,19.2718739053035,-1.17497142893176,-0.9931484698551
"6969920","2014-05-29",27.6557366281796,0.0350877192982448,0.0116959064327483,0.0629667358360061,20.2717552054692,18.7469114611975,19.5093333333333,0.181278818353859,30.9411832295444,19.5116,19.2222907179297,-1.2264766863489,-1.03981411315386
"6969919","2014-05-30",26.0637917985776,0.152380952380952,0.0624895572263992,0.0498180936211496,20.1379834702097,18.7600165297903,19.449,0.244309298722303,36.4308692687898,19.4716,19.1953186222057,-1.2034200478741,-1.07253530009791
"6969918","2014-06-02",24.3587080358389,0.152173913043479,0.113214194907559,0.0624665528555687,19.993876360419,18.7904569729143,19.3921666666667,0.257219578062087,35.9183872456975,19.4324,19.169276139245,-1.18016103633635,-1.0940604473456
"6969917","2014-06-03",22.7794761709919,0.304347826086957,0.202967563837129,0.126223771990362,19.8150047014341,18.8696619652326,19.3423333333333,0.367067612777551,42.0624027843252,19.3984,19.1653726540123,-1.09031902615941,-1.09331216310836
"6969916","2014-06-04",22.3809231412004,0.315217391304346,0.257246376811594,0.191142711852094,19.7677455543874,18.8789211122792,19.3233333333333,0.488749184286292,42.4865774561598,19.3648,19.1633229668107,-1.00334613146719,-1.07531895678013
"6969915","2014-06-05",22.1171299655778,0.478260869565218,0.365942028985507,0.27538532321141,19.7077097510797,18.9056235822536,19.3066666666667,0.645454031251294,48.5691074105208,19.3372,19.1815465712359,-0.861329703158742,-1.03252110605585
"6969914","2014-06-06",21.3104145053811,0.358695652173914,0.384057971014493,0.335748792270531,19.649341454874,18.927658545126,19.2885,0.55288564569168,44.8252136099333,19.3016,19.1826736950711,-0.785973581759658,-0.983211601196611
"6969913","2014-06-09",20.5613215780556,0.395604395604395,0.410853639114509,0.38695121303817,19.574857602014,18.9624757313193,19.2686666666667,0.567496010759496,46.0467165910812,19.2656,19.1876505357283,-0.705495674438983,-0.927668415845085
"6969912","2014-06-10",19.7566518075056,0.399999999999999,0.38476668259277,0.393226097573924,19.5092041532461,18.9904625134206,19.2498333333333,0.493895483948939,45.3262773713663,19.2272,19.1892971309645,-0.642707151271538,-0.870676162930376
"6969911","2014-06-11",19.6191574751529,0.444444444444442,0.413349613349612,0.402989978352297,19.5137859308546,18.9928807358121,19.2533333333333,0.602385873362203,46.2322297906026,19.2144,19.1933908468359,-0.577872037042126,-0.812115337752726
"6969910","2014-06-12",18.6670984405934,0.25925925925926,0.3679012345679,0.388672510170094,19.5142461711432,18.9900871621901,19.2521666666667,0.305084592801852,40.7750618497536,19.1892,19.1769387339245,-0.582849162738164,-0.766262102749813
"6969909","2014-06-13",18.1814598212376,0.234567901234569,0.31275720164609,0.364669349854534,19.5135927688606,18.9844072311394,19.249,0.344414997265667,40.095480700458,19.1676,19.1600135694012,-0.588507153829232,-0.730711112965697
"6969908","2014-06-16",17.9885011173021,0.382716049382718,0.292181069958849,0.324279835390946,19.515684951028,18.9869817156387,19.2513333333333,0.529001777002646,45.9195063150482,19.152,19.161345093481,-0.536324463522564,-0.691833783077071
"6969907","2014-06-17",17.8093251779334,0.363636363636364,0.32697343808455,0.310637236563163,19.5012907444176,18.9873759222491,19.2443333333333,0.504540311414812,46.3872791255145,19.14,19.1638324143502,-0.48516290588696,-0.650499607639048
"6969906","2014-06-18",18.2841257119586,0.223880597014923,0.323411003344668,0.314188503796022,19.4654222850811,19.0019110482522,19.2336666666667,0.592770134968431,45.1262375914883,19.1408,19.1619880924369,-0.452034020673742,-0.610806490245987
"6969905","2014-06-19",18.7250119221248,0.417910447761195,0.335142469470827,0.328508970300015,19.4553501477387,19.0059831855946,19.2306666666667,0.735887390328436,51.3039919136587,19.1492,19.1777230134453,-0.366834411279704,-0.56201207445273
"6969904","2014-06-20",19.1783546328899,0.483870967741936,0.375220670839351,0.344591381218282,19.473831378812,19.0048352878546,19.2393333333333,0.814146186234876,54.2882289350267,19.1552,19.2006932783193,-0.266830416167907,-0.502975742795766
"6969903","2014-06-23",19.7807251623471,0.435483870967741,0.44575509549029,0.385372745266823,19.4732594782702,19.0050738550631,19.2391666666667,0.800806616761595,52.7949523569274,19.1628,19.21660084121,-0.197933886785551,-0.441967371593723
"6969902","2014-06-24",19.3074491046492,0.209677419354837,0.376344086021504,0.399106617450382,19.4771959409243,19.0074707257423,19.2423333333333,0.594381421095643,46.3830701462844,19.1624,19.2117207290487,-0.199805566168187,-0.393535010508616
"6969901","2014-06-25",18.0315895638806,0,0.215053763440859,0.345717648317551,19.4609024932998,19.0370975067002,19.249,0.195614718847373,40.0262034942267,19.1488,19.1848246318422,-0.269640031781593,-0.368756014763211
"6969900","2014-06-26",16.8468628474526,0.0769230769230753,0.0955334987593039,0.228977116073889,19.4470771021964,19.0625895644703,19.2548333333333,0.201334056202518,42.0390688128893,19.1412,19.1668480142632,-0.304761382976182,-0.355957088405805
"6969899","2014-06-27",16.3854391859623,0.461538461538459,0.179487179487178,0.163358147229114,19.4461083238781,19.0862250094552,19.2661666666667,0.658847783088652,50.910548156272,19.1444,19.1779349456948,-0.24562008824428,-0.3338896883735
"6969898","2014-06-30",16.5414564966912,0.603448275862067,0.380636604774534,0.218552427673672,19.4605875371002,19.1054124628997,19.283,0.932650480928529,54.9909928634366,19.1476,19.2022102862688,-0.150783837560187,-0.297268518210838
"6969897","2014-07-01",18.1222195983274,0.683673469387755,0.582886735596094,0.381003506619268,19.5897446996403,19.0329219670264,19.3113333333333,1.34766654152988,64.2902473542144,19.172,19.265915581433,0.0577612908824188,-0.226262556392186
"6969896","2014-07-02",19.0310087286029,0.585858585858585,0.624326777036136,0.529283372468921,19.6641204600744,18.9998795399256,19.332,1.09416192934683,60.5039916369924,19.2012,19.3091268372419,0.18279726865591,-0.144450591382567
"6969895","2014-07-03",18.963443957156,0.424242424242423,0.564591493162921,0.590601668598383,19.6853814995376,18.9932851671291,19.3393333333333,0.833286936897847,54.3732591330546,19.2224,19.325243258943,0.212452318873813,-0.0730700093312912
"6969894","2014-07-07",18.1908377423095,0.282828282828281,0.43097643097643,0.539964900391829,19.6886812166257,18.9956521167076,19.3421666666667,0.559401065080142,49.634100637794,19.2332,19.3205441577506,0.175484540037751,-0.0233590994574827
"6969893","2014-07-08",17.9827274514735,0.353535353535352,0.353535353535352,0.449701092558234,19.7011032801012,18.9995633865654,19.3503333333333,0.675328589483449,51.8919169566219,19.2476,19.3258049367172,0.173407996202934,0.0159943196746007
"6969892","2014-07-09",18.7128691907594,0.535353535353534,0.390572390572389,0.391694725028057,19.7486021497694,18.9960645168972,19.3723333333333,0.917697826132132,57.2045384761295,19.2636,19.3543642784882,0.243998984436433,0.0615952526269672
