"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"7070494","2020-02-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7070493","2020-02-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7070492","2020-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7070491","2020-02-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7070490","2020-02-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7070489","2020-02-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7070488","2020-03-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7070487","2020-03-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7070486","2020-03-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7070485","2020-03-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7070484","2020-03-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7070483","2020-03-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7070482","2020-03-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7070481","2020-03-13",NA,0.31566666666667,NA,NA,NA,NA,NA,NA,NA,NA,9.89926428571428,NA,NA
"7070480","2020-03-16",NA,0,NA,NA,NA,NA,NA,NA,39.2799714132571,NA,9.86869571428571,NA,NA
"7070479","2020-03-17",NA,0,0.105222222222223,NA,NA,NA,NA,NA,34.9134508496109,NA,9.82486961904762,NA,NA
"7070478","2020-03-18",NA,0,0,NA,NA,NA,NA,NA,26.5885473878859,NA,9.74155366984127,NA,NA
"7070477","2020-03-19",NA,0.125000000000002,0.0416666666666672,0.0489629629629636,NA,NA,NA,NA,31.7436272875743,NA,9.68267984719577,NA,NA
"7070476","2020-03-20",NA,0.125000000000002,0.0833333333333344,0.0416666666666672,NA,NA,NA,NA,31.7436272875743,NA,9.63165586756967,NA,NA
"7070475","2020-03-23",NA,0.162500000000001,0.137500000000001,0.087500000000001,10.2555405319504,9.27677280138298,9.76615666666667,0.108872134442542,33.3715065772206,NA,9.59143508522704,NA,NA
"7070474","2020-03-24",NA,0.181818181818182,0.156439393939395,0.125757575757577,10.2557602157763,9.21955311755703,9.73765666666667,0.116238233312586,33.9370944542557,NA,9.55791040719677,NA,NA
"7070473","2020-03-25",NA,0.400000000000001,0.248106060606061,0.180681818181819,10.2320773023845,9.19723603094881,9.71465666666667,0.292570442838196,42.3668862576421,NA,9.55018901957054,NA,NA
"7070472","2020-03-26",NA,0.466666666666669,0.349494949494951,0.251346801346802,10.2007324213758,9.19234091195758,9.69653666666667,0.421720218854073,44.739927747673,NA,9.55016381696113,NA,NA
"7070471","2020-03-27",NA,0.466800000000002,0.44448888888889,0.347363299663301,10.1676240670291,9.18812259963755,9.67787333333333,0.417161941353616,44.7448280272828,NA,9.55015530803298,NA,NA
"7070470","2020-03-30",NA,0.466666666666669,0.466711111111113,0.420231649831651,10.13683289714,9.1805804361933,9.65870666666667,0.386320118267677,44.7405553954925,9.696792,9.55013460029525,NA,NA
"7070469","2020-03-31",NA,0.56923076923077,0.500899145299147,0.470699715099717,10.0926294856496,9.18911718101712,9.64087333333334,0.502722707800862,45.8541634695604,9.683192,9.55278332025588,-1.61245211100078,NA
"7070468","2020-04-01",NA,0.468750000000001,0.501549145299146,0.489719800569802,10.0421892693708,9.20089073062916,9.62154,0.490245238415673,42.6170219825071,9.664792,9.54574554422177,-1.52458022935144,NA
"7070467","2020-04-02",37.2239408828823,1,0.679326923076924,0.560591737891739,10.0241027655003,9.20897723449974,9.61654,0.774141824174875,58.0923997621466,9.659192,9.58497947165886,-1.15481248917172,NA
"7070466","2020-04-03",34.7129542875395,0.781249999999999,0.75,0.643625356125357,9.98758571430946,9.22349428569055,9.60554,0.662886266405262,51.887245345993,9.648792,9.60031554210435,-0.968611153798415,NA
"7070465","2020-04-06",32.6797941022318,0.703125000000001,0.828125,0.752483974358975,9.98157844147598,9.22416822519069,9.60287333333333,0.623834259581737,49.8396917622304,9.638792,9.60694013649044,-0.853183730050266,NA
"7070464","2020-04-07",30.7918596444461,0.648148148148148,0.710841049382716,0.762988683127572,9.95055918559492,9.23385414773842,9.59220666666667,0.603892111910767,49.8396917622304,9.624792,9.61268145162505,-0.753007162228292,NA
"7070463","2020-04-08",28.7497714017761,0.685185185185185,0.678819444444445,0.73926183127572,9.91105244259371,9.25102755740629,9.58104,0.670134999230287,50.7414408737345,9.611592,9.62032392474171,-0.649347548051848,NA
"7070462","2020-04-09",26.8264768912308,0.88235294117647,0.738562091503268,0.709407528443476,9.91048006708332,9.25126659958335,9.58087333333333,0.802067048814766,55.4817926095721,9.605792,9.64161406810948,-0.469703888760142,NA
"7070461","2020-04-13",25.5399356937769,0.66,0.742512708787218,0.719964748244977,9.89917040682552,9.25559625984115,9.57738333333333,0.731959804527321,50.2717904850939,9.594592,9.64539885902822,-0.414594730096063,-0.933365893612107
"7070460","2020-04-14",24.3452902961411,0.735000000000001,0.759117647058824,0.746730815783103,9.91330151136118,9.25179182197216,9.58254666666667,0.788310213832468,53.6746564425317,9.596588,9.65933234449112,-0.300713140237663,-0.806835342937218
"7070459","2020-04-15",23.306240390487,0.705882352941177,0.70029411764706,0.733974824497701,9.92908393466665,9.25400939866669,9.59154666666667,0.719906581298366,53.1889913683601,9.591788,9.67008803189231,-0.216283826717945,-0.688725039693364
"7070458","2020-04-16",21.9067374754171,0.852941176470586,0.764607843137255,0.741339869281046,9.93840972110193,9.29201694556474,9.61521333333333,0.770403187166514,55.3846816951396,9.587388,9.68607629430666,-0.106546714165878,-0.572289374587867
"7070457","2020-04-17",21.6516803648094,0.411764705882355,0.65686274509804,0.707254901960785,9.92391896121074,9.3421743721226,9.63304666666667,0.552061793499684,48.0961602833427,9.582988,9.67993278839911,-0.142853820927025,-0.486402263855698
"7070456","2020-04-20",20.6595179360992,0.882352941176473,0.715686274509805,0.712385620915033,9.91764759153383,9.39677907513284,9.65721333333333,0.774131881982937,54.9120651585183,9.5832,9.6959417499459,-0.0380089549088081,-0.39672360206632
"7070455","2020-04-21",20.5204824875096,0.511764705882352,0.601960784313727,0.658169934640524,9.9027755973174,9.44491773601593,9.67384666666667,0.592066418196923,49.4094481897096,9.58336,9.69301618328644,-0.0590826909736331,-0.329195419847783
"7070454","2020-04-22",20.3913781423907,0.589999999999995,0.661372549019607,0.659673202614379,9.86916572517462,9.52172760815872,9.69544666666667,0.720336599768723,52.8048582060633,9.59208,9.70168069218158,-0.00586004205144208,-0.264528344288515
"7070453","2020-04-23",20.0023137595024,0.950000000000001,0.683921568627449,0.649084967320261,9.8702828636934,9.55361046963993,9.71194666666667,0.872793257480465,55.5581535317803,9.61728,9.71878993322404,0.0949599455392081,-0.19263068632297
"7070452","2020-04-24",19.9993629917803,0.675000000000001,0.738333333333333,0.694542483660129,9.8770230612061,9.56471027212723,9.72086666666667,0.740570786598035,53.0139014134109,9.63628,9.72628460879417,0.127656366451356,-0.128573275768105
"7070451","2020-04-27",19.5112105820516,1,0.875000000000001,0.765751633986928,9.89728341164185,9.57377658835815,9.73553,0.977486064844254,57.4060781299696,9.65988,9.74811332762161,0.245900795086573,-0.0536784615971693
"7070450","2020-04-28",19.1298512576757,0.960000000000001,0.878333333333334,0.830555555555556,9.90232309323959,9.60207024009374,9.75219666666667,0.936754106722736,56.9079168699163,9.68188,9.76569821727206,0.327309673011933,0.0225191653246512
"7070449","2020-04-29",18.7757318850409,0.960000000000001,0.973333333333334,0.90888888888889,9.91527260701858,9.61278739298142,9.76403,0.883390640660374,56.9079168699163,9.70348,9.78093845496912,0.387177554308837,0.0954508431214884
"7070448","2020-04-30",19.3592339712282,0.439999999999998,0.786666666666667,0.879444444444445,9.90713294515517,9.63792705484483,9.77253,0.540130375011036,50.3237907616759,9.71348,9.77681332763991,0.323635836052683,0.141087841707727
"7070447","2020-05-01",20.3694997559303,0.119999999999997,0.506666666666665,0.755555555555555,9.90194661554883,9.62611338445117,9.76403,0.159105613831188,46.7399782902269,9.71828,9.76257155062125,0.204860810610574,0.153842435488297
"7070446","2020-05-04",19.6039290299637,0.186399999999999,0.248799999999998,0.514044444444443,9.90203740889637,9.62712925777029,9.76458333333333,0.414456277231739,47.5742724039937,9.72374,9.75244201053842,0.122947759726366,0.147663500335911
"7070445","2020-05-05",18.8930419272805,0.283999999999999,0.196799999999998,0.317422222222221,9.90119363634451,9.63237303032216,9.76678333333333,0.402847229410331,48.8427746580725,9.73018,9.7469164091333,0.0772901368052858,0.133588827629786
"7070444","2020-05-06",18.2403526457605,0.280000000000001,0.250133333333333,0.23191111111111,9.89755870616705,9.64264129383295,9.7701,0.354462668280284,48.7906697764343,9.73578,9.74199422124886,0.0398043073198906,0.114831923567807
"7070443","2020-05-07",17.435594862271,0.136363636363633,0.233454545454544,0.226795959595959,9.89587986553196,9.64832013446803,9.7721,0.343404795682806,48.2365053973085,9.74378,9.73639499174901,0.00177654847051123,0.0922208485483476
"7070442","2020-05-08",16.6883197776022,0.181818181818185,0.19939393939394,0.227660606060606,9.89459520115696,9.64560479884304,9.7701,0.379111806237212,48.862009507843,9.73858,9.73287565951581,-0.0198572430338939,0.0698052302318993
"7070441","2020-05-11",15.5893076758441,0.409090909090907,0.242424242424242,0.225090909090909,9.89614736937908,9.65005263062092,9.7731,0.555127820834886,51.9861313789325,9.74098,9.73649223824703,0.00439379270809059,0.0567229427271375
"7070440","2020-05-12",15.2092230061427,0.0909090909090887,0.227272727272727,0.223030303030303,9.89720372470488,9.64066960862845,9.76893666666667,0.19229563742255,47.6016425580454,9.74258,9.73029327314743,-0.0340254826951658,0.0385732576426769
"7070439","2020-05-13",14.828788792421,0.409090909090907,0.303030303030301,0.257575757575757,9.89929872063282,9.64357461270051,9.77143666666666,0.572591252672383,51.9645685516279,9.74698,9.73425417006111,-0.00636375921784227,0.029585854270573
"7070438","2020-05-14",14.2862227138847,0,0.166666666666665,0.232323232323231,9.90002255467711,9.63118411198956,9.76560333333333,0.156782716498482,43.5889889389508,9.74458,9.71768694738629,-0.1076462062366,0.0021394421691384
"7070437","2020-05-15",13.3768044033085,0.5,0.303030303030302,0.257575757575756,9.89768095651313,9.64552571015354,9.77160333333333,0.54651896071705,51.4537369163578,9.74338,9.72199535440145,-0.0709199204978139,-0.0124724303642521
"7070436","2020-05-18",12.5323445434877,0.703703703703705,0.401234567901235,0.290310512532734,9.89768095651313,9.64552571015354,9.77160333333333,0.61261580743068,53.9244272776361,9.74858,9.73239597381459,-0.000348716788123316,-0.0100476876490263
"7070435","2020-05-19",12.3049389641319,0.500000000000004,0.567901234567903,0.424055368499813,9.89718589431309,9.64875410568691,9.77297,0.380705014319804,50.0815789186841,9.747784,9.73207651063931,-0.0024591447834621,-0.00852997907591347
"7070434","2020-05-20",12.4231531793633,0.316666666666669,0.506790123456792,0.491975308641977,9.89660956680344,9.64453043319655,9.77057,0.315256426291025,47.7768262694513,9.745624,9.7259329758874,-0.0401634254446726,-0.0148566683496653
"7070433","2020-05-21",12.0558938393563,0.374999999999999,0.397222222222224,0.490637860082306,9.88985914145212,9.64328085854788,9.76657,0.432800245809022,48.5875532488736,9.742024,9.72247524576908,-0.0577790197572647,-0.0234411386311852
"7070432","2020-05-22",11.3465676392041,0.57142857142857,0.421031746031746,0.441681363903587,9.89137584353688,9.64316415646312,9.76727,0.672151442600297,52.5536968234165,9.747224,9.72881187966654,-0.0135020378201567,-0.0214533184689795
"7070431","2020-05-26",11.9478743340769,0,0.31547619047619,0.377910052910053,9.87149334349474,9.64405332317192,9.75777333333333,0.246277429166778,43.7349172027135,9.739228,9.711650295711,-0.11808286759053,-0.0407792282932896
"7070430","2020-05-27",12.5062305507446,0.333111037012336,0.301513202813635,0.346007046440523,9.84877444051441,9.65243889281892,9.75060666666667,0.445976840204626,49.139280218109,9.740268,9.71009692294953,-0.116697049224324,-0.0559627924794964
"7070429","2020-05-28",12.4366518367828,0.533177725908636,0.288762920973657,0.301917438087827,9.82853544766307,9.66467788567027,9.74660666666667,0.825852116215911,52.1142482687124,9.740348,9.71675066655626,-0.064999122287035,-0.0577700584410041
"7070428","2020-05-29",12.8075960230668,0.333111037012336,0.399799933311102,0.330025352366132,9.82652145088965,9.66502521577702,9.74577333333333,0.629373500990654,49.0260084179606,9.735148,9.71451724434876,-0.0730272734114745,-0.0608215014350982
"7070427","2020-06-01",13.0493687421652,0.322684737011943,0.396324499977638,0.361629118087466,9.82419218758092,9.67736114575242,9.75077666666667,0.631375489540748,49.0314295555637,9.732152,9.71259494510226,-0.0784064150797237,-0.0643384841640233
"7070426","2020-06-02",13.273871981328,0.645046789286869,0.433614187770383,0.409912873686374,9.83318316799486,9.67593016533848,9.75455666666667,0.894968610778894,54.2643790105517,9.728552,9.72424895242196,0.00027915738294304,-0.05141495585463
"7070425","2020-06-03",12.8319046363714,0.483704420780898,0.483811982359903,0.437916890035975,9.83880782678439,9.67657217321561,9.75769,0.781339719903065,51.4188957671225,9.723352,9.72768242543237,0.0208676569044552,-0.036958433302813
"7070424","2020-06-04",12.4215063874831,0.548241368183284,0.558997526083684,0.492141232071323,9.84544963214238,9.67796370119095,9.76170666666667,0.808244796284624,52.4920258782874,9.718952,9.73332476870805,0.0531456491985383,-0.0189376168025427
"7070423","2020-06-05",12.419592596574,0.419167473378511,0.483704420780898,0.508837976408162,9.84808559526923,9.68099440473078,9.76454,0.652371886979528,50.1080221051984,9.718152,9.73288146621364,0.0450398181380374,-0.00614212981442671
