"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"7146840","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7146839","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7146838","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7146837","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7146836","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7146835","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7146834","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7146833","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7146832","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7146831","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7146830","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7146829","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7146828","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7146827","2001-08-17",NA,0.0454500608412534,NA,NA,NA,NA,NA,NA,NA,NA,12.2426028571429,NA,NA
"7146826","2001-08-20",NA,0.0363567599565883,NA,NA,NA,NA,NA,NA,46.9564943848501,NA,12.2275438095238,NA,NA
"7146825","2001-08-21",NA,0.018170158187261,0.0333256596617009,NA,NA,NA,NA,NA,46.0929835937853,NA,12.213017968254,NA,NA
"7146824","2001-08-22",NA,0.00909330088466513,0.0212067396761715,NA,NA,NA,NA,NA,45.6418512260446,NA,12.1996929058201,NA,NA
"7146823","2001-08-23",NA,0,0.00908781969064203,0.0212067396761715,NA,NA,NA,NA,45.164935874893,NA,12.1874071850441,NA,NA
"7146822","2001-08-24",NA,0.0235141404038919,0.0108691470961857,0.0137212354876664,NA,NA,NA,NA,46.3708076703038,NA,12.1782328937049,NA,NA
"7146821","2001-08-27",NA,0,0.00783804680129729,0.009265004529375,12.5393506266388,11.9814743733612,12.2604125,-0.246394618675574,24.3990940750246,NA,12.1142591745442,NA,NA
"7146820","2001-08-28",NA,0.0349738802666357,0.0194960068901758,0.0127344002625529,12.5751255217573,11.897785811576,12.2364556666667,-0.120184613942454,26.8552569674001,NA,12.0625019512717,NA,NA
"7146819","2001-08-29",NA,0.0629403356986544,0.03263807198843,0.0199907085599677,12.5973348780113,11.818263455322,12.2077991666667,-0.056828493553508,28.8459668755639,NA,12.0205936911021,NA,NA
"7146818","2001-08-30",NA,0.0633836904185657,0.0537659687946186,0.0353000158910748,12.6038155792157,11.7513367541177,12.1775761666667,0.0179280064587778,28.8459668755639,NA,11.9842731989552,NA,NA
