"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"7156840","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7156839","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7156838","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7156837","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7156836","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7156835","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7156834","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7156833","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7156832","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7156831","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7156830","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7156829","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7156828","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7156827","2001-08-17",NA,0.758333333333334,NA,NA,NA,NA,NA,NA,NA,NA,16.055,NA,NA
"7156826","2001-08-20",NA,0.782608695652174,NA,NA,NA,NA,NA,NA,100,NA,16.2076666666667,NA,NA
"7156825","2001-08-21",NA,0.772727272727273,0.771223100570927,NA,NA,NA,NA,NA,100,NA,16.3399777777778,NA,NA
"7156824","2001-08-22",NA,0.772727272727273,0.776021080368906,NA,NA,NA,NA,NA,100,NA,16.4546474074074,NA,NA
"7156823","2001-08-23",NA,0.795454545454546,0.78030303030303,0.775849070414288,NA,NA,NA,NA,100,NA,16.5606944197531,NA,NA
"7156822","2001-08-24",NA,0.614634146341464,0.72760532150776,0.761309810726566,NA,NA,NA,NA,81.1007634970672,NA,16.6072684971193,NA,NA
"7156821","2001-08-27",NA,0.621621621621622,0.67723677113921,0.72838170765,17.9520189981454,15.121314335188,16.5366666666667,0.734335055159129,82.066919873528,NA,16.6596326975034,NA,NA
"7156820","2001-08-28",NA,0.533333333333334,0.589863033765473,0.664901708804148,17.9538191391187,15.2845141942147,16.6191666666667,0.667646638071207,82.066919873528,NA,16.705015004503,NA,NA
"7156819","2001-08-29",NA,0,0.384984984984985,0.550694929963223,17.9221179084872,15.3562154248461,16.6391666666667,0.244404420076523,42.6927133398244,NA,16.5576796705692,NA,NA
"7156818","2001-08-30",NA,0.428571428571429,0.320634920634921,0.431827646461793,17.8845474680025,15.4787858653309,16.6816666666667,0.42448683757155,56.9815679019603,NA,16.5499890478267,NA,NA
"7156817","2001-08-31",NA,0.523809523809524,0.317460317460317,0.341026741026741,17.8453450227899,15.6329883105434,16.7391666666667,0.527497072690217,59.4039545769844,NA,16.5699905081165,NA,NA
"7156816","2001-09-04",NA,0.5,0.484126984126984,0.374074074074074,17.7780872341992,15.8002460991341,16.7891666666667,0.42963708550733,58.5168103538177,16.3992,16.5806584403676,NA,NA
"7156815","2001-09-05",NA,0.512195121951219,0.512001548586914,0.437862950058072,17.7210757301798,15.9445909364869,16.8328333333333,0.428979596608651,58.5168103538177,16.4532,16.5899039816519,1.34782595233263,NA
"7156814","2001-09-06",NA,0.512195121951219,0.508130081300813,0.501419538004904,17.6825993457662,16.0454006542338,16.864,0.389648906024006,58.5168103538177,16.5032,16.5979167840983,1.25633805886374,NA
"7156813","2001-09-07",49.080126042263,0.512195121951219,0.512195121951219,0.510775583946315,17.6646870162709,16.0989796503958,16.8818333333333,0.35193061079855,58.5168103538177,16.5492,16.6048612128852,1.17031221700283,NA
"7156812","2001-09-10",47.4554177785233,0.512195121951219,0.512195121951219,0.510840108401084,17.6467563142375,16.1609103524292,16.9038333333333,0.407684463805569,58.5168103538177,16.5952,16.6108797178339,1.08955148384917,NA
"7156811","2001-09-17",45.9467601050508,0.512195121951219,0.512195121951219,0.512195121951219,17.6243488296837,16.2189845036497,16.9216666666667,0.330411709676785,58.5168103538177,16.6412,16.616095755456,1.01384055103955,NA
"7156810","2001-09-18",43.1296076330875,0.292682926829268,0.439024390243902,0.48780487804878,17.641939844768,16.1657268218987,16.9038333333333,0.14289255107503,48.3743248060359,16.6632,16.5606163213952,0.726675035252367,NA
"7156809","2001-09-19",40.513680337693,0.475,0.426626016260163,0.459281842818428,17.6161162612793,16.1298837387207,16.873,0.282671960748155,54.9191238209003,16.6912,16.5592008118758,0.661842410123281,NA
"7156808","2001-09-20",38.5844138379335,0.475,0.414227642276423,0.426626016260163,17.5740084073001,16.1103249260333,16.8421666666667,0.345936636652597,54.9191238209003,16.7052,16.5579740369591,0.603509871724706,NA
"7156807","2001-09-21",35.918485812907,0.40625,0.452083333333333,0.430978997289973,17.5321578577936,16.0658421422064,16.799,0.216523077364528,48.7726064668928,16.7052,16.5169108320312,0.406200432458492,0.919566223627418
"7156806","2001-09-24",33.4429812182396,0.642857142857143,0.508035714285714,0.45811556329849,17.4582996504826,16.0563670161841,16.7573333333333,0.316443866818107,53.4482849065623,16.7152,16.514656054427,0.367672394129803,0.809187457727895
"7156805","2001-09-25",32.2119165460028,0,0.349702380952381,0.436607142857143,17.4229221459259,15.9844111874074,16.7036666666667,0.103525207815782,44.6672404153893,16.7052,16.4460352471701,0.0911458507224294,0.665579136326802
"7156804","2001-09-26",31.2832124840013,0,0.214285714285714,0.35734126984127,17.3703851231452,15.8942815435215,16.6323333333333,0.00839041603592452,43.1406797537276,16.6652,16.3732305475474,-0.176129221815591,0.497237464698323
"7156803","2001-09-27",31.1923695386825,0,0,0.187996031746032,17.3200077939836,15.7696588726831,16.5448333333333,-0.0879321664153955,37.6045082773794,16.6012,16.2567998078744,-0.580790706477163,0.281631830463226
"7156802","2001-09-28",29.4586125182776,0,0,0.0714285714285715,17.3190675319521,15.6099324680479,16.4645,-0.064320527013708,32.0652471626927,16.5164,16.0892265001578,-1.1419384570261,-0.00308222703463987
"7156801","2001-10-01",27.8486952850445,0.375,0.125,0.0416666666666667,17.2173787603714,15.5816212396286,16.3995,0.19463689228635,45.123237623122,16.4584,16.0439963001368,-1.19952264613449,-0.242370310854609
"7156800","2001-10-02",26.8793046747599,0.25,0.208333333333333,0.111111111111111,17.1466366674757,15.5123633325243,16.3295,0.094417090973935,42.2107076149938,16.3904,15.9714634601186,-1.35652107053329,-0.465200462790345
"7156799","2001-10-03",25.9791562509243,0.5,0.375,0.236111111111111,17.1460890157122,15.5145776509545,16.3303333333333,0.297529247746057,49.2641307809953,16.3424,15.9752683321027,-1.21463583868122,-0.615087537968521
"7156798","2001-10-04",26.0919984280343,0.285714285714286,0.345238095238095,0.30952380952381,17.1677963842074,15.3928702824593,16.2803333333333,0.0603572832892593,43.5409769905835,16.2724,15.9118992211557,-1.34019298964554,-0.760108628303924
"7156797","2001-10-05",25.4951707982661,0.302857142857142,0.362857142857143,0.361031746031746,17.1210141124195,15.3199858875805,16.2205,0.157325377717584,43.9616319416385,16.2172,15.8609793250016,-1.40922616911001,-0.889932136465142
"7156796","2001-10-08",24.8037698902468,0.457142857142858,0.348571428571429,0.352222222222222,17.073639808554,15.282360191446,16.178,0.288977669153476,47.7358235966858,16.1692,15.8528487483347,-1.31172755687948,-0.97429122054801
"7156795","2001-10-09",25.2088038820283,0.114285714285714,0.291428571428571,0.334285714285714,17.0281929620426,15.2038070379574,16.116,0.144081153685204,41.1097602395866,16.0972,15.7658022485568,-1.52373780609482,-1.08418053765737
"7156794","2001-10-10",25.5849068743969,0.454545454545455,0.341991341991342,0.327330447330447,16.954784320699,15.1905490126343,16.0726666666667,0.354894639717406,48.2068401385322,16.1032,15.7636952820825,-1.39499481668069,-1.14634339346204
"7156793","2001-10-11",25.3463643668621,0.606666666666667,0.391832611832612,0.341750841750842,16.8813789426586,15.1979543906747,16.0396666666667,0.47049664827085,50.0911650120248,16.0796,15.7832025778049,-1.19720171687134,-1.1565150581439
"7156792","2001-10-12",25.1248606098655,0.66,0.573737373737374,0.435853775853776,16.7736431417597,15.228023524907,16.0008333333333,0.492990944721962,51.0501015268701,16.0512,15.8107755674309,-0.988163244639328,-1.12284469544298
"7156791","2001-10-15",23.6617306405326,0.826666666666666,0.697777777777777,0.554449254449255,16.7045216886453,15.259811644688,15.9821666666667,0.726919813221023,54.0230493869625,16.0348,15.8680054917734,-0.687317945010346,-1.03573934535646
"7156790","2001-10-16",22.2036543938324,0.993333333333332,0.826666666666666,0.699393939393939,16.7241221504576,15.2515445162091,15.9878333333333,0.841012015249663,56.8456215033203,16.0284,15.9509380928703,-0.31915972044414,-0.892423420373993
"7156789","2001-10-17",21.065585201873,0.933333333333332,0.917777777777777,0.814074074074073,16.7014674224524,15.2621992442143,15.9818333333333,0.811385100735906,55.5241018994315,16.0184,16.0108130138209,-0.07310848031441,-0.728560432362076
"7156788","2001-10-18",20.0088066664821,0.930232558139535,0.952299741602066,0.89891472868217,16.6578579021732,15.2841420978268,15.971,0.812291668074755,55.5241018994315,16.0084,16.0627046119781,0.119841267731524,-0.558880092343356
"7156787","2001-10-19",19.0275123121906,0.930232558139535,0.931266149870801,0.933781223083548,16.6607276971109,15.2829389695558,15.9718333333333,0.810763659263247,55.5241018994315,15.9984,16.1076773303811,0.269130214402002,-0.393278030994285
"7156786","2001-10-22",18.2451228390547,0.775641025641025,0.878702047306698,0.920755979593189,16.6662354463223,15.280097887011,15.9731666666667,0.89931101807459,55.6671275733337,15.9888,16.1479870196636,0.387555524010841,-0.23711131999326
"7156785","2001-10-23",17.4875723861817,0.769230769230768,0.825034784337109,0.878334327171536,16.7216361085672,15.2626972247661,15.9921666666667,0.85722309717926,55.4750081236016,15.9968,16.1815887503751,0.470657833135624,-0.0955574893674829
"7156784","2001-10-24",16.7841326799425,0.833333333333333,0.792735042735042,0.832157291459616,16.7825712061326,15.2610954605341,16.0218333333333,0.814278205255631,57.0705653113295,15.9948,16.2240435836584,0.579277277878876,0.0394094640817888
"7156783","2001-10-25",16.1615666550312,0.83974358974359,0.814102564102563,0.810624130391572,16.8328117347963,15.2985215985371,16.0656666666667,0.789601896559592,57.235600134027,15.9932,16.2621711058373,0.662270344904559,0.163981640246343
"7156782","2001-10-26",15.5834696318992,0.83974358974359,0.837606837606837,0.814814814814814,16.8603448860619,15.3719884472715,16.1161666666667,0.764609553913982,57.235600134027,16.0036,16.2952149583923,0.719405369869386,0.275066386170951
