"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"7262420","2010-04-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7262419","2010-04-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7262418","2010-04-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7262417","2010-04-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7262416","2010-04-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7262415","2010-04-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7262414","2010-04-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7262413","2010-04-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7262412","2010-04-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7262411","2010-04-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7262410","2010-04-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7262409","2010-04-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7262408","2010-05-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7262407","2010-05-04",NA,0.307692307692307,NA,NA,NA,NA,NA,NA,NA,NA,14.5264285714286,NA,NA
"7262406","2010-05-05",NA,0,NA,NA,NA,NA,NA,NA,67.2413793103448,NA,14.5229047619048,NA,NA
"7262405","2010-05-06",NA,0,0.102564102564102,NA,NA,NA,NA,NA,67.2413793103448,NA,14.5198507936508,NA,NA
"7262404","2010-05-07",NA,0,0,NA,NA,NA,NA,NA,67.2413793103448,NA,14.517204021164,NA,NA
"7262403","2010-05-10",NA,0,0,0.0341880341880341,NA,NA,NA,NA,67.2413793103448,NA,14.5149101516755,NA,NA
"7262402","2010-05-11",NA,0,0,0,NA,NA,NA,NA,67.2413793103448,NA,14.5129221314521,NA,NA
"7262401","2010-05-12",NA,0,0,0,14.7110821428512,14.4719178571488,14.5915,0.382228792714837,67.2413793103448,NA,14.5111991805918,NA,NA
"7262400","2010-05-13",NA,0,0,0,14.7108397434173,14.472493589916,14.5916666666667,0.199316873321125,67.2413793103448,NA,14.5097059565129,NA,NA
"7262399","2010-05-14",NA,0,0,0,14.7126313924351,14.4630352742316,14.5878333333333,0.174807976779052,67.2413793103448,NA,14.5084118289779,NA,NA
"7262398","2010-05-17",NA,0,0,0,14.7766549292541,14.3506784040793,14.5636666666667,-0.400675610021531,26.9263047409333,NA,14.4432902517808,NA,NA
"7262397","2010-05-18",NA,0,0,0,14.9546430705355,14.0646902627979,14.5096666666667,-0.4734598574229,13.2265684258644,NA,14.2841848848767,NA,NA
"7262396","2010-05-19",NA,0,0,0,15.2198599932679,13.6288066733988,14.4243333333333,-0.409879416728609,8.91349837322936,14.3684,14.0556269002265,NA,NA
"7262395","2010-05-20",NA,0,0,0,15.3656312831031,13.3057020502302,14.3356666666667,-0.201804044331384,8.86770251366065,14.2988,13.8562099801963,-3.69262092753493,NA
