"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"7473546","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7473545","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7473544","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7473543","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7473542","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7473541","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7473540","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7473539","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7473538","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7473537","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7473536","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7473535","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7473534","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7473533","2001-08-17",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,352.088477142857,NA,NA
"7473532","2001-08-20",NA,0.0416653736960837,NA,NA,NA,NA,NA,NA,47.5357091440614,NA,351.548180190476,NA,NA
"7473531","2001-08-21",NA,0.187499353514707,0.076388242403597,NA,NA,NA,NA,NA,51.9946505153697,NA,351.361897498413,NA,NA
"7473530","2001-08-22",NA,0.270833548828432,0.166666092013074,NA,NA,NA,NA,NA,54.3806286161589,NA,351.361581831958,NA,NA
"7473529","2001-08-23",NA,0.333333333333335,0.263888745225491,0.168981026547388,NA,NA,NA,NA,56.1412774862666,NA,351.482153587697,NA,NA
"7473528","2001-08-24",NA,0.54166709765686,0.381944659939542,0.270833165726036,NA,NA,NA,NA,61.4782534816106,NA,351.989469109337,NA,NA
"7473527","2001-08-27",NA,0.625000603386272,0.500000344792156,0.381944583319063,358.98608307856,347.99015492144,353.488119,0.828264634122426,63.3969287336389,NA,352.590270561426,NA,NA
"7473526","2001-08-28",NA,0.40475978440847,0.523809161817201,0.468584722182966,359.044387561291,348.344738772042,353.694563166667,0.592358498812879,53.9857235890747,NA,352.587295819902,NA,NA
"7473525","2001-08-29",NA,0.189998904546605,0.406586430780449,0.476798645796602,359.016558171132,348.413253495535,353.714905833333,0.220877349982086,48.5954034381909,NA,352.221376377248,NA,NA
"7473524","2001-08-30",NA,0,0.198252896318358,0.376216162972003,359.661805756616,347.116444576717,353.389125166667,-0.0904375112931688,39.2095780412552,NA,351.095383526949,NA,NA
"7473523","2001-08-31",NA,0,0.0633329681822017,0.222724098427003,360.133510356601,345.744838976732,352.939174666667,-0.0367188623223657,38.8474074942571,NA,350.083268390022,NA,NA
"7473522","2001-09-04",NA,0.162182623960887,0.0540608746536292,0.105215579718063,360.200567825241,345.065294841425,352.632931333333,0.159166504263516,44.3352329649355,351.149004,349.565419271353,NA,NA
"7473521","2001-09-05",NA,0.309090515173927,0.157091046378272,0.0914949630713674,359.845278633137,344.866101700196,352.355690166667,0.359542783330571,48.815931329208,351.124834,349.442092701839,-0.568424367866793,NA
