"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"7585746","2012-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7585745","2012-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7585744","2012-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7585743","2012-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7585742","2012-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7585741","2012-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7585740","2012-08-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7585739","2012-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7585738","2012-08-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7585737","2012-08-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7585736","2012-08-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7585735","2012-08-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7585734","2012-08-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7585733","2012-08-29",NA,0.544794578596229,NA,NA,NA,NA,NA,NA,NA,NA,10.6435585714286,NA,NA
"7585732","2012-08-30",NA,0.534748139825415,NA,NA,NA,NA,NA,NA,64.1661578322001,NA,10.7179467619048,NA,NA
"7585731","2012-08-31",NA,0.543438121204026,0.540993613208557,NA,NA,NA,NA,NA,64.3413845549437,NA,10.7853658603175,NA,NA
"7585730","2012-09-04",NA,0.505790701877068,0.527992320968836,NA,NA,NA,NA,NA,62.9062203215224,NA,10.8310184122751,NA,NA
"7585729","2012-09-05",NA,0.741311982902894,0.596846935327996,0.555277623168463,NA,NA,NA,NA,67.7522905094635,NA,10.9505186239718,NA,NA
"7585728","2012-09-06",NA,0.746719564333502,0.664607416371155,0.596482224222662,NA,NA,NA,NA,68.0653333145021,NA,11.0596548074422,NA,NA
"7585727","2012-09-07",NA,0.826236218702286,0.771422588646227,0.677625646781793,12.3417960764492,9.91569625688412,11.1287461666667,0.893211562156998,69.9153481389641,NA,11.1869994997833,NA,NA
"7585726","2012-09-10",NA,0.774749906813214,0.782568563283001,0.739532856100128,12.4568621204511,9.92069521288226,11.1887786666667,0.836974930205172,68.5887805422172,NA,11.2872088998122,NA,NA
"7585725","2012-09-11",NA,0.833124680050888,0.811370268522129,0.788453806817119,12.5917276079666,9.91039972536677,11.2510636666667,0.862396186719934,69.9930498957576,NA,11.3973170465039,NA,NA
"7585724","2012-09-12",NA,0.671274327762878,0.75971630487566,0.78455171222693,12.6736073280675,9.9675866719325,11.320597,0.766203806821222,66.3915195156753,NA,11.46653610697,NA,NA
"7585723","2012-09-13",NA,0.625979286888066,0.710126098233944,0.760404223877244,12.7325158919092,10.0479904414242,11.3902531666667,0.727135178232899,65.2614932880057,NA,11.5183366260407,NA,NA
"7585722","2012-09-14",NA,0.652339292506657,0.649864302385867,0.706568901831824,12.7336403872187,10.2472756127813,11.490458,0.754344015207148,66.5610093077642,11.1152816,11.5805930759019,NA,NA
"7585721","2012-09-17",NA,0.478508938759985,0.585609172718236,0.648533191112682,12.6753858842081,10.4703134491252,11.5728496666667,0.627973271464308,62.1664081657523,11.1924316,11.604081999115,4.91719905546524,NA
"7585720","2012-09-18",NA,0.371966527196652,0.500938252821098,0.5788039093084,12.6033656961733,10.66960663716,11.6364861666667,0.527466624182453,59.5703678111069,11.2246676,11.6057657325663,4.48787990926849,NA
"7585719","2012-09-19",12.2519686754272,0.413084823126664,0.421186763027767,0.5025780628557,12.5182619115678,10.8787070884322,11.6984845,0.53603955933619,60.2600987630587,11.2785252,11.6144316348908,4.13754261398571,NA
"7585718","2012-09-20",12.295606245794,0.289722327881323,0.35825789273488,0.426794302861248,12.4340687670014,11.0647018996652,11.7493853333333,0.488638058187479,57.1120572530786,11.3198028,11.6003207502387,3.70478502267482,NA
