"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"7678934","2016-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7678933","2016-05-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7678932","2016-05-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7678931","2016-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7678930","2016-06-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7678929","2016-06-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7678928","2016-06-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7678927","2016-06-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7678926","2016-06-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7678925","2016-06-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7678924","2016-06-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7678923","2016-06-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7678922","2016-06-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7678921","2016-06-15",NA,0.123348017621146,NA,NA,NA,NA,NA,NA,NA,NA,22.166,NA,NA
"7678920","2016-06-16",NA,0,NA,NA,NA,NA,NA,NA,42.9193899782135,NA,22.0145333333333,NA,NA
"7678919","2016-06-17",NA,0,0.0411160058737153,NA,NA,NA,NA,NA,36.643296608957,NA,21.7859288888889,NA,NA
"7678918","2016-06-20",NA,0.202898550724638,0.0676328502415458,NA,NA,NA,NA,NA,44.9553917209329,NA,21.6811383703704,NA,NA
"7678917","2016-06-21",NA,0.551724137931034,0.251540896218557,0.120096584111273,NA,NA,NA,NA,53.4173565371335,NA,21.7103199209877,NA,NA
"7678916","2016-06-22",NA,0.578571428571429,0.4443980390757,0.254523928511934,NA,NA,NA,NA,53.5881054300105,NA,21.738277264856,NA,NA
"7678915","2016-06-23",NA,0.623214285714286,0.58450328407225,0.426814073122169,23.3395718145299,20.9756948521367,22.1576333333333,0.551765243544139,54.7055938640508,NA,21.7791736295418,NA,NA
"7678914","2016-06-24",NA,0.407142857142857,0.536309523809524,0.521736948985825,23.335618744873,20.9373145884603,22.1364666666667,0.315230552743506,48.6055913232551,NA,21.7339504789363,NA,NA
"7678913","2016-06-27",NA,0,0.343452380952381,0.488088396278052,23.5400449097399,20.5607217569267,22.0503833333333,-0.155199150906738,34.0201972820772,NA,21.4067570817448,NA,NA
"7678912","2016-06-28",NA,0.203856749311294,0.203666535484717,0.361142813415541,23.5936352291813,20.2677981041521,21.9307166666667,-0.0133694974068731,40.5968384553804,NA,21.2218561375121,NA,NA
"7678911","2016-06-29",NA,0.297520661157024,0.16712580348944,0.238081573308846,23.4751367569237,20.1729632430763,21.82405,0.207046486419722,43.3889099356033,NA,21.1069419858439,NA,NA
"7678910","2016-06-30",NA,0.449035812672176,0.316804407713498,0.229198915562552,23.3415467375036,20.1575532624964,21.74955,0.3787005470651,47.6734802957084,21.62116,21.080683054398,NA,NA
"7678909","2016-07-01",NA,0.639118457300276,0.461891643709825,0.315273951637588,23.2773198777871,20.1624467888796,21.7198833333333,0.556754586234311,52.5276765854224,21.61796,21.1499253138116,-2.5024516728303,NA
"7678908","2016-07-05",NA,0.49862258953168,0.528925619834711,0.435873890419345,23.152910306011,20.1640563606556,21.6584833333333,0.435822669767873,48.915664381598,21.60236,21.1419352719701,-2.31735037764635,NA
"7678907","2016-07-06",14.7734131512302,0.611570247933884,0.583103764921947,0.524640342822161,23.0050348107176,20.206731855949,21.6058833333333,0.555551526233103,51.7859991569275,21.56316,21.1896772357074,-1.99135241600784,NA
"7678906","2016-07-07",14.3489193680387,0.743801652892562,0.617998163452709,0.576675849403122,22.9475452107993,20.2252214558674,21.5863833333333,0.678872920282831,54.9755894643683,21.53796,21.2950536042797,-1.53313438667587,NA
"7678905","2016-07-08",14.3255397725519,0.66036036036036,0.671910753728936,0.624337560701197,22.9781104532764,20.209722880057,21.5939166666667,0.904838546033734,56.4743706145739,21.51924,21.4173131237091,-1.07093648900963,NA
"7678904","2016-07-11",14.9315028737257,0.815458937198068,0.73987365015033,0.676594189110658,23.3328905629137,20.002776103753,21.6678333333333,1.14577359918794,63.699079969637,21.56684,21.6950047072146,-0.223114251934275,NA
"7678903","2016-07-12",16.3839535854052,0.780185758513932,0.752001685357454,0.721262029745573,23.9673809277027,19.6625524056307,21.8149666666667,1.19186650557526,67.4081651285911,21.63796,22.045004079586,0.732330877262943,NA
"7678902","2016-07-13",17.732657817679,0.792569659442724,0.796071451718242,0.762648929075342,24.4527645125405,19.4675021541262,21.9601333333333,1.04959327507453,67.7543287396035,21.70716,22.3590035356412,1.48793765289874,NA
"7678901","2016-07-14",18.5805305367709,0.746130030959753,0.77296181630547,0.773678317793722,24.8165152281096,19.3664181052237,22.0914666666667,0.940701626505118,64.9676573465783,21.78036,22.5911363975557,1.94694536982416,-0.607902854902047
"7678900","2016-07-15",19.2851121764114,0.736842105263158,0.758513931888545,0.775849066637419,25.09809411637,19.3901725502967,22.2441333333333,0.85725788737543,64.3971906276087,21.84312,22.7843182112149,2.25738964266253,-0.0348443553891314
"7678899","2016-07-18",20.5652651125598,0.79020979020979,0.757727308810901,0.763067685668305,25.4269661776778,19.4986338223222,22.4628,0.912235097524334,66.9978239328708,21.93792,23.0184091163863,2.64306706878785,0.500737929446265
"7678898","2016-07-19",21.7539785532691,0.860594795539033,0.795882230337327,0.770707823678924,25.7988521534413,19.502081179892,22.6504666666667,0.902248498048668,69.1798352552173,22.07548,23.2812879008681,3.06215574031015,1.01302149161904
"7678897","2016-07-20",23.2940253972227,0.81203007518797,0.820944886978931,0.791518142042386,26.2038028002485,19.4381305330849,22.8209666666667,0.905335428376633,70.307411439841,22.21868,23.5411161807524,3.42839610774159,1.49609641484355
"7678896","2016-07-21",24.517139018355,0.780155642023347,0.817593504250117,0.811473540522125,26.5369376478501,19.4239956854832,22.9804666666667,0.845782848552148,68.8382896370799,22.35228,23.748967356652,3.62496416527101,1.92186996492904
"7678895","2016-07-22",25.8564630288459,0.874296435272045,0.822160717494454,0.820233036241167,26.9341382677365,19.3961283989302,23.1651333333333,0.872538647318681,71.9898577495175,22.54108,24.0157717090984,3.94716400763553,2.32692877347034
"7678894","2016-07-25",26.305919272178,0.764227642276423,0.806226573190605,0.815326931645058,27.2071178921216,19.513148774545,23.3601333333333,0.790253309556226,66.5275711201841,22.73948,24.181668814552,3.98591647593032,2.65872631396234
"7678893","2016-07-26",25.7036307849607,0.578828828828829,0.739117635459099,0.789168308714719,27.2005310905209,20.0052022428124,23.6028666666667,0.687640254102257,59.4846179757175,22.88148,24.2307796392784,3.735394997167,2.87406005060327
"7678892","2016-07-27",24.9555610827857,0.522338403041825,0.621798291382359,0.722380833344021,27.0949377353748,20.5557955979585,23.8253666666667,0.629675521474703,58.1767704642582,22.98188,24.2546756873746,3.45035148837047,2.98931833815671
"7678891","2016-07-28",24.5682672304676,0.373287671232876,0.491484967701177,0.617466964847545,27.0263297830343,21.0284035502991,24.0273666666667,0.644933426365862,59.4123632150078,23.08868,24.2993855957247,3.2465132042176,3.04075731136889
"7678890","2016-07-29",24.2086372247437,0.38655462184874,0.42739356537448,0.513558941486005,26.9871648780841,21.4450684552492,24.2161166666667,0.666402133111017,61.9038187074889,23.20528,24.3874675162947,3.17013192914564,3.06663223492424
"7678889","2016-08-01",22.8477262618961,0.0840336134453778,0.281291968842331,0.400056833972663,26.909424732115,21.7888086012183,24.3491166666667,0.540532231804623,54.8481697677858,23.31728,24.3678051807887,2.83848382016079,3.02100255197155
"7678888","2016-08-02",21.8891575154437,0,0.156862745098039,0.28851609310495,26.679177782101,22.2528888845657,24.4660333333333,0.350657435916255,47.5873411516896,23.47988,24.2314311566836,2.25315598782398,2.86743323914204
"7678887","2016-08-03",20.9990579651665,0.0601626016260169,0.0480654050237982,0.162073372988056,26.4329792354973,22.7062874311694,24.5696333333333,0.302425304087415,49.0876496480023,23.62028,24.1379070024591,1.82918627521491,2.65978384635661
"7678886","2016-08-04",20.0345484588748,0.0878048780487803,0.0493224932249324,0.0847502144489233,26.1704671661141,23.1537995005526,24.6621333333333,0.25509400374652,49.7986852537886,23.75048,24.0681860687979,1.50405327309335,2.42863773170396
"7678885","2016-08-05",19.1389324887469,0.0894308943089437,0.0791327913279136,0.0588402298588815,26.0087142799388,23.4174190533945,24.7130666666667,0.121913657966369,49.8430599096681,23.85888,24.0084279262915,1.23372052563273,2.18965429048971
"7678884","2016-08-08",18.2467193133332,0.091056910569106,0.0894308943089433,0.0726287262872632,25.9960021524936,23.4466311808398,24.7213166666667,0.210523363787033,49.8907603516527,23.93988,23.957304202786,1.00943786597043,1.95361100558586
