"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"7734370","2013-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7734369","2013-06-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7734368","2013-06-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7734367","2013-06-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7734366","2013-06-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7734365","2013-06-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7734364","2013-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7734363","2013-07-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7734362","2013-07-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7734361","2013-07-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7734360","2013-07-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7734359","2013-07-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7734358","2013-07-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7734357","2013-07-11",NA,0.0593607305936073,NA,NA,NA,NA,NA,NA,NA,NA,13.46,NA,NA
"7734356","2013-07-12",NA,0.167673716012084,NA,NA,NA,NA,NA,NA,26.3057929724596,NA,13.3846666666667,NA,NA
"7734355","2013-07-15",NA,0.572916666666667,0.266650371090786,NA,NA,NA,NA,NA,39.7911071321993,NA,13.4653777777778,NA,NA
"7734354","2013-07-16",NA,0.184027777777778,0.30820605348551,NA,NA,NA,NA,NA,33.1160519488459,NA,13.3859940740741,NA,NA
"7734353","2013-07-17",NA,0.259019426456984,0.338654623633809,0.304503682736702,NA,NA,NA,NA,33.4381456009121,NA,13.3211948641975,NA,NA
"7734352","2013-07-18",NA,0.328358208955224,0.257135137729995,0.301331938283105,NA,NA,NA,NA,34.5692574257021,NA,13.2783688823045,NA,NA
"7734351","2013-07-19",NA,0.298507462686567,0.295295032699592,0.297028264687799,15.2618106358239,11.9193226975094,13.5905666666667,0.345254988835006,34.1937976632661,NA,13.2332530313306,NA,NA
"7734350","2013-07-22",NA,0.238805970149254,0.288557213930348,0.280329128119978,14.7823493473537,12.1124506526463,13.4474,0.321191717518582,33.4121826789869,NA,13.1781526271532,NA,NA
"7734349","2013-07-23",NA,0.18905472636816,0.24212271973466,0.2753249887882,14.5922673711449,12.1191992955217,13.3557333333333,0.287416554151729,32.7405452595626,NA,13.1170656101994,NA,NA
"7734348","2013-07-24",NA,0.0796019900497513,0.169154228855722,0.233278054173577,14.3084983743273,12.1863016256727,13.2474,0.234206233694273,31.2521531953287,NA,13.0347901955062,NA,NA
"7734347","2013-07-25",NA,0.0547263681592037,0.107794361525705,0.173023770038696,14.0315569844317,12.2555763489016,13.1435666666667,0.173288479769851,30.9082487076734,NA,12.9568181694387,NA,NA
"7734346","2013-07-26",NA,0,0.044776119402985,0.107241569928137,13.9381217932217,12.199944873445,13.0690333333333,0.124683391406168,29.5763512973838,13.1914,12.8639090801802,NA,NA
"7734345","2013-07-29",NA,0,0.0182421227197346,0.0569375345494748,13.8677451462369,12.1036548537631,12.9857,0.0319400579875328,27.8743044607704,13.0562,12.7500545361562,-3.66086863007185,NA
"7734344","2013-07-30",NA,0.00427350427350418,0.00142450142450138,0.0214809145157403,13.7706477975124,12.0320855358209,12.9013666666667,0.0582365094097317,28.0526598876073,12.9702,12.6527139313353,-3.80505312329568,NA
"7734343","2013-07-31",51.1079345977452,0,0.00142450142450138,0.00703037518957911,13.7926490701303,11.8828842632031,12.8377666666667,0.0229255473264556,26.5000904446704,12.8538,12.5390187404906,-4.01947247796194,NA
"7734342","2013-08-01",51.8165582885671,0.0431372549019606,0.0158035863918216,0.00621752974694144,13.8117758396929,11.7720908269738,12.7919333333333,0.115005914261333,28.6270789694499,12.7562,12.4551495750919,-4.07716228845366,NA
"7734341","2013-08-02",51.994587037825,0.072289156626506,0.0384754705094888,0.0185678527752706,13.8120632309473,11.6892701023861,12.7506666666667,0.191915339652869,30.0150269211577,12.691,12.391796298413,-4.0345250942696,NA
"7734340","2013-08-05",50.9099846915439,0.0952380952380953,0.0702215022555206,0.0415001863856103,13.7807652762688,11.6319013903979,12.7063333333333,0.26747402664633,29.8364997918882,12.6242,12.3342234586246,-3.97057893102792,NA
"7734339","2013-08-06",48.4245891691741,0.554838709677419,0.24078865384734,0.116495208870783,13.7807652762688,11.6319013903979,12.7063333333333,0.568408241660417,42.6858234650313,12.5866,12.377660330808,-3.42371364660018,NA
"7734338","2013-08-07",45.1744071834238,0.411483253588517,0.353853352834677,0.221621169645846,13.8161704720698,11.6554961945969,12.7358333333333,0.65465851107252,42.6858234650313,12.577,12.4153056200336,-2.95602586478834,NA
"7734337","2013-08-08",43.06472601593,0.023923444976076,0.330081802747337,0.308241269809785,13.8098657276494,11.6078009390173,12.7088333333333,0.288607491294945,34.264664707809,12.5406,12.3399315373624,-3.07747822971303,-3.66943092068691
"7734336","2013-08-09",42.223649979909,0,0.145135566188197,0.276356907256737,13.8376228223051,11.3813771776949,12.6095,-0.0358448856916078,27.4297473464014,12.4682,12.1479406657141,-3.76226997513543,-3.68799873157662
"7734335","2013-08-12",41.9180635466659,0,0.00797448165869199,0.161063950198076,13.7419703776006,11.1313629557328,12.4366666666667,-0.183110496965277,24.5935335365556,12.3646,11.9135485769522,-4.61359499353565,-3.87311798396842
"7734334","2013-08-13",41.6343047157973,0.00571428571428559,0.00190476190476183,0.0516716032505504,13.7681020540477,10.827564612619,12.2978333333333,-0.0887245788054038,24.9213855928491,12.2734,11.7130754333586,-5.23905479565927,-4.14630534630659
"7734333","2013-08-14",39.7557267623667,0.0542857142857141,0.0199999999999999,0.00995974785448454,13.7215161181091,10.6624838818909,12.192,0.10270659493415,27.7950745216017,12.203,11.5619987089108,-5.57133783145692,-4.43131184333666
"7734332","2013-08-15",37.6819217045993,0.194285714285714,0.0847619047619046,0.0355555555555554,13.6121716423329,10.5974950243337,12.1048333333333,0.257353742145156,35.4627828193148,12.1418,11.496398881056,-5.43877432378574,-4.63280433942648
"7734331","2013-08-16",35.7562455795295,0.194285714285714,0.147619047619047,0.084126984126984,13.4986267737067,10.5240398929599,12.0113333333333,0.22836564121565,35.4627828193148,12.0688,11.4395456969152,-5.27628844103593,-4.76150115974837
"7734330","2013-08-19",34.4856901813462,0.0799999999999998,0.156190476190476,0.129523809523809,13.4025226679813,10.4124773320188,11.9075,0.160818966699644,32.2231212633893,11.936,11.3369396039932,-5.37305658982143,-4.88381224576298
"7734329","2013-08-20",33.8934017468581,0,0.0914285714285713,0.131746031746032,13.3416170349685,10.2410496316982,11.7913333333333,0.0856672345482035,28.6316817524824,11.8276,11.1800143234608,-5.75835191660746,-5.05872017993188
"7734328","2013-08-21",33.8020186519274,0,0.0266666666666666,0.0914285714285713,13.3519659165456,9.95103408345438,11.6515,-0.0189264060400794,25.8897546386114,11.7,10.984012413666,-6.33610720561851,-5.31419758506921
"7734327","2013-08-22",33.6389353972206,0.0191387559808608,0.00637958532695358,0.0414916078073971,13.3193129130753,9.72268708692472,11.521,0.0641285075393777,27.2240714563137,11.5716,10.8248107585105,-6.67986335109061,-5.58733073827349
"7734326","2013-08-23",33.184303168513,0.0980861244019135,0.0390749601275914,0.0240404040404038,13.2449544016629,9.57771226500373,11.4113333333333,0.176050842641592,32.6137243809591,11.4588,10.7308359907091,-6.64304358156694,-5.79847330693218
"7734325","2013-08-26",32.7741539083961,0.0956937799043059,0.07097288676236,0.0388091440723016,13.185299461006,9.44170053899404,11.3135,0.203449357211047,32.5350930114362,11.3504,10.6480578586146,-6.55323387355843,-5.94942542025743
"7734324","2013-08-27",32.4061721061219,0.117469879518072,0.10374992794143,0.0712659249437939,13.1116560879965,9.31734391200349,11.2145,0.220327000666741,32.4508360067047,11.2456,10.574983477466,-6.42179015654536,-6.04389836751502
"7734323","2013-08-28",30.8039254355751,0.20675105485232,0.139971571424899,0.104898128709563,13.0368785930547,9.24145474027859,11.1391666666667,0.31051742978834,34.2836240889741,11.1536,10.5249856804705,-6.17470999391445,-6.0700606927949
"7734322","2013-08-29",28.8796699598545,0.51101321585903,0.278411383409807,0.174044294258712,12.9473901230868,9.23627654357992,11.0918333333333,0.491422161394056,45.042745086168,11.0904,10.5709875897411,-5.40534522574486,-5.93711759938489
"7734321","2013-08-30",27.1721575821442,0.599118942731277,0.438961071147543,0.285781341994083,12.8464118624571,9.2485881375429,11.0475,0.545166192794471,47.790587778055,11.0428,10.6375225777756,-4.59005602098463,-5.66770528370484
"7734320","2013-09-03",26.21471963183,0.590308370044053,0.566813509544787,0.428061988034046,12.7289604139985,9.27870625266813,11.0038333333333,0.59550021088097,47.5346339248768,11.0044,10.6925195674055,-3.91380857636863,-5.3169259422376
"7734319","2013-09-04",25.3256701065382,0.647577092511013,0.612334801762114,0.539369794151481,12.437903379487,9.41442995384632,10.9261666666667,0.623643664324289,49.4304930331833,10.9708,10.7575169584181,-3.24287259867649,-4.90211527352538
"7734318","2013-09-05",25.1876485429568,0.662337662337662,0.633407708297576,0.604185339868159,12.0339851549132,9.66134817842013,10.8476666666667,0.774940220436723,50.3227369463961,10.9484,10.821848030629,-2.63644284324334,-4.44898078746897
"7734317","2013-09-06",25.4060452799493,0.771317829457364,0.69374419476868,0.646495568276123,11.9423822930869,9.71828437357982,10.8303333333333,0.979445317573821,56.6393201610078,10.94,10.9389349598785,-1.79617526558316,-3.91841968309181
"7734316","2013-09-09",25.6853669272316,0.791666666666667,0.741774052820565,0.689641985295607,12.0710256434103,9.65864102325634,10.8648333333333,0.96364911741503,57.8927731578082,10.9328,11.0537436318947,-1.04945357490809,-3.34462646145506
"7734315","2013-09-10",25.9582309894464,0.890566037735849,0.817850177953294,0.751122808514179,12.2679056149748,9.61309438502519,10.9405,0.961865858044426,61.1576438391673,10.9372,11.1892444809754,-0.264632311164115,-2.72862763139687
"7734314","2013-09-11",27.6504799203618,0.628787878787879,0.770340194396798,0.776654808390219,12.5852423952206,9.51609093811279,11.0506666666667,1.06019826892269,63.5264401130108,10.922,11.3346785501787,0.493994816134968,-2.08410314189051
"7734313","2013-09-12",29.9916046701959,0.747950819672131,0.75576824539862,0.78131953924957,13.2558250515744,9.16384161509225,11.2098333333333,1.2209625142576,75.0135255403709,10.9656,11.6567214101549,2.08285194700695,-1.25071212411102
"7734312","2013-09-13",32.2920064774781,0.773879142300195,0.716872613586735,0.747660351127384,13.8527851565685,8.87521484343153,11.364,1.12132053835672,76.7315026112705,11.0544,11.9784918888009,3.47453934495958,-0.305661830296896
"7734311","2013-09-16",34.6954251572018,0.822807017543859,0.781545659838728,0.751395506274694,14.5378327736109,8.58250055972243,11.5601666666667,1.09887507059346,80.0544639931614,11.21,12.3533596369608,4.94580961468756,0.744632458699995
"7734310","2013-09-17",36.927171074088,0.857142857142857,0.817943005662304,0.772120426362589,15.1437098993475,8.41329010065247,11.7785,1.01727828339549,80.9107470859891,11.3944,12.7062450186993,6.11820491380168,1.81934694972033
"7734309","2013-09-18",39.3039245030559,0.841637010676157,0.840528961787624,0.813339209096219,15.8033247529342,8.29267524706585,12.048,1.01242794163934,83.1381261447487,11.602,13.0920790162061,7.28046830524502,2.91157122082527
"7734308","2013-09-19",42.21779168812,0.713399503722084,0.804059790513699,0.820843919321209,16.7537812183514,8.11055211498193,12.4321666666667,1.09443447256655,86.5246861074864,11.8508,13.5864684807119,8.74863148812444,4.0789832742851
"7734307","2013-09-20",44.9369810712621,0.856088560885609,0.80370835842795,0.816099036909758,17.7388601992027,7.97013980079729,12.8545,1.06767926338696,88.9373686489589,12.1284,14.1762726832837,10.3840828149847,5.34000318242502
"7734306","2013-09-23",46.2398981563885,0.76375,0.777746021535898,0.795171390159182,18.4304990343978,8.04550096560219,13.238,0.948274838617589,79.7834714732699,12.3772,14.5914363255125,11.054056178849,6.48281378170981
