"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"7813273","2014-06-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7813272","2014-06-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7813271","2014-06-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7813270","2014-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7813269","2014-07-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7813268","2014-07-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7813267","2014-07-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7813266","2014-07-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7813265","2014-07-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7813264","2014-07-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7813263","2014-07-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7813262","2014-07-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7813261","2014-07-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7813260","2014-07-16",NA,0.571764705882353,NA,NA,NA,NA,NA,NA,NA,NA,38.7248571428571,NA,NA
"7813259","2014-07-17",NA,0.514753455543574,NA,NA,NA,NA,NA,NA,67.7177645956916,NA,38.8948761904762,NA,NA
"7813258","2014-07-18",NA,0.31159420289855,0.466037454774826,NA,NA,NA,NA,NA,68.1461646010569,NA,39.0955593650794,NA,NA
"7813257","2014-07-21",NA,0.391304347826087,0.405884002089404,NA,NA,NA,NA,NA,69.3507113077855,NA,39.4161514497354,NA,NA
"7813256","2014-07-22",NA,0.560661764705883,0.421186771810173,0.431036076224801,NA,NA,NA,NA,70.1249251873128,NA,39.7873312564374,NA,NA
"7813255","2014-07-23",NA,0.516411378555798,0.489459163695923,0.438843312531833,NA,NA,NA,NA,66.5555628002192,NA,39.9250204222457,NA,NA
