"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"7830746","2013-07-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7830745","2013-07-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7830744","2013-07-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7830743","2013-07-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7830742","2013-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7830741","2013-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7830740","2013-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7830739","2013-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7830738","2013-08-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7830737","2013-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7830736","2013-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7830735","2013-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7830734","2013-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7830733","2013-08-12",NA,0.306220095693779,NA,NA,NA,NA,NA,NA,NA,NA,20.5192857142857,NA,NA
"7830732","2013-08-13",NA,0.506666666666665,NA,NA,NA,NA,NA,NA,45.4044117647059,NA,20.531380952381,NA,NA
"7830731","2013-08-14",NA,0.606666666666667,0.47318447634237,NA,NA,NA,NA,NA,46.9788519637462,NA,20.5618634920635,NA,NA
"7830730","2013-08-15",NA,0.766666666666666,0.626666666666666,NA,NA,NA,NA,NA,49.4887793096508,NA,20.6202816931217,NA,NA
"7830729","2013-08-16",NA,0.746666666666665,0.706666666666666,0.602172603225234,NA,NA,NA,NA,49.175411255944,NA,20.6669108007055,NA,NA
"7830728","2013-08-19",NA,0.3,0.604444444444443,0.645925925925925,NA,NA,NA,NA,42.6760532715278,NA,20.6179893606114,NA,NA
"7830727","2013-08-20",NA,0.361904761904761,0.469523809523808,0.593544973544972,21.2751854350954,20.2391478982379,20.7571666666667,0.499517392003468,46.9579504297049,NA,20.6262574458632,NA,NA
"7830726","2013-08-21",NA,0.19047619047619,0.284126984126983,0.452698412698412,21.151624407951,20.2807089253823,20.7161666666667,0.328341552088308,45.2343289701075,NA,20.6094231197481,NA,NA
"7830725","2013-08-22",NA,0,0.184126984126983,0.312592592592592,21.1988341121489,20.2001658878511,20.6995,-0.106975021251777,39.5080273581977,NA,20.5068333704484,NA,NA
"7830724","2013-08-23",NA,0,0.0634920634920631,0.177248677248676,21.2594060058221,20.0289273275112,20.6441666666667,-0.164375591718648,37.2751531888409,NA,20.3792555877219,NA,NA
"7830723","2013-08-26",NA,0.142857142857143,0.0476190476190475,0.0984126984126979,21.3048328582738,19.9015004750595,20.6031666666667,-0.0248222080595667,40.4022098778584,NA,20.302021509359,NA,NA
"7830722","2013-08-27",NA,0,0.0476190476190475,0.0529100529100526,21.4774939024196,19.5641727642471,20.5208333333333,-0.244342723368927,32.910496980536,20.4008,20.0937519747778,NA,NA
"7830721","2013-08-28",NA,0.113281250000001,0.0853794642857145,0.0602058531746031,21.5930170119613,19.341316321372,20.4671666666667,-0.0908867042412409,36.3859078495641,20.3176,19.9519183781408,-2.32929262507484,NA
"7830720","2013-08-29",NA,0.0859375000000009,0.0664062500000005,0.0664682539682541,21.6270349521971,19.1259650478029,20.3765,-0.00771605028004355,35.9024480494127,20.274,19.8196625943887,-2.52789168177623,NA
"7830719","2013-08-30",59.9306720897458,0.226562500000001,0.141927083333334,0.0979042658730162,21.5904414086247,19.015225258042,20.3028333333333,0.166241608571187,40.2960373122181,20.2148,19.7530409151368,-2.51206691755693,NA
"7830718","2013-09-03",58.1420844856704,0.339920948616602,0.217473649538868,0.141935660957401,21.5424845838358,18.9748487494975,20.2586666666667,0.347330374986363,43.5377633061079,20.1776,19.7326354597853,-2.35860452498373,NA
"7830717","2013-09-04",55.8310221612834,0.58498023715415,0.383821228590251,0.247740653820817,21.5285727489078,18.9717605844255,20.2501666666667,0.548171965222016,50.0102669728834,20.162,19.7976173984806,-1.96104770376887,NA
"7830716","2013-09-05",53.4577245414802,0.613821138211383,0.512907441327378,0.371400773152165,21.5233261512813,18.9706738487187,20.247,0.570384308307993,50.3071071996983,20.178,19.8579350786831,-1.61527422882959,NA
"7830715","2013-09-06",51.0671372765267,0.812765957446808,0.67052244427078,0.522417038062803,21.5137680795696,18.972898587097,20.2433333333333,0.687599822847577,54.2112371675577,20.1728,19.9635437348587,-1.16606237056542,NA
"7830714","2013-09-09",48.6313858393173,0.846153846153846,0.757580313937345,0.647003399845168,21.5345912841354,18.9710753825312,20.2528333333333,0.683536992965624,53.7564115259221,20.1692,20.0497379035442,-0.817690666041937,NA
"7830713","2013-09-10",45.189190651996,0.659498207885304,0.772806003828652,0.733636254012259,21.5704618862433,18.9635381137567,20.267,0.741536278625468,53.3945863388137,20.1672,20.120439516405,-0.547960613269594,-1.75954348131857
"7830712","2013-09-11",41.9928665494834,0.810035842293907,0.771895965444352,0.767427427736783,21.616804612099,18.9465287212343,20.2816666666667,0.818943323264951,57.6883775545636,20.1912,20.237714247551,-0.165280010796109,-1.44069078721408
"7830711","2013-09-12",39.6210940712822,0.688172043010753,0.719235364396654,0.754645777889886,21.6040885426376,18.9499114573624,20.277,0.699559656213274,53.399386562167,20.2052,20.2940190145442,0.00162930865790223,-1.15222676803968
"7830710","2013-09-13",37.4187339129526,0.720430107526882,0.739545997610513,0.743559109150506,21.5670276850212,18.9633056483121,20.2651666666667,0.725894568765132,54.3665467690873,20.2068,20.3548164792716,0.167272772126714,-0.888326860006404
"7830709","2013-09-16",35.3736851945037,0.752688172043011,0.720430107526881,0.726403823178016,21.5445577856935,18.9717755476398,20.2581666666667,0.752061752607012,55.3641891670517,20.2284,20.4195076153688,0.329833854703421,-0.644694717064439
"7830708","2013-09-17",33.728322310929,0.684824902723735,0.719314394097875,0.726430166411756,21.5734305661426,18.9679027671907,20.2706666666667,0.708275139833457,53.6791100740182,20.2376,20.4595732666529,0.406246432773005,-0.43450648709695
"7830707","2013-09-18",33.1473606445103,0.486381322957198,0.641298132574648,0.693680878066468,21.5450163387083,18.969316994625,20.2571666666667,0.589102014381915,47.1156858280386,20.2216,20.4262968310992,0.262732594816772,-0.295058670714206
"7830706","2013-09-19",31.2834789614653,0.382978723404255,0.518061649695062,0.626224725455861,21.5977529857701,18.9579136808965,20.2778333333333,0.765988412768285,49.5886705259872,20.2072,20.4227905869526,0.22134919115071,-0.191777098341222
"7830705","2013-09-20",29.552731684352,0.413385826771653,0.427581957711035,0.528980579993581,21.6764827174594,18.9698506158739,20.3231666666667,0.750064769769355,52.7214497802935,20.1932,20.453085175359,0.283895578158155,-0.0966425630413468
"7830704","2013-09-23",27.9456092127469,0.305699481865285,0.367354677347064,0.43766609491772,21.7523656044434,19.01596772889,20.3841666666667,0.742106605153686,54.5466215620403,20.1864,20.4993404853111,0.387882610559931,0.000262471678908707
"7830703","2013-09-24",26.1430766520513,0.129533678756477,0.282872995797805,0.359269876951968,21.7759049933746,19.0720950066254,20.424,0.588517068324423,49.8490952948177,20.1928,20.4940950872696,0.332589111458481,0.0667277996348232
"7830702","2013-09-25",25.3463309166035,0,0.145077720207254,0.26510179778404,21.6932178162772,19.2694488503895,20.4813333333333,0.401805822522838,43.86625160791,20.164,20.422882408967,0.0906050188929086,0.0715032434864403
"7830701","2013-09-26",24.6064955908304,0.0183486238532106,0.0492941008698955,0.159081605624984,21.589054746948,19.4782785863853,20.5336666666667,0.334026298060928,44.4407403150161,20.144,20.3664980877714,-0.0849751626181394,0.0402075622655243
