"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"7930001","2014-04-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7930000","2014-04-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7929999","2014-04-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7929998","2014-04-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7929997","2014-04-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7929996","2014-04-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7929995","2014-05-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7929994","2014-05-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7929993","2014-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7929992","2014-05-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7929991","2014-05-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7929990","2014-05-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7929989","2014-05-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7929988","2014-05-12",NA,0.785714285714283,NA,NA,NA,NA,NA,NA,NA,NA,25.2871428571429,NA,NA
"7929987","2014-05-13",NA,0.777777777777776,NA,NA,NA,NA,NA,NA,83.3333333333333,NA,25.3115238095238,NA,NA
"7929986","2014-05-14",NA,0.796296296296297,0.786596119929452,NA,NA,NA,NA,NA,83.6009174311927,NA,25.3339873015873,NA,NA
"7929985","2014-05-15",NA,0.833333333333333,0.802469135802469,NA,NA,NA,NA,NA,84.1490450204639,NA,25.3561223280423,NA,NA
"7929984","2014-05-16",NA,0.82,0.816543209876544,0.801869488536155,NA,NA,NA,NA,84.1490450204639,NA,25.3753060176367,NA,NA
"7929983","2014-05-19",NA,0.813953488372097,0.822428940568477,0.813813762082496,NA,NA,NA,NA,85.5494565137399,NA,25.3985985486185,NA,NA
"7929982","2014-05-20",NA,0.785714285714285,0.806555924695461,0.815176025046827,25.7593267412908,25.0303399253759,25.3948333333333,0.836311523493015,87.0302600157508,NA,25.4267854088027,NA,NA
"7929981","2014-05-21",NA,0.714285714285718,0.771317829457367,0.800100898240435,25.7716762450789,25.0756570882544,25.4236666666667,0.820393480284964,87.2645008762866,NA,25.4525473542956,NA,NA
"7929980","2014-05-22",NA,0.749999999999997,0.75,0.775957918050942,25.7782858078194,25.1237141921806,25.451,0.798923237720459,87.5074784417619,NA,25.4762077070562,NA,NA
"7929979","2014-05-23",NA,0.821428571428567,0.761904761904761,0.761074197120709,25.7757760098121,25.1822239901879,25.479,0.804943785912133,88.0005677470796,NA,25.4993800127821,NA,NA
"7929978","2014-05-27",NA,0.729729729729734,0.767052767052766,0.759652509652509,25.7697858321979,25.2505475011355,25.5101666666667,0.91053723100628,88.9407575442833,NA,25.5247960110778,NA,NA
"7929977","2014-05-28",NA,0.702127659574474,0.751095320244258,0.760017616400595,25.7750035970944,25.3116630695723,25.5433333333333,1.06833649916537,90.3637015491224,25.4192,25.5561565429341,NA,NA
"7929976","2014-05-29",NA,0.808510638297874,0.746789342534027,0.754979143277017,25.8195857909101,25.3250808757565,25.5723333333333,1.12217109929248,91.8208384880533,25.452,25.5953356705429,0.738555352526094,NA
"7929975","2014-05-30",NA,0.808510638297874,0.773049645390074,0.756978102722786,25.858858049221,25.3384752841123,25.5986666666667,1.04062769214608,91.8208384880533,25.484,25.6292909144705,0.753933702694076,NA
"7929974","2014-06-02",73.3113128762398,0.875000000000003,0.83067375886525,0.783504248929784,25.9078229285213,25.3311770714787,25.6195,1.00377540469959,92.4122502699246,25.5176,25.6640521258744,0.769669160199715,NA
"7929973","2014-06-03",70.3106380335294,0.468085106382977,0.717198581560285,0.773640661938536,25.9247828167393,25.3392171832607,25.632,0.747054571504284,67.4601635683753,25.5436,25.6688451757578,0.714090668637923,NA
"7929972","2014-06-04",65.6961175737173,0,0.447695035460993,0.665189125295509,25.9247284450135,25.3419382216531,25.6333333333333,0.391327392267923,49.3382702681812,25.5584,25.6409991523235,0.587810633940689,NA
"7929971","2014-06-05",61.3169014814466,0.265306122448978,0.244463742943985,0.469785786655088,25.9234958333023,25.3635041666977,25.6435,0.529464724180713,56.2015501958713,25.574,25.634199265347,0.522619656079426,NA
