"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"7959233","2005-12-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7959232","2005-12-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7959231","2005-12-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7959230","2005-12-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7959229","2005-12-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7959228","2005-12-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7959227","2005-12-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7959226","2006-01-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7959225","2006-01-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7959224","2006-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7959223","2006-01-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7959222","2006-01-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7959221","2006-01-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7959220","2006-01-11",NA,0.746987951807229,NA,NA,NA,NA,NA,NA,NA,NA,3.04214285714286,NA,NA
"7959219","2006-01-12",NA,0.921686746987952,NA,NA,NA,NA,NA,NA,93.6781609195402,NA,3.18719047619048,NA,NA
"7959218","2006-01-13",NA,0.909604519774011,0.859426406189731,NA,NA,NA,NA,NA,93.9764111204718,NA,3.32356507936508,NA,NA
"7959217","2006-01-17",NA,0.870833333333333,0.900708200031766,NA,NA,NA,NA,NA,95.3836602930221,NA,3.5057564021164,NA,NA
"7959216","2006-01-18",NA,0.7,0.826812617702448,0.862315741307981,NA,NA,NA,NA,80.9562488043242,NA,3.61832221516755,NA,NA
"7959215","2006-01-19",NA,0.818930041152263,0.796587791495199,0.841369536409804,NA,NA,NA,NA,83.4188621289568,NA,3.75721258647854,NA,NA
"7959214","2006-01-20",NA,0.849056603773585,0.789328881641949,0.804243096946532,5.19024918483304,1.91041748183363,3.55033333333333,0.982646715852019,85.6158595525974,NA,3.92291757494807,NA,NA
