"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"8063965","2001-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8063964","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8063963","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8063962","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8063961","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8063960","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8063959","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8063958","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8063957","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8063956","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8063955","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8063954","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8063953","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8063952","2001-08-15",NA,0.763314596958321,NA,NA,NA,NA,NA,NA,NA,NA,55.2800364285714,NA,NA
"8063951","2001-08-16",NA,0.680473859370767,NA,NA,NA,NA,NA,NA,48.2578604394141,NA,55.3466742380952,NA,NA
"8063950","2001-08-17",NA,0.599999273333708,0.681262576554265,NA,NA,NA,NA,NA,50.129164109774,NA,55.4696656730159,NA,NA
"8063949","2001-08-20",NA,0.638298279424759,0.639590470709745,NA,NA,NA,NA,NA,51.5446399187452,NA,55.6251889166138,NA,NA
"8063948","2001-08-21",NA,0.553191378338702,0.59716297703239,0.639338674765466,NA,NA,NA,NA,49.5262335489658,NA,55.6947357277319,NA,NA
"8063947","2001-08-22",NA,0.617020684473077,0.602836780745513,0.613196742829216,NA,NA,NA,NA,51.0736525406844,NA,55.8039389640343,NA,NA
"8063946","2001-08-23",NA,0.574467233930049,0.58155976558061,0.593853174452837,57.6558003432166,54.37111232345,56.0134563333333,0.701968546989677,49.973677426956,NA,55.8659617688298,NA,NA
"8063945","2001-08-24",NA,0.455319311769903,0.54893574339101,0.577777429905711,57.64489781815,54.3689675151833,56.0069326666667,0.56509723354214,46.9262184060292,NA,55.8283801996525,NA,NA
"8063944","2001-08-27",NA,0.741526231013041,0.590437592237664,0.573644367069761,57.9021512815132,54.2960157184868,56.0990835,0.956465507530318,54.2266503128665,NA,56.0176241730321,NA,NA
"8063943","2001-08-28",NA,0.76271195247415,0.653185831752365,0.597519722460346,58.1010401376175,54.2218971957159,56.1614686666667,0.916666264741375,54.7198322726193,NA,56.1979449499612,NA,NA
"8063942","2001-08-29",NA,0.762791971011076,0.755676718166089,0.666433380718706,58.3100404216288,54.1596862450378,56.2348633333333,0.891404347086579,55.2392443967761,NA,56.3705336232997,NA,NA
