"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"8115260","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8115259","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8115258","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8115257","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8115256","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8115255","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8115254","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8115253","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8115252","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8115251","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8115250","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8115249","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8115248","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8115247","2001-08-17",NA,0.540001055204798,NA,NA,NA,NA,NA,NA,NA,NA,7.479695,NA,NA
"8115246","2001-08-20",NA,0.386596501247612,NA,NA,NA,NA,NA,NA,67.9823901699661,NA,7.50539966666667,NA,NA
"8115245","2001-08-21",NA,0.634017990087095,0.520205182179835,NA,NA,NA,NA,NA,73.8998152815686,NA,7.57619837777778,NA,NA
"8115244","2001-08-22",NA,0.68556781637329,0.568727435902666,NA,NA,NA,NA,NA,74.9390550984137,NA,7.64766659407408,NA,NA
"8115243","2001-08-23",NA,0.68768616515622,0.669090657205535,0.586007758429345,NA,NA,NA,NA,82.2466850029697,NA,7.80664838153087,NA,NA
"8115242","2001-08-24",NA,0.737610798131093,0.703621593220201,0.647146562109467,NA,NA,NA,NA,83.5390098205114,NA,7.96869393066008,NA,NA
"8115241","2001-08-27",NA,0.830028360367228,0.751775107884847,0.708162452770195,9.15547685451715,6.73130947881619,7.94339316666667,1.13258290194996,85.4411525707861,NA,8.14956807323874,NA,NA
"8115240","2001-08-28",NA,0.756373609538649,0.77467092267899,0.74335587459468,9.35899970599267,6.723641960674,8.04132083333333,0.982398453211244,79.0471390552617,NA,8.28004299680691,NA,NA
"8115239","2001-08-29",NA,0.733332495875521,0.773244821927133,0.76656361749699,9.52603417141749,6.72011516191585,8.12307466666667,0.903223327604509,79.1762073217813,NA,8.39514259723265,NA,NA
"8115238","2001-08-30",NA,0.6,0.696568701804723,0.748161482136949,9.63676882732545,6.74433150600789,8.19055016666667,0.800558457600041,70.7290474644167,NA,8.45850491760163,NA,NA
"8115237","2001-08-31",NA,0.459770463469731,0.597700986448417,0.689171503393424,9.83684905415085,6.74490861251582,8.29087883333333,0.92853170202054,72.4853470582152,NA,8.53363626192142,NA,NA
"8115236","2001-09-04",NA,0.760868131521524,0.606879531663752,0.633716406638964,10.2103735269376,6.63193480639573,8.42115416666667,1.06338699381949,81.4669336774768,8.0818824,8.75037942699856,NA,NA
"8115235","2001-09-05",NA,0.820224852316548,0.680287815769268,0.628289444627146,10.5327586064436,6.57490239355643,8.5538305,0.988627191753368,82.6843888614302,8.2153168,8.96855017006542,11.3205782732482,NA
"8115234","2001-09-06",NA,0.5831420433377,0.721411675725257,0.669526341052759,10.6929854528899,6.64869121377672,8.67083833333334,0.820527700679258,66.5262028287994,8.2993196,9.05351148072336,10.8391870326668,NA
"8115233","2001-09-07",54.1576098962192,0.262556087571897,0.555307661075382,0.652335717523302,10.6917689768906,6.82857802310938,8.7601735,0.590012765136457,51.729106640948,8.3405628,8.98562328329358,9.40692342712908,NA
"8115232","2001-09-10",50.6160876996588,0.0641033012151689,0.303267144041589,0.526662160280742,10.6604059864935,6.96001701350649,8.8102115,0.420641270739269,48.2610783670298,8.3690692,8.8843308455211,7.89668743228664,NA
"8115231","2001-09-17",47.9742832467038,0,0.108886462929022,0.322487089348664,10.6333071630834,7.03260450358328,8.83295583333333,0.282284392575891,43.7487185523332,8.373618,8.73589206611829,6.21002508016772,NA
"8115230","2001-09-18",47.0174019847701,0,0.0213677670717229,0.144507124680778,10.6925896388146,6.92202069451874,8.80730516666667,0.0308024174946592,33.2563790340778,8.321154,8.41720245730252,3.47059704898709,NA
"8115229","2001-09-19",46.3098555172618,0,-1.38777878078145e-17,0.043418076666915,10.8051425649038,6.71394043509623,8.7595415,-0.0140261386773041,31.9821346541084,8.265354,8.11168879632885,1.00197766653642,NA
"8115228","2001-09-20",45.652848083147,0.208722235804846,0.0695740786016153,0.0303139485577794,10.8342290378071,6.64416629552621,8.73919766666667,0.153740029866424,42.8737374381991,8.26687,7.98236629015167,0.0239606339860421,NA
"8115227","2001-09-21",45.6030158282047,0.0654219048225619,0.0913813802091359,0.0536518196035837,10.9213296825692,6.45471531743084,8.6880225,0.0638607513247885,38.3350713675299,8.2289628,7.77728811813145,-1.47274981564169,5.41079853104071
"8115226","2001-09-24",45.3348627119217,0.158879714340306,0.144341284989238,0.101765581266663,10.9659031524715,6.32093284752848,8.643418,0.163658847290344,42.6026526012963,8.204702,7.66020570238059,-2.18195129368012,3.89224856609654
"8115225","2001-09-25",44.8128199610415,0.205607591841934,0.143303070334934,0.126341911844436,10.9893070481214,6.20907795187858,8.5991925,0.223663348888813,44.6646648856901,8.1895388,7.58905960872984,-2.48240789332451,2.61731727421233
"8115224","2001-09-26",44.1716243744396,0.258566811783873,0.207684705988704,0.165109687104292,10.9962697176885,6.12326728231148,8.5597685,0.277466045958154,46.9890865892087,8.1846864,7.56176899423253,-2.41899751009769,1.61005431735033
