"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"8295254","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8295253","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8295252","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8295251","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8295250","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8295249","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8295248","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8295247","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8295246","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8295245","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8295244","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8295243","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8295242","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8295241","2001-08-17",NA,0.591836734693876,NA,NA,NA,NA,NA,NA,NA,NA,8.44357142857143,NA,NA
"8295240","2001-08-20",NA,0.367346938775509,NA,NA,NA,NA,NA,NA,65,NA,8.44976190476191,NA,NA
"8295239","2001-08-21",NA,0.28888888888889,0.416024187452758,NA,NA,NA,NA,NA,63.8539042821159,NA,8.45379365079365,NA,NA
"8295238","2001-08-22",NA,0.175000000000001,0.277078609221467,NA,NA,NA,NA,NA,62.6640045636053,NA,8.4559544973545,NA,NA
"8295237","2001-08-23",NA,0.135135135135137,0.199674674674676,0.297592490449634,NA,NA,NA,NA,63.398528800241,NA,8.4591605643739,NA,NA
