"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"8333908","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8333907","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8333906","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8333905","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8333904","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8333903","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8333902","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8333901","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8333900","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8333899","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8333898","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8333897","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8333896","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8333895","2001-08-16",NA,0.0393442622950817,NA,NA,NA,NA,NA,NA,NA,NA,15.2057142857143,NA,NA
"8333894","2001-08-17",NA,0,NA,NA,NA,NA,NA,NA,47.2256473489519,NA,15.0182857142857,NA,NA
"8333893","2001-08-20",NA,0.185714285714285,0.0750195160031223,NA,NA,NA,NA,NA,51.4188422247446,NA,14.9425142857143,NA,NA
"8333892","2001-08-21",NA,0.0285714285714285,0.0714285714285712,NA,NA,NA,NA,NA,47.9473160099957,NA,14.8035123809524,NA,NA
"8333891","2001-08-22",NA,0.0171428571428568,0.0771428571428568,0.0745303148581835,NA,NA,NA,NA,47.6951108295358,NA,14.6777107301587,NA,NA
"8333890","2001-08-23",NA,0,0.0152380952380951,0.0546031746031744,NA,NA,NA,NA,42.896024824667,NA,14.4633492994709,NA,NA
"8333889","2001-08-24",NA,0.0756501182033097,0.0309309917820555,0.0411039813876691,16.8946657688852,13.4293342311148,15.162,0.200269179053809,45.2970832322683,NA,14.3202360595415,NA,NA
"8333888","2001-08-27",NA,0.432624113475177,0.169424743892829,0.0718646103043265,16.9121522860043,13.466181047329,15.1891666666667,0.530228536296984,54.927766768896,NA,14.3975379182693,NA,NA
"8333887","2001-08-28",NA,0.633569739952719,0.380614657210402,0.193656797628429,17.0018433301589,13.4701566698411,15.236,0.738979298328818,59.2742895447332,NA,14.5778661958334,NA,NA
"8333886","2001-08-29",NA,0.652482269503546,0.572892040977147,0.374310480693459,17.0751455163017,13.459521150365,15.2673333333333,0.747813353743637,59.668504371808,NA,14.7448173697222,NA,NA
"8333885","2001-08-30",NA,0.302600472813239,0.529550827423168,0.494352508536906,16.9496509516783,13.4356823816551,15.1926666666667,0.384461117989646,50.0217805740945,NA,14.6921750537593,NA,NA
"8333884","2001-08-31",NA,0.0874704491725766,0.347517730496454,0.483320199632256,16.8273480035101,13.3433186631566,15.0853333333333,0.224839668953709,45.1846282289956,14.7848,14.5252183799247,NA,NA
"8333883","2001-09-04",NA,0.129901960784314,0.173324294256709,0.350130950725444,16.7888727431886,13.2371272568115,15.013,0.248574326785193,46.1702632996242,14.7588,14.4018559292681,-2.65624814640429,NA
"8333882","2001-09-05",NA,0,0.0724574699856299,0.197766498246264,16.9333900887091,12.8612765779576,14.8973333333333,-0.0330565223527163,39.5216856591944,14.6508,14.1096084720323,-3.66303280994299,NA
"8333881","2001-09-06",16.4313134310656,0,0.0433006535947711,0.0963608059457036,17.1945109969442,12.2461556697224,14.7203333333333,-0.12182276666206,35.1666630356564,14.4844,13.708327342428,-5.08105919693048,NA
"8333880","2001-09-07",18.0883500054435,0.012216404886562,0.0040721349621872,0.0399434195141961,17.3493094438481,11.7343572228186,14.5418333333333,-0.0215538591819133,35.6482503734149,14.2968,13.369883696771,-6.14326385103557,NA
"8333879","2001-09-10",19.6648720685467,0,0.0040721349621872,0.0171483078397152,17.4186907900905,11.2513092099095,14.335,0.0219473134582947,35.3653462469553,14.1008,13.0672325372015,-6.98874599960816,NA
"8333878","2001-09-17",21.5919179068478,0,0.0040721349621872,0.00407213496218727,17.4154682017126,10.7135317982874,14.0645,-0.00201908783862897,31.864033059453,13.9044,12.6849348655746,-8.17312540252365,NA
"8333877","2001-09-18",23.5647527215777,0,-1.39356119236803e-16,0.00271475664145816,17.2113746207134,10.2492920459533,13.7303333333333,-0.00372858442013894,30.456867924798,13.7084,12.3016102168313,-9.31965695149272,NA
"8333876","2001-09-19",25.8184945350385,0,-1.39356119236803e-16,0.00135737832072905,17.1844573173693,9.60920934929738,13.3968333333333,-0.0284975510866332,27.1760244067861,13.476,11.8373955212538,-10.8417408611627,NA
"8333875","2001-09-20",27.9112547903948,0.0786516853932583,0.0262172284644193,0.00873907615480642,17.1888658715132,9.08980079515343,13.1393333333333,0.074930361194973,32.1824998700845,13.262,11.51907611842,-11.5686264979384,-7.15949996855988
"8333874","2001-09-21",30.2623579567324,0,0.0262172284644193,0.0174781523096129,17.2971845629441,8.4328154370559,12.865,0.0391663025324786,28.587772658519,12.9932,11.100532635964,-12.8275151781473,-8.29310301047736
"8333873","2001-09-24",32.4455251826173,0.0177514792899407,0.0321343882277329,0.0281896150521906,17.258845591183,7.88615440881704,12.5725,0.0978565181195665,29.7720363207233,12.7084,10.7577949511688,-13.6512719367416,-9.3647367957302
"8333872","2001-09-25",34.4842784178765,0.0164835164835164,0.0114116652578189,0.0232544273166571,17.1992961815248,7.39870381847519,12.299,0.139239493319107,29.6660742144041,12.38,10.4567556243463,-14.2374113981524,-10.3392717162146
"8333871","2001-09-26",37.0183325678685,0,0.0114116652578189,0.0183192395811236,17.2542315870438,6.65143507962286,11.9528333333333,0.0504802281802911,23.5804076967034,12.0184,9.92652154110011,-16.1980773378385,-11.5110328405394
"8333870","2001-09-27",39.371382850004,0.054147465437788,0.0235436606404347,0.0154556637186909,17.2784244703466,6.00257552965337,11.6405,0.10619373110128,27.3164793653934,11.7216,9.52965200228677,-17.3388281204103,-12.6765918965136
"8333869","2001-09-28",40.4358574986288,0.0714285714285714,0.041858678955453,0.0256046682845689,17.1018134817544,5.51585318491232,11.3088333333333,0.170391298132255,27.7213139075668,11.4496,9.19236506864853,-18.1151860823439,-13.7643107336796
"8333868","2001-10-01",41.4242982437805,0.0832,0.0695920122887863,0.0449981172948914,16.6476159682255,5.1740506984412,10.9108333333333,0.188196309004196,27.7213139075668,11.1516,8.90004972616206,-18.619902141427,-14.7354290152291
"8333867","2001-10-02",42.4218700045601,0.0564784053156146,0.0703689922480619,0.0606065611641005,15.9153593976802,4.99897393565315,10.4571666666667,0.183915522037705,27.09130966544,10.8684,8.62270976267378,-19.056180064572,-15.5995792250977
"8333866","2001-10-03",40.9470791499694,0.00364963503649627,0.0477760134507035,0.0625790059958506,14.95542281222,5.08491052111331,10.0201666666667,0.236909974199306,25.9617086066413,10.574,8.33968179431728,-19.5697439546678,-16.3936121710117
"8333865","2001-10-04",38.3604058198729,0.434865900383142,0.164997980245084,0.0943809953146166,14.1767544346241,5.32124556537591,9.74900000000001,0.456448954841438,43.7282451158533,10.4012,8.39439088840831,-17.6927408789841,-16.6534379126062
"8333864","2001-10-05",36.2910149229767,0.398249452954049,0.278921662791229,0.163898552162339,13.4389824422761,5.50801755772391,9.47350000000001,0.391963544687701,41.5792392405932,10.1976,8.38180543662053,-16.4384536680994,-16.6104410637048
"8333863","2001-10-08",34.5817354167715,0.372262773722628,0.401792709019939,0.281904117352084,12.5504999009803,5.81783343235305,9.18416666666667,0.373626097876965,40.2078627187722,9.922,8.33223137840446,-15.5460430291928,-16.3975614568024
"8333862","2001-10-09",33.0921288889349,0.340632603406326,0.370381610027667,0.350365327279612,11.9262724154902,5.98572758450977,8.95600000000001,0.366566672044482,39.5776884954336,9.6072,8.27193386128387,-14.8033268588013,-16.0787145372022
"8333861","2001-10-10",31.5849633305942,0.357664233576643,0.356853203568532,0.376342507538713,11.4997640441167,6.07290262254999,8.78633333333334,0.401170623004686,40.121886725496,9.292,8.22900934644602,-13.9969578949318,-15.6623632087481
"8333860","2001-10-11",29.7592745605974,0.579075425790755,0.425790754257908,0.384341855951369,11.0738227634146,6.26984390325205,8.67183333333334,0.635616749982523,46.8266280464173,9.0724,8.31314143358655,-12.3415056908908,-14.9981917051767
"8333859","2001-10-12",29.314477929862,0.580071174377225,0.505603611248207,0.429415856358216,10.8595674177897,6.39809924887694,8.62883333333334,0.925383138796617,52.3796852128476,8.9244,8.50338924244168,-10.0757032053687,-14.0136940052151
"8333858","2001-10-15",28.9014524870363,0.772241992882563,0.643796197683514,0.52506352106321,10.9848713147212,6.32246201861213,8.65366666666667,1.04542616027344,58.155369512254,8.8132,8.81227067678279,-7.21451383931231,-12.6538579720345
"8333857","2001-10-16",28.1904854044546,0.712500000000001,0.688271055753263,0.612556954894995,11.1069541324225,6.25971253424414,8.68333333333334,0.940112853903349,55.923442689599,8.7444,9.03596791987842,-5.21624512525122,-11.1663354026779
"8333856","2001-10-17",26.8488903564967,0.583928571428572,0.689556854770378,0.673874702735718,11.2492230364745,6.21544363019222,8.73233333333334,0.825997598931729,51.2976043094935,8.6912,9.13383886389463,-4.2293192237814,-9.77893216689857
