"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"8362225","2000-06-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8362224","2000-06-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8362223","2000-06-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8362222","2000-06-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8362221","2000-06-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8362220","2000-06-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8362219","2000-07-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8362218","2000-07-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8362217","2000-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8362216","2000-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8362215","2000-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8362214","2000-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8362213","2000-08-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8362212","2000-08-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22963,NA,NA
"8362211","2000-09-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22963,NA,NA
"8362210","2000-09-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22963,NA,NA
"8362209","2000-09-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22963,NA,NA
"8362208","2000-10-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22963,NA,NA
"8362207","2000-10-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22963,NA,NA
"8362206","2000-10-20",NA,NA,NA,NA,0.22963,0.22963,0.22963,0.0833333333333333,NA,NA,0.22963,NA,NA
"8362205","2000-11-06",NA,NA,NA,NA,0.22963,0.22963,0.22963,0.0833333333333333,NA,NA,0.22963,NA,NA
"8362204","2000-11-10",NA,NA,NA,NA,0.22963,0.22963,0.22963,0.0833333333333333,NA,NA,0.22963,NA,NA
"8362203","2000-11-16",NA,NA,NA,NA,0.22963,0.22963,0.22963,0.0833333333333333,NA,NA,0.22963,NA,NA
"8362202","2000-11-24",NA,NA,NA,NA,0.22963,0.22963,0.22963,0.0833333333333333,NA,NA,0.22963,NA,NA
"8362201","2000-12-01",NA,NA,NA,NA,0.22963,0.22963,0.22963,0.0833333333333333,NA,0.22963,0.22963,NA,NA
"8362200","2001-01-02",NA,NA,NA,NA,0.22963,0.22963,0.22963,0.0833333333333333,NA,0.22963,0.22963,4.44089209850063e-14,NA
"8362199","2001-01-04",NA,NA,NA,NA,0.22963,0.22963,0.22963,0.0833333333333333,NA,0.22963,0.22963,4.44089209850063e-14,NA
"8362198","2001-01-25",NA,NA,NA,NA,0.22963,0.22963,0.22963,0.0833333333333333,NA,0.22963,0.22963,4.44089209850063e-14,NA
"8362197","2001-02-16",NA,NA,NA,NA,0.22963,0.22963,0.22963,0.0833333333333333,NA,0.22963,0.22963,4.44089209850063e-14,NA
"8362196","2001-02-27",NA,NA,NA,NA,0.22963,0.22963,0.22963,0.0833333333333333,NA,0.22963,0.22963,4.44089209850063e-14,NA
"8362195","2001-03-07",NA,NA,NA,NA,0.22963,0.22963,0.22963,0.0833333333333333,NA,0.22963,0.22963,4.44089209850063e-14,NA
"8362194","2001-03-13",NA,NA,NA,NA,0.22963,0.22963,0.22963,0.0833333333333333,NA,0.22963,0.22963,4.44089209850063e-14,NA
