"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"8384296","2013-04-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8384295","2013-04-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8384294","2013-04-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8384293","2013-04-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8384292","2013-04-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8384291","2013-04-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8384290","2013-04-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8384289","2013-04-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8384288","2013-04-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8384287","2013-04-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8384286","2013-04-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8384285","2013-04-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8384284","2013-04-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8384283","2013-04-24",NA,0.290909090909091,NA,NA,NA,NA,NA,NA,NA,NA,10.3607142857143,NA,NA
"8384282","2013-04-25",NA,0.60790273556231,NA,NA,NA,NA,NA,NA,89.9999999999999,NA,10.6059523809524,NA,NA
"8384281","2013-04-26",NA,0.74468085106383,0.547830892511744,NA,NA,NA,NA,NA,91.6237113402061,NA,10.8784920634921,NA,NA
"8384280","2013-04-29",NA,0.787878787878788,0.713487458168309,NA,NA,NA,NA,NA,92.0850505807418,NA,11.1346931216931,NA,NA
"8384279","2013-04-30",NA,0.804597701149425,0.779052446697348,0.6801235991258,NA,NA,NA,NA,92.6651264656392,NA,11.3834007054674,NA,NA
"8384278","2013-05-01",NA,0.0769230769230771,0.556466521983764,0.68300214228314,NA,NA,NA,NA,46.6456052280768,NA,11.2656139447384,NA,NA
