"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"8458283","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8458282","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8458281","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8458280","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8458279","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8458278","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8458277","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8458276","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8458275","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8458274","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8458273","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8458272","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8458271","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8458270","2001-08-17",NA,0.345454545454545,NA,NA,NA,NA,NA,NA,NA,NA,168.339285714286,NA,NA
"8458269","2001-08-20",NA,0.389090909090909,NA,NA,NA,NA,NA,NA,40.9610983981693,NA,168.094047619048,NA,NA
"8458268","2001-08-21",NA,0.432727272727273,0.389090909090909,NA,NA,NA,NA,NA,42.6568644212686,NA,168.081507936508,NA,NA
"8458267","2001-08-22",NA,0.481818181818182,0.434545454545455,NA,NA,NA,NA,NA,41.2737799834574,NA,167.853973544974,NA,NA
"8458266","2001-08-23",NA,0.541463414634146,0.485336289726534,0.436324217787632,NA,NA,NA,NA,42.0520126530317,NA,167.740110405644,NA,NA
"8458265","2001-08-24",NA,0.804597701149425,0.609293099200585,0.509724947824191,NA,NA,NA,NA,46.4818820240235,NA,168.124762351558,NA,NA
"8458264","2001-08-27",NA,0.718390804597701,0.688150640127091,0.594260009684736,183.519606431754,157.130393568246,170.325,0.503473641564862,44.5834117240828,NA,168.20812737135,NA,NA
"8458263","2001-08-28",NA,0.697674418604651,0.740220974783926,0.679221571370534,182.660820241473,157.451679758527,170.05625,0.679581026826203,48.3684371992404,NA,168.697043721837,NA,NA
"8458262","2001-08-29",NA,0.897872340425532,0.771312521209295,0.733228045373437,181.748172373979,158.001827626021,169.875,0.947437284044044,56.2249555219504,NA,170.137437892259,NA,NA
