"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"8636852","2010-03-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8636851","2010-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8636850","2010-03-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8636849","2010-03-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8636848","2010-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8636847","2010-04-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8636846","2010-04-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8636845","2010-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8636844","2010-04-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8636843","2010-04-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8636842","2010-04-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8636841","2010-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8636840","2010-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8636839","2010-04-15",NA,0.231827111984283,NA,NA,NA,NA,NA,NA,NA,NA,3.79428571428571,NA,NA
"8636838","2010-04-16",NA,0.245535714285714,NA,NA,NA,NA,NA,NA,63.4222919937206,NA,3.79504761904762,NA,NA
"8636837","2010-04-19",NA,0.229166666666667,0.235509830978888,NA,NA,NA,NA,NA,63.7288947431445,NA,3.7973746031746,NA,NA
"8636836","2010-04-20",NA,0.355294117647059,0.276665499533147,NA,NA,NA,NA,NA,67.2205249444338,NA,3.81905798941799,NA,NA
"8636835","2010-04-21",NA,0.340153452685422,0.308204745666383,0.273460025392806,NA,NA,NA,NA,68.1168817013432,NA,3.84318359082892,NA,NA
"8636834","2010-04-22",NA,0.217391304347826,0.304279624893436,0.296383290030988,NA,NA,NA,NA,62.5875482690028,NA,3.84809244538507,NA,NA
"8636833","2010-04-23",NA,0.450657894736842,0.33606755059003,0.316183973716616,4.30125907730678,3.52474092269322,3.913,0.680721252297277,65.8241151022989,NA,3.86968011933373,NA,NA
"8636832","2010-04-26",NA,0.633962264150944,0.434003821078537,0.358116998854001,4.29982130951587,3.5840953571508,3.94195833333333,0.74759243778678,67.6223905844643,NA,3.89872277008923,NA,NA
"8636831","2010-04-27",NA,0.759615384615385,0.614745181167723,0.461605517612097,4.29300426472813,3.64166240193853,3.96733333333333,0.70368208193847,66.408490194534,NA,3.92055973407733,NA,NA
"8636830","2010-04-28",NA,0.413461538461538,0.602346395742622,0.550365132662961,4.27355041790673,3.6912829154266,3.98241666666667,0.442895662460338,58.2944538496504,NA,3.91548510286702,NA,NA
"8636829","2010-04-29",NA,0.160194174757282,0.444423699278068,0.553838425396138,4.25222233992464,3.72777766007536,3.99,0.134534062350013,53.1467007572219,NA,3.89342042248475,NA,NA
"8636828","2010-04-30",NA,0.12621359223301,0.233289768483943,0.426686621168211,4.25750370588868,3.71641296077799,3.98695833333333,0.109815909978631,52.4874467606883,3.8439,3.87196436615345,NA,NA
"8636827","2010-05-03",NA,0.135922330097087,0.140776699029126,0.272830055597046,4.22831229600857,3.69852103732476,3.96341666666667,0.108179014034614,52.6681005327669,3.8585,3.85403578399966,0.27517091343483,NA
"8636826","2010-05-04",NA,0,0.0873786407766989,0.153815036096589,4.21680619273946,3.66127714059387,3.93904166666667,0.0187020391330889,48.2250752895633,3.8625,3.82349767946637,-0.214314566034901,NA
"8636825","2010-05-05",21.0467918945994,0,0.0453074433656957,0.0911542610571737,4.21419208211248,3.59972458455419,3.90695833333333,-0.105334431538497,43.4054802406382,3.8594,3.77869798887085,-0.888907034706399,NA
"8636824","2010-05-06",21.1139671570599,0,9.25185853854297e-18,0.0442286947141316,4.22713917950678,3.52886082049322,3.878,-0.0640062136390625,42.2480512760436,3.8542,3.73520492368807,-1.48976108512227,NA
"8636823","2010-05-07",20.8076276821436,0.0582191780821918,0.0194063926940639,0.0215712786865866,4.23456937685426,3.47826395647907,3.85641666666667,0.0673044365626003,44.1940210088017,3.8438,3.70317760052966,-1.85910896599104,NA
"8636822","2010-05-10",19.6932358723889,0.184931506849315,0.0810502283105022,0.0334855403348555,4.21483418880183,3.46191581119817,3.838375,0.284117812100703,48.278860607155,3.8266,3.68775392045904,-1.93055103007486,NA
"8636821","2010-05-11",18.6584434776168,0.321917808219178,0.188356164383562,0.0962709284627093,4.20149286902879,3.45042379763788,3.82595833333333,0.352266139613697,52.3403737174413,3.8131,3.68772006439784,-1.74832400104697,NA
"8636820","2010-05-12",17.3443753091193,0.243150684931507,0.25,0.173135464231355,4.19975996047343,3.43649003952657,3.818125,0.305933659987219,49.9132700455225,3.7943,3.68002405581146,-1.71041193143976,NA
