"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"8699397","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8699396","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8699395","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8699394","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8699393","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8699392","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8699391","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8699390","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8699389","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8699388","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8699387","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8699386","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8699385","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8699384","2001-08-17",NA,0.676767676767677,NA,NA,NA,NA,NA,NA,NA,NA,14.335,NA,NA
"8699383","2001-08-20",NA,0.515151515151515,NA,NA,NA,NA,NA,NA,61.1650485436893,NA,14.3583333333333,NA,NA
"8699382","2001-08-21",NA,0.707070707070706,0.632996632996632,NA,NA,NA,NA,NA,64.6739130434783,NA,14.4038888888889,NA,NA
"8699381","2001-08-22",NA,0.606060606060606,0.609427609427609,NA,NA,NA,NA,NA,61.5231656392921,NA,14.430037037037,NA,NA
"8699380","2001-08-23",NA,0.454545454545454,0.589225589225589,0.610549943883277,NA,NA,NA,NA,57.0346842120189,NA,14.4326987654321,NA,NA
"8699379","2001-08-24",NA,0.454545454545454,0.505050505050504,0.567901234567901,NA,NA,NA,NA,57.0346842120189,NA,14.4350055967078,NA,NA
"8699378","2001-08-27",NA,0.615384615384616,0.508158508158508,0.5341448674782,14.9665611696945,14.0187721636388,14.4926666666667,0.736339521316246,61.1937357669821,NA,14.4623381838134,NA,NA
"8699377","2001-08-28",NA,0.406593406593406,0.492174492174492,0.501794501794501,14.9598454409045,14.0604878924289,14.5101666666667,0.507227381380205,55.4167411597292,NA,14.4606930926383,NA,NA
"8699376","2001-08-29",NA,0,0.340659340659341,0.446997446997447,14.9684293188552,14.0249040144781,14.4966666666667,0.164379253849788,44.6624630892622,NA,14.3992673469532,NA,NA
"8699375","2001-08-30",NA,0,0.135531135531135,0.322788322788322,14.9897585595432,13.9585747737901,14.4741666666667,0.0595676804256611,44.2514365936635,NA,14.3433650340261,NA,NA
"8699374","2001-08-31",NA,0,-1.85037170770859e-17,0.158730158730159,15.0068093735127,13.9205239598207,14.4636666666667,0.0885059355802622,43.6032177818454,NA,14.2909163628226,NA,NA
"8699373","2001-09-04",NA,0,-1.85037170770859e-17,0.0451770451770451,15.0250053637352,13.8856613029314,14.4553333333333,0.0418416455941074,41.4249099269611,14.3308,14.2321275144463,NA,NA
"8699372","2001-09-05",NA,0.0526315789473688,0.0175438596491229,0.00584795321637431,15.0440233588329,13.8453099745004,14.4446666666667,0.0762122900772548,43.2566000579513,14.3252,14.1891771791868,-1.00427191512582,NA
"8699371","2001-09-06",NA,0.0438596491228076,0.0321637426900588,0.0165692007797273,15.0635850787895,13.7944149212105,14.429,0.109456097193301,43.0151684640941,14.3072,14.1506202219619,-1.08314813365163,NA
"8699370","2001-09-07",18.1612916922849,0.00877192982456121,0.0350877192982459,0.0282651072124759,15.0770785691552,13.7579214308447,14.4175,0.15066077425504,42.0052416968146,14.2844,14.1118708590336,-1.15579018323815,NA
"8699369","2001-09-10",19.5468872790697,0,0.0175438596491229,0.0282651072124759,15.2155465540336,13.4994534459664,14.3575,-0.197805960743443,26.7737003256073,14.2392,13.9582880778291,-1.71290403350933,NA
"8699368","2001-09-17",22.8245186769462,0,0.00292397660818705,0.0185185185185186,15.6407196306347,12.7812803693653,14.211,-0.376978469391731,14.8163231861003,14.12,13.5771830007853,-3.22339396227109,NA
"8699367","2001-09-18",25.8680335464029,0.0795755968169763,0.0265251989389921,0.015664345065434,15.9014427455379,12.2098905877954,14.0556666666667,-0.196816196389973,20.9487092566914,14.016,13.2868919340139,-4.23344476735235,NA
"8699366","2001-09-19",29.2729220151384,0,0.0265251989389921,0.0186581248287238,16.1610777284767,11.5309222715233,13.846,-0.181618582646165,16.3117791202752,13.8632,12.8886396761454,-5.68613234692571,NA
"8699365","2001-09-20",32.8016495307334,0,0.0265251989389921,0.0265251989389921,16.4635519944102,10.7321146722564,13.5978333333333,-0.16205033514596,13.2882034089625,13.67,12.403487719326,-7.49214367166644,NA
"8699364","2001-09-21",36.0933433887756,0,-1.85037170770859e-17,0.0176834659593281,16.701479025662,9.95118764100471,13.3263333333333,-0.0989371079875675,13.1630788991594,13.4664,11.9763560234159,-8.94573990329288,-3.83744099078149
