"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"8747086","2011-07-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8747085","2011-07-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8747084","2011-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8747083","2011-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8747082","2011-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8747081","2011-08-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8747080","2011-08-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8747079","2011-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8747078","2011-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8747077","2011-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8747076","2011-08-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8747075","2011-08-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8747074","2011-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8747073","2011-08-16",NA,0.0583333333333336,NA,NA,NA,NA,NA,NA,NA,NA,8.64642857142857,NA,NA
"8747072","2011-08-17",NA,0.216666666666667,NA,NA,NA,NA,NA,NA,25.4098360655737,NA,8.61357142857143,NA,NA
"8747071","2011-08-18",NA,0.0249999999999995,0.0999999999999999,NA,NA,NA,NA,NA,21.1215932914046,NA,8.55442857142857,NA,NA
"8747070","2011-08-19",NA,0,0.0805555555555554,NA,NA,NA,NA,NA,16.4438166980539,NA,8.45517142857143,NA,NA
"8747069","2011-08-22",NA,0,0.00833333333333316,0.0629629629629628,NA,NA,NA,NA,14.6053320066221,NA,8.34381523809524,NA,NA
"8747068","2011-08-23",NA,0.16083916083916,0.0536130536130535,0.0475006475006473,NA,NA,NA,NA,25.4684929155923,NA,8.27797320634921,NA,NA
"8747067","2011-08-24",NA,0.433566433566433,0.198135198135198,0.0866938616938615,9.35342746423887,7.75390586909446,8.55366666666667,0.368502348469797,39.5183142060401,NA,8.27291011216932,NA,NA
"8747066","2011-08-25",NA,0.526315789473685,0.373573794626426,0.208440682124893,9.28760481747765,7.75706184918902,8.52233333333333,0.446206454154374,41.9362568254493,NA,8.27918876388007,NA,NA
"8747065","2011-08-26",NA,0.336283185840708,0.432055136293609,0.334588043018411,9.22476648582946,7.72556684750388,8.47516666666667,0.243085139016675,35.775277050956,NA,8.24196359536273,NA,NA
"8747064","2011-08-29",NA,0,0.287532991771464,0.364387307563833,9.17678746039472,7.65087920627195,8.41383333333333,0.091172449819423,28.7984233457752,NA,8.14436844931437,NA,NA
"8747063","2011-08-30",NA,0.401639344262295,0.245974176701001,0.321854101588691,9.06578233527773,7.6605509980556,8.36316666666667,0.312723599527111,41.1567094419789,NA,8.12511932273912,NA,NA
