"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"8754223","2013-04-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8754222","2013-04-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8754221","2013-04-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8754220","2013-04-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8754219","2013-04-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8754218","2013-04-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8754217","2013-04-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8754216","2013-04-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8754215","2013-04-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8754214","2013-05-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8754213","2013-05-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8754212","2013-05-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8754211","2013-05-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8754210","2013-05-07",NA,0.535353535353535,NA,NA,NA,NA,NA,NA,NA,NA,19.5557142857143,NA,NA
"8754209","2013-05-08",NA,0.0418118466898958,NA,NA,NA,NA,NA,NA,68.5810810810811,NA,19.4949523809524,NA,NA
"8754208","2013-05-09",NA,0,0.192388460681144,NA,NA,NA,NA,NA,68.5810810810811,NA,19.4422920634921,NA,NA
"8754207","2013-05-10",NA,0,0.0139372822299653,NA,NA,NA,NA,NA,67.9158253157541,NA,19.3899864550265,NA,NA
"8754206","2013-05-13",NA,0.420338983050847,0.140112994350282,0.11547957908713,NA,NA,NA,NA,74.5176038025665,NA,19.5099882610229,NA,NA
"8754205","2013-05-14",NA,0.595528455284553,0.338622479445133,0.16422425200846,NA,NA,NA,NA,80.4284013027234,NA,19.8393231595532,NA,NA
"8754204","2013-05-15",NA,0.797979797979798,0.604615745438399,0.361117073077938,22.3989688260321,17.9820311739679,20.1905,1.21154124891588,82.99254981458,NA,20.2607467382794,NA,NA
"8754203","2013-05-16",NA,0.780632411067194,0.724713554777182,0.555983926553571,22.8255186601515,18.0991480065151,20.4623333333333,1.11520072794747,82.99254981458,NA,20.6259805065089,NA,NA
"8754202","2013-05-17",NA,0.642292490118577,0.740301566388523,0.689876955534701,23.1596463339085,18.0830203327582,20.6213333333333,0.930469633342727,75.1556263312451,NA,20.849183105641,NA,NA
"8754201","2013-05-20",NA,0.600790513833992,0.674571805006588,0.713195642057431,23.4333461189171,18.0453205477496,20.7393333333333,0.86822393913956,72.9306642899304,NA,21.0146253582222,NA,NA
