"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"8819122","2013-04-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8819121","2013-04-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8819120","2013-04-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8819119","2013-04-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8819118","2013-04-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8819117","2013-04-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8819116","2013-04-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8819115","2013-04-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8819114","2013-04-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8819113","2013-04-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8819112","2013-04-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8819111","2013-04-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8819110","2013-04-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8819109","2013-04-23",NA,0.063492063492064,NA,NA,NA,NA,NA,NA,NA,NA,28.2564285714286,NA,NA
"8819108","2013-04-24",NA,0.174603174603174,NA,NA,NA,NA,NA,NA,41.4545454545454,NA,28.2662380952381,NA,NA
"8819107","2013-04-25",NA,0.206349206349207,0.148148148148148,NA,NA,NA,NA,NA,42.7985788466794,NA,28.2827396825397,NA,NA
"8819106","2013-04-26",NA,0,0.126984126984127,NA,NA,NA,NA,NA,31.6969498808912,NA,28.1837077248677,NA,NA
"8819105","2013-04-29",NA,0.225531914893617,0.143960373747608,0.139697549626628,NA,NA,NA,NA,41.8291626843795,NA,28.1685466948854,NA,NA
