"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"8825736","2015-01-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8825735","2015-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8825734","2015-01-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8825733","2015-01-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8825732","2015-01-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8825731","2015-01-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8825730","2015-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8825729","2015-01-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8825728","2015-01-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8825727","2015-01-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8825726","2015-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8825725","2015-02-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8825724","2015-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8825723","2015-02-05",NA,0.730769230769231,NA,NA,NA,NA,NA,NA,NA,NA,18.0409285714286,NA,NA
"8825722","2015-02-06",NA,0.590659340659341,NA,NA,NA,NA,NA,NA,89.7727272727273,NA,18.1568047619048,NA,NA
"8825721","2015-02-09",NA,0.628846153846154,0.650091575091575,NA,NA,NA,NA,NA,90.0907667231295,NA,18.2757641269841,NA,NA
"8825720","2015-02-10",NA,0.610306406685238,0.609937300396911,NA,NA,NA,NA,NA,89.0608101375343,NA,18.3724622433862,NA,NA
"8825719","2015-02-11",NA,0.542553191489362,0.593901917340251,0.617976930942912,NA,NA,NA,NA,89.4373992386954,NA,18.4748006109347,NA,NA
"8825718","2015-02-12",NA,0.751748251748251,0.634869283307617,0.612902833681593,NA,NA,NA,NA,91.6789638133367,NA,18.6981605294768,NA,NA
"8825717","2015-02-13",NA,0.822532402791626,0.705611282009746,0.644794160885871,21.0206190579492,16.3231142753841,18.6718666666667,0.925076735932481,92.3696024288994,NA,18.9450724588799,NA,NA
"8825716","2015-02-17",NA,0.593220338983051,0.72250033117431,0.687660298830558,20.9390325073264,16.8443674926736,18.8917,0.826025856056467,83.7598284694706,NA,19.0977294643626,NA,NA
"8825715","2015-02-18",NA,0.676969092721835,0.697573944832171,0.708561852672076,21.0063394689927,17.1092605310073,19.0578,0.828673523695374,84.3341470339581,NA,19.2524322024476,NA,NA
"8825714","2015-02-19",NA,0.548354935194417,0.606181455633101,0.675418577213194,20.9596463600348,17.4796869732986,19.2196666666667,0.771171747079416,79.6742599961335,NA,19.3521079087879,NA,NA
"8825713","2015-02-20",NA,0.651803607214429,0.625709211710227,0.643154870725166,20.8618916518328,17.8985083481672,19.3802,0.795990509310195,80.6175143861514,NA,19.4666268542828,NA,NA
"8825712","2015-02-23",NA,0.551102204408819,0.583753582272555,0.605214749871961,20.777597659169,18.230902340831,19.50425,0.735632165737424,76.9538868460859,18.79768,19.5390766070451,NA,NA
"8825711","2015-02-24",NA,0.566132264529058,0.589679358717435,0.599714050900072,20.7769923050991,18.4058410282342,19.5914166666667,0.718705292400832,77.1210069504874,18.99128,19.6058663927724,4.6870183112206,NA
"8825710","2015-02-25",NA,0.591182364729459,0.569472277889112,0.580968406293034,20.8395673976767,18.41559926899,19.6275833333333,0.73202312770151,77.41496490127,19.12088,19.6704175404028,4.47087610438768,NA
"8825709","2015-02-26",65.8811613642171,0.62124248496994,0.592852371409486,0.584001336005344,20.8927119742033,18.4677880257967,19.68025,0.707463551037926,77.783843250108,19.25648,19.7343618683491,4.27346879680168,NA
