"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"9021059","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9021058","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9021057","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9021056","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9021055","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9021054","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9021053","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9021052","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9021051","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9021050","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9021049","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9021048","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9021047","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9021046","2001-08-17",NA,0.267924528301887,NA,NA,NA,NA,NA,NA,NA,NA,3.79696428571429,NA,NA
"9021045","2001-08-20",NA,0.188679245283019,NA,NA,NA,NA,NA,NA,37.4301675977654,NA,3.78236904761905,NA,NA
"9021044","2001-08-21",NA,0.171052631578948,0.209218801721285,NA,NA,NA,NA,NA,36.6222845129643,NA,3.76605317460317,NA,NA
"9021043","2001-08-22",NA,0.285087719298246,0.214939865386737,NA,NA,NA,NA,NA,39.9229440680218,NA,3.76057941798942,NA,NA
"9021042","2001-08-23",NA,0.542056074766355,0.332732141881183,0.252296936329735,NA,NA,NA,NA,45.8771804955641,NA,3.77283549559083,NA,NA
"9021041","2001-08-24",NA,0.514018691588785,0.447054161884462,0.331575389717461,NA,NA,NA,NA,45.3082483621119,NA,3.78145742951205,NA,NA
"9021040","2001-08-27",NA,0.26984126984127,0.44197201206547,0.407252771943705,4.06838655308705,3.63919678024628,3.85379166666667,0.49504881025954,42.1205983893442,NA,3.77759643891045,NA,NA
"9021039","2001-08-28",NA,0.348571428571428,0.377477130000494,0.422167767983475,4.02985876552559,3.65772456780774,3.84379166666667,0.628649826577612,45.058972824951,NA,3.78225024705572,NA,NA
"9021038","2001-08-29",NA,0.205714285714285,0.274708994708994,0.364719378924986,4.01774977022044,3.65508356311289,3.83641666666667,0.388097284671198,42.6311150241699,NA,3.77795021411496,NA,NA
"9021037","2001-08-30",NA,0.205714285714285,0.253333333333333,0.301839819347607,4.00298298263158,3.65368368403509,3.82833333333333,0.385485026277689,42.6311150241699,NA,3.77422351889963,NA,NA
"9021036","2001-08-31",NA,0.211428571428571,0.207619047619047,0.245220458553792,3.98113872261591,3.65977794405076,3.82045833333333,0.498573773266985,42.7741570052895,NA,3.77132704971301,NA,NA
"9021035","2001-09-04",NA,0.229813664596273,0.215652173913043,0.225534851621808,3.96906741183353,3.6637659214998,3.81641666666667,0.629107350978145,42.7741570052895,3.7796,3.76881677641794,NA,NA
"9021034","2001-09-05",NA,0.0559006211180124,0.165714285714285,0.196328502415458,3.96248871176018,3.67951128823982,3.821,0.337442862304211,39.5702268123746,3.7659,3.75730787289555,-0.623926180230505,NA
"9021033","2001-09-06",NA,0.192546583850931,0.159420289855072,0.180262249827467,3.95404925750896,3.69628407582437,3.82516666666667,0.256884672099169,43.1719760552726,3.7633,3.75466682317615,-0.609450145550761,NA
"9021032","2001-09-07",7.13144704840902,0,0.0828157349896477,0.135983436853002,3.9570082424205,3.68507509091283,3.82104166666667,0.146818837151016,38.1616685545165,3.7518,3.73737791341933,-0.831066072077602,NA
"9021031","2001-09-10",6.6430304669851,0,0.0641821946169769,0.102139406487232,3.95309070877639,3.66049262455694,3.80679166666666,-0.0501004347404236,37.1304173847768,3.7398,3.71906085829675,-1.0501962712989,NA
"9021030","2001-09-17",6.97392352325662,0,-1.20274161001059e-16,0.0489993098688748,3.95736051111463,3.62138948888537,3.789375,-0.13807586314307,33.2588325965725,3.7236,3.68985274385718,-1.42760088817988,NA
"9021029","2001-09-18",7.28118136122303,0.00444444444444435,0.00148148148148133,0.0218878920328194,3.95617985564582,3.58548681102084,3.77083333333333,-0.0867388211182659,33.4456683390687,3.7212,3.66487237800956,-1.70534393314817,NA
"9021028","2001-09-19",8.31428848148474,0,0.00148148148148133,0.000987654320987509,3.97627630834817,3.53939035831849,3.75783333333333,-0.0768095769224905,29.8464845542745,3.7123,3.62988939427495,-2.12639380849928,NA
"9021027","2001-09-20",10.5903182836963,0,0.00148148148148133,0.00148148148148133,4.046802914587,3.41828041874633,3.73254166666666,-0.283650020367016,23.2987249593805,3.6894,3.56723747503829,-2.9794926737894,NA
"9021026","2001-09-21",14.1903541966249,0,-1.20274161001059e-16,0.000987654320987509,4.17896628787864,3.19245037878802,3.68570833333333,-0.342062784470539,15.564963609482,3.6409,3.44493914503319,-4.80766583294497,-1.79568175619105
"9021025","2001-09-24",15.2485526955795,0.368141592920354,0.122713864306785,0.0413984485960886,4.17933962713521,3.14574370619812,3.66254166666666,0.162948553740274,38.1193619268672,3.6123,3.40828059236209,-5.0197688409334,-2.44049917313952
"9021024","2001-09-25",16.2311655874659,0.52212389380531,0.296755162241888,0.139823008849557,4.17272737100067,3.12443929566599,3.64858333333333,0.30817931820017,44.7653664037761,3.5943,3.40550984671382,-4.62305358522909,-2.87701005555744
"9021023","2001-09-26",17.5787867804252,0.424778761061947,0.43834808259587,0.285939036381514,4.16726870660472,3.08298129339527,3.625125,0.200148691168849,41.7151688244876,3.5766,3.38477520048531,-4.58402144104716,-3.21841233265538
"9021022","2001-09-27",17.814535201963,0.394690265486726,0.447197640117994,0.394100294985251,4.1392371713306,3.05484616200273,3.59704166666666,0.253740427235576,40.7900219565257,3.5579,3.36113850708727,-4.60565949761489,-3.49586176564728
"9021021","2001-09-28",18.1848400634751,0.393129770992367,0.404199599180346,0.42991510729807,4.10834908940827,3.01748424392506,3.56291666666666,0.190994411700915,39.8385309748218,3.5349,3.3349867061423,-4.67624449904721,-3.73193831232727
"9021020","2001-10-01",19.5784610872061,0.131372549019608,0.306397528499567,0.385931589265969,4.10549074132505,2.93167592534161,3.51858333333333,0.0283895502123701,33.050039429193,3.5001,3.26598847865666,-5.52926334015867,-4.09140331789355
"9021019","2001-10-02",20.8725377520991,0.235294117647059,0.253265479219678,0.321287535633197,4.07977734081239,2.86488932585427,3.47233333333333,0.0837750801384816,37.4282252653008,3.4717,3.22385668150244,-5.83319309351716,-4.43976127301827
"9021018","2001-10-03",21.6257211501337,0.333333333333334,0.233333333333333,0.264332113684193,4.05128848187339,2.81712818479327,3.43420833333333,0.175184008958625,39.4399964372703,3.4432,3.19567579063545,-5.86076779123559,-4.72396257666174
"9021017","2001-10-04",21.360151119813,0.397674418604651,0.322100623195015,0.269566478582675,4.00927819469505,2.79380513863828,3.40154166666666,0.280709522651719,41.5449389922867,3.4122,3.17991901855072,-5.65851073682366,-4.91087220869412
"9021016","2001-10-05",20.7932305797005,0.435294117647059,0.388767289861681,0.314733748796676,3.95268579086485,2.78631420913514,3.3695,0.336815868703634,42.6998525165143,3.3832,3.17092981607729,-5.3499694862487,-4.99869166420504
"9021015","2001-10-08",20.0724763122617,0.567058823529412,0.466675786593707,0.392514566550134,3.88037578531278,2.80154088135388,3.34095833333333,0.448130772254415,47.1940760500196,3.3632,3.18180584060032,-4.69576724947146,-4.93810678125832
