"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"9082409","2020-02-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9082408","2020-02-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9082407","2020-02-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9082406","2020-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9082405","2020-02-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9082404","2020-02-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9082403","2020-02-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9082402","2020-02-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9082401","2020-02-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9082400","2020-02-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9082399","2020-02-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9082398","2020-02-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9082397","2020-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9082396","2020-02-28",NA,0.13695652173913,NA,NA,NA,NA,NA,NA,NA,NA,15.0935142857143,NA,NA
"9082395","2020-03-02",NA,0.595652173913044,NA,NA,NA,NA,NA,NA,51.6768876964354,NA,15.1877123809524,NA,NA
"9082394","2020-03-03",NA,0.508620689655172,0.413743128435782,NA,NA,NA,NA,NA,50.0416365297499,NA,15.2440173968254,NA,NA
"9082393","2020-03-04",NA,0.507893175074184,0.537388679547467,NA,NA,NA,NA,NA,54.3903510823871,NA,15.3636950772487,NA,NA
"9082392","2020-03-05",NA,0.593471810089021,0.536661891606126,0.495931233196458,NA,NA,NA,NA,56.5976488392825,NA,15.5058690669489,NA,NA
"9082391","2020-03-06",NA,0.425816023738872,0.509060336300692,0.527703635818095,NA,NA,NA,NA,51.3541890334774,NA,15.5537531913557,NA,NA
"9082390","2020-03-09",NA,0,0.339762611275964,0.461828279727594,16.7739209481733,14.4604657184934,15.6171933333333,0.290849637463293,40.234979489312,NA,15.3865860991749,NA,NA
"9082389","2020-03-10",NA,0.197142857142857,0.20765296029391,0.352158635956856,16.7595916643296,14.4478150023371,15.6037033333333,0.452344012373132,45.8063945832982,NA,15.3337079526183,NA,NA
"9082388","2020-03-11",NA,0,0.0657142857142856,0.20437661909472,16.8009217031493,14.259151630184,15.5300366666667,0.0383650108716976,39.8869016043901,NA,15.1518802256025,NA,NA
"9082387","2020-03-12",NA,0,0.0657142857142856,0.113027177240827,17.1626009537362,13.5921390462638,15.37737,-0.266671111732396,32.3412630416971,NA,14.7662961955222,NA,NA
"9082386","2020-03-13",NA,0,-7.40148683083438e-17,0.0438095238095238,17.351268971316,13.2018043620173,15.2765366666667,-0.0647001610960527,32.3027778069566,NA,14.4307900361192,NA,NA
"9082385","2020-03-16",NA,0,-7.40148683083438e-17,0.0219047619047619,17.763782924906,12.4407904084273,15.1022866666667,-0.185507883401491,27.4186910969773,14.791432,13.95468469797,NA,NA
"9082384","2020-03-17",NA,0,-7.40148683083438e-17,4.62592926927149e-18,18.09502889161,11.60721110839,14.85112,-0.131612477968335,25.9734615836323,14.583232,13.4787267382407,-9.39169283766454,NA
"9082383","2020-03-18",NA,0,-7.40148683083438e-17,4.62592926927149e-18,18.4881842013852,10.5063891319482,14.4972866666667,-0.160330158084573,20.8725292025747,14.292832,12.7935631731419,-11.747888817005,NA
"9082382","2020-03-19",28.0047902692443,0.00211416490486253,0.000704721634954104,0.000234907211651397,18.8139650658159,9.45727493418405,14.13562,-0.0873465854577263,21.0358610985223,14.004832,12.202421416723,-13.6200020412245,NA
"9082381","2020-03-20",29.0301828052345,0.0745243128964059,0.0255461592670894,0.00875029363401456,18.9051855098346,8.75688782349876,13.8310366666667,0.0587729615615888,26.6225153982997,13.788632,11.7814318944932,-14.6148325294114,NA
"9082380","2020-03-23",28.2989043764966,0.101479915433404,0.0593727977448907,0.0285412262156448,18.8533788168851,8.29769451644825,13.5755366666667,0.172321575602933,28.646338053529,13.575832,11.4505743085608,-15.1411044465617,NA
"9082379","2020-03-24",27.4654923004766,0.356164383561644,0.177389537297151,0.0874361647697105,18.7387737570221,8.10413290964456,13.4214533333333,0.330448434895228,42.9899706350038,13.418232,11.4518310674194,-13.9263601207348,NA
"9082378","2020-03-25",26.33684086444,0.368721461187215,0.275455253394087,0.170739196145376,18.5734987028965,7.95424129710351,13.26387,0.365131498502707,43.6116350449088,13.237432,11.4675869250968,-12.739587422902,NA
"9082377","2020-03-26",24.5000813067665,0.372340425531915,0.365742090093591,0.272862293594943,18.3973961211236,7.84839721220972,13.1228966666667,0.404297711844462,43.2423210863056,13.070632,11.4705753350839,-11.7191648014396,NA
"9082376","2020-03-27",22.9413496881211,0.453398034458251,0.398153307059127,0.346450216848935,18.1778138243894,7.80264617561059,12.99023,0.461102957851401,46.5909396218158,12.940232,11.5464986237394,-10.4061555735783,-12.5896431767247
"9082375","2020-03-30",23.3167312473999,0.55607476635514,0.460604408781768,0.408166601978162,17.9598104330316,7.86098290030175,12.9103966666667,0.644201888316272,52.4175467849902,12.873032,11.7536321405741,-8.53502511002293,-11.7787195633843
"9082374","2020-03-31",23.6652998381588,0.77803738317757,0.595836727996987,0.484864814612627,17.8792370612368,7.89222293876316,12.88573,0.761433160567111,60.6947525997532,12.895832,12.1864811884976,-5.72456336945485,-10.5678883245984
"9082373","2020-04-01",22.7222042713808,0.579439252336449,0.63785046728972,0.564763868022825,17.4613279352679,8.03835873139875,12.7498433333333,0.630194984912992,51.9817503210347,12.841832,12.3349503633646,-4.58531378096765,-9.37137341587227
"9082372","2020-04-02",22.1911529323809,0.668224299065421,0.675233644859813,0.636306946715507,17.1154434227083,8.19124324395838,12.6533433333333,0.729337825874874,55.0859406725254,12.826864,12.5649569815826,-3.16136701912734,-8.12937213652328
"9082371","2020-04-03",21.5535547287935,0.644859813084112,0.630841121495327,0.64797507788162,16.7824102633159,8.33429640335082,12.5583533333333,0.715256726350615,54.0948821849464,12.791464,12.7376293840383,-2.14510698819468,-6.93251910685756
"9082370","2020-04-06",20.9614992540337,0.646028037383178,0.65303738317757,0.65303738317757,16.6621205219637,8.37725281136963,12.5196866666667,0.722129477213025,54.1393098806578,12.714264,12.8886121328332,-1.32427493614879,-5.81087027271581
"9082369","2020-04-07",20.4076200057373,0.644613583138173,0.645167144535154,0.643015216402684,16.450591987926,8.46176134540736,12.4561766666667,0.721203420843771,54.1111108733603,12.644464,13.0187971817887,-0.67387335416238,-4.78347088900512
"9082368","2020-04-08",20.3111790441583,0.694462126034373,0.661701248851908,0.653301925521544,16.5304385414515,8.43291479188185,12.4816766666667,0.794533251616181,57.1627363374206,12.5788,13.2162908908836,0.221581292380657,-3.78246045272797
"9082367","2020-04-09",20.6891968921368,0.710526315789474,0.68320067498734,0.663356356124801,16.8402667399411,8.38575326005887,12.61301,0.813874556233319,58.1076653927375,12.5096,13.4141187720991,1.02873769189835,-2.8202208238027
"9082366","2020-04-13",20.9455062055643,0.577573529411765,0.66085399041187,0.668585304750373,17.0760061477101,8.36114718562321,12.7185766666667,0.76691080258664,57.4390665528266,12.45908,13.5725029358192,1.58177355241134,-1.9398219485599
"9082365","2020-04-14",21.8636820826301,0.661971830985915,0.650023892062384,0.664692852487198,17.4660888026205,8.41473119737947,12.94041,0.825872662272461,60.6621834429794,12.49708,13.7961692110433,2.36289657170718,-1.07927824450648
"9082364","2020-04-15",23.1734491794,0.812312312312312,0.683952557569997,0.664943480014751,18.0565468830922,8.48060645024116,13.2685766666667,0.922735503461644,67.4264875611589,12.57348,14.2100133162375,3.85787959819339,-0.0918466759665053
"9082363","2020-04-16",24.7204157373352,0.826086956521739,0.766790366606655,0.700255605413012,18.5731454162277,8.85534125043894,13.7142433333333,0.955427645089555,70.2327696689629,12.72428,14.6806782074059,5.38944949762155,1.0044125587511
"9082362","2020-04-17",26.3544418874764,0.813880126182966,0.817426465005672,0.756056463060775,18.940964795615,9.488855204385,14.21491,0.969569601420137,71.8495845063826,12.96428,15.1579211130851,6.73749691037,2.15102942907488
"9082361","2020-04-20",27.871751884036,0.824104234527687,0.82135710574413,0.801857979118819,19.2240950406718,10.1340582926615,14.6790766666667,0.935376677752844,72.1627183589182,13.20868,15.5848649646737,7.70664116870587,3.26215177700108
"9082360","2020-04-21",28.4453579493148,0.703583061889251,0.780522474199968,0.80643534831659,19.3380209494099,10.8152990505901,15.07666,0.851023225778095,66.2866394770885,13.47908,15.8562163027173,7.96594775244477,4.20291097208982
"9082359","2020-04-22",29.2949332882237,0.699130434782609,0.742272577066515,0.781384052336871,19.611958769462,11.2251945638713,15.4185766666667,0.862248171705456,67.2943230681339,13.77888,16.1260541290216,8.18451251222358,4.99923128011657
"9082358","2020-04-23",30.0838246743535,0.744695652173913,0.715803049615257,0.74619936696058,19.7779199781892,11.7085333551442,15.7432266666667,0.819905355957016,68.3218531297436,14.17096,16.3948469118187,8.36801060954877,5.67298714600301
"9082357","2020-04-24",31.1170985390879,0.66579634464752,0.703207477201347,0.720427701294373,19.8572120434789,12.2405746231878,16.0488933333333,0.78592319854056,64.5538162677674,14.54416,16.5675339902429,8.18322882085016,6.17503548097244
"9082356","2020-04-27",32.0765671277698,0.778938207136641,0.729810067986024,0.716273531600876,19.9690848700214,12.7343684633119,16.3517266666667,0.816751416066763,67.3430844554517,14.91596,16.8038627915438,8.24118763361441,6.58826591150084
"9082355","2020-04-28",32.517044255269,0.684931506849315,0.709888686211158,0.714302077132843,20.143733366597,12.955386633403,16.54956,0.746756785554384,64.4846554081211,15.26396,16.9633477526713,8.02018570314118,6.87464986982891
"9082354","2020-04-29",33.0331192944673,0.732428115015975,0.732099276333977,0.72393267684372,20.3653211453242,13.0404655213424,16.7028933333333,0.753989989087138,65.7286960581529,15.53636,17.1375680523152,7.87230716180551,7.07418132822423
