"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"9172989","2016-11-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9172988","2016-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9172987","2016-11-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9172986","2016-11-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9172985","2016-11-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9172984","2016-11-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9172983","2016-11-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9172982","2016-11-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9172981","2016-11-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9172980","2016-11-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9172979","2016-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9172978","2016-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9172977","2016-12-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9172976","2016-12-06",NA,0.215864759427828,NA,NA,NA,NA,NA,NA,NA,NA,13.0999285714286,NA,NA
"9172975","2016-12-07",NA,0.38722294654498,NA,NA,NA,NA,NA,NA,59.9388379204893,NA,12.9519380952381,NA,NA
"9172974","2016-12-08",NA,0.371248025276461,0.32477857708309,NA,NA,NA,NA,NA,61.9026776769475,NA,12.9196796825397,NA,NA
"9172973","2016-12-09",NA,0.547235387045814,0.435235452955752,NA,NA,NA,NA,NA,64.7795144496836,NA,13.0402557248677,NA,NA
"9172972","2016-12-12",NA,0.639336492890995,0.519273301737757,0.4264291105922,NA,NA,NA,NA,66.2172652552815,NA,13.2224882948854,NA,NA
"9172971","2016-12-13",NA,0.603633491311216,0.596735123749342,0.517081292814283,NA,NA,NA,NA,65.1077192086876,NA,13.3502898555673,NA,NA
"9172970","2016-12-14",NA,0.5,0.58098999473407,0.565666140073723,17.41878367585,9.79628299081668,13.6075333333333,0.533121238960645,61.8671997572227,NA,13.3735845414917,NA,NA
"9172969","2016-12-15",NA,0.511848341232227,0.538493944181148,0.572073020888186,17.0908242604513,10.5732424062153,13.8320333333333,0.493550777838561,62.0994572255519,NA,13.4037732692928,NA,NA
"9172968","2016-12-16",NA,0.530805687203792,0.514218009478673,0.544567316131297,17.0031425172241,10.9215908161092,13.9623666666667,0.48700441314692,62.4930861345718,NA,13.4459368333871,NA,NA
"9172967","2016-12-19",NA,0.548183254344392,0.530279094260137,0.527663682639986,17.0202637468328,10.9571362531672,13.9887,0.497465554421753,62.8737301416167,NA,13.4971452556021,NA,NA
"9172966","2016-12-20",NA,0.503949447077409,0.527646129541864,0.524047744426891,17.005398018445,10.9383353148883,13.9718666666667,0.459035641219327,61.1719249583259,NA,13.5041925548552,NA,NA
"9172965","2016-12-21",NA,0.584051724137931,0.545394808519911,0.53444001077397,16.8309796841591,10.8977536491742,13.8643666666667,0.406565726065738,58.260646133341,13.27224,13.4463002142078,NA,NA
"9172964","2016-12-22",NA,0.480603448275862,0.522868206497067,0.531969714852947,16.5421643255994,10.8752356744006,13.7087,0.348471711423726,55.4202132584971,13.41584,13.3321268523134,0.221113164738318,NA
"9172963","2016-12-23",NA,0.610599078341014,0.558418083584935,0.542227032867304,16.2185805808558,10.9561527524776,13.5873666666667,0.497333296761304,58.6748297972728,13.58744,13.3291766053383,0.225558082888822,NA
"9172962","2016-12-27",23.5720096416572,0.576079734219269,0.555760753612048,0.545682347898017,15.9726069679446,11.0337930320554,13.5032,0.586282524279102,60.4622486500495,13.6164,13.3818197246265,0.474512898531243,NA
"9172961","2016-12-28",23.224046511356,0.489626556016597,0.558768456192293,0.557649097796425,15.6307119076513,11.1750214256821,13.4028666666667,0.603343503892387,60.6658234049539,13.6048,13.4335770946763,0.690377775326212,NA
"9172960","2016-12-29",22.9084903960491,0.502074688796681,0.522593659677516,0.545707623160619,15.4304346700239,11.2476319966428,13.3390333333333,0.630924974495785,60.8075536160776,13.5384,13.4824334820528,0.868291070416927,NA
"9172959","2016-12-30",22.5564584392474,0.481327800829876,0.491009681881051,0.52412393258362,15.4224581738837,11.2479418261163,13.3352,0.626513657951244,60.416817416645,13.4528,13.5181090177791,0.967252728547696,NA
"9172958","2017-01-03",22.8283324667138,0.643153526970955,0.542185338865837,0.518596226808134,15.4547165366257,11.4880167967076,13.4713666666667,0.728224987863255,62.4439639802324,13.3784,13.6010278154086,1.26238912137118,NA
