"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"9228240","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9228239","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9228238","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9228237","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9228236","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9228235","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9228234","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9228233","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9228232","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9228231","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9228230","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9228229","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9228228","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9228227","2001-08-17",NA,0.0366300366300365,NA,NA,NA,NA,NA,NA,NA,NA,10.9678571428571,NA,NA
"9228226","2001-08-20",NA,0.00373134328358201,NA,NA,NA,NA,NA,NA,12.6279863481229,NA,10.8068095238095,NA,NA
"9228225","2001-08-21",NA,0.0386100386100385,0.0263238061745523,NA,NA,NA,NA,NA,15.425667090216,NA,10.6792349206349,NA,NA
"9228224","2001-08-22",NA,0.383636363636364,0.141992581843328,NA,NA,NA,NA,NA,52.2214000949741,NA,10.8366702645503,NA,NA
"9228223","2001-08-23",NA,0.9,0.440748800748801,0.203021729588894,NA,NA,NA,NA,71.2525537207782,NA,11.3517808959436,NA,NA
"9228222","2001-08-24",NA,0.796992481203008,0.69354294827979,0.42542811029064,NA,NA,NA,NA,72.6959739047633,NA,11.8448767764844,NA,NA
"9228221","2001-08-27",NA,0.927819548872181,0.874937343358396,0.669743030795662,15.3483274429515,8.18033922371516,11.7643333333333,1.09928483910431,75.931063386831,NA,12.3882265396198,NA,NA
"9228220","2001-08-28",NA,0.795918367346939,0.840243465807376,0.802907919148521,16.0152196386672,7.91078036133282,11.963,1.01046097804322,72.5271715048071,NA,12.8164630010039,NA,NA
"9228219","2001-08-29",NA,0.829931972789115,0.851223296336078,0.855468035167283,16.6123427598037,7.71599057352966,12.1641666666667,0.949903501591964,73.5256889478811,NA,13.22093460087,NA,NA
"9228218","2001-08-30",NA,0.829931972789115,0.81859410430839,0.836686955483948,17.1331076645065,7.60055900216019,12.3668333333333,0.891623142865531,73.5256889478811,NA,13.5714766540873,NA,NA
"9228217","2001-08-31",NA,0.858503401360544,0.839455782312925,0.836424394319131,17.6427647823541,7.53356855097922,12.5881666666667,0.866184734038926,74.4310339335626,NA,13.9032797668757,NA,NA
"9228216","2001-09-04",NA,0.8125,0.833645124716553,0.830565003779289,18.1873888462213,7.48161115377874,12.8345,0.865737091922248,75.2555263091222,12.412,14.2161757979589,NA,NA
"9228215","2001-09-05",NA,0.926060606060606,0.865688002473716,0.846262969834398,18.8365911063658,7.40907556030087,13.1228333333333,0.891204893310289,79.5222266515254,12.6296,14.6393523582311,18.3956262104506,NA
"9228214","2001-09-06",NA,0.879372738238842,0.872644448099816,0.857325858430028,19.364196929649,7.48680307035102,13.4255,0.833224054049115,75.3491985601935,12.8316,14.9607720438003,17.9118131075738,NA
"9228213","2001-09-07",59.9340803143249,0.873341375150784,0.89292490648341,0.877085785685647,19.7801804998874,7.71781950011258,13.749,0.790241686521018,74.7281539448179,13.0356,15.2326691046269,17.2627147086351,NA
