"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"9284215","2017-05-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9284214","2017-05-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9284213","2017-05-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9284212","2017-05-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9284211","2017-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9284210","2017-05-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9284209","2017-05-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9284208","2017-05-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9284207","2017-05-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9284206","2017-05-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9284205","2017-05-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9284204","2017-05-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9284203","2017-05-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9284202","2017-06-01",NA,0.715492957746478,NA,NA,NA,NA,NA,NA,NA,NA,22.1582142857143,NA,NA
"9284201","2017-06-02",NA,0.565836298932385,NA,NA,NA,NA,NA,NA,73.7270875763748,NA,22.217119047619,NA,NA
"9284200","2017-06-05",NA,0.116279069767442,0.465869442148768,NA,NA,NA,NA,NA,64.1581458759373,NA,22.1775031746032,NA,NA
"9284199","2017-06-06",NA,0.0744186046511612,0.252177991116996,NA,NA,NA,NA,NA,62.9928232374715,NA,22.1311694179894,NA,NA
"9284198","2017-06-07",NA,0,0.0635658914728677,0.260537774912877,NA,NA,NA,NA,59.6236124241036,NA,22.0563468289242,NA,NA
"9284197","2017-06-08",NA,0.0177777777777774,0.0307321274763128,0.115492003355392,NA,NA,NA,NA,59.9782659979592,NA,21.9968339184009,NA,NA
"9284196","2017-06-09",NA,0.0488888888888886,0.022222222222222,0.0388400803904675,23.5925096883031,21.1410903116969,22.3668,0.374848015428209,60.6299920984032,NA,21.9545893959475,NA,NA
"9284195","2017-06-12",NA,0.142222222222222,0.0696296296296294,0.0408613264427214,23.3835036137776,21.5340963862224,22.4588,0.497044097922181,62.5977552287629,NA,21.9459774764878,NA,NA
"9284194","2017-06-13",NA,0.460674157303371,0.217261756138161,0.103037869330004,23.4159612412339,21.6856387587661,22.5508,0.921424334127613,69.671706611576,NA,22.0598471462894,NA,NA
"9284193","2017-06-14",NA,0.367041198501873,0.323312526009155,0.203401303925649,23.4513415938159,21.7269250728507,22.5891333333333,0.701536768586984,65.9797356735662,NA,22.1252008601175,NA,NA
"9284192","2017-06-15",NA,0.402684563758389,0.410133306521211,0.316902529556176,23.5325008753163,21.7870991246837,22.6598,0.903078164140934,67.6065086131149,NA,22.2111740787685,NA,NA
"9284191","2017-06-16",NA,0.47986577181208,0.416530511357447,0.383325447962605,23.6178518422499,21.7820814910834,22.6999666666667,0.845014106074972,69.2613771566072,22.1774,22.316350868266,NA,NA
"9284190","2017-06-19",NA,0.661073825503355,0.514541387024608,0.447068401634422,23.7810047081024,21.7242619585642,22.7526333333333,0.991408077275078,72.7776456677676,22.3082,22.4795040858306,1.4217087014893,NA
"9284189","2017-06-20",NA,0.214765100671141,0.451901565995526,0.460991154792527,23.7811447627674,21.7244552372326,22.7528,0.480810586052653,55.8360331001932,22.3562,22.4435702077198,1.19595519528808,NA
"9284188","2017-06-21",29.6302682011603,0,0.291946308724832,0.419463087248322,23.8640952217377,21.4780047782623,22.67105,-0.0599326729853633,43.0230996744044,22.2994,22.2017608466905,0.440704110833212,NA
"9284187","2017-06-22",28.7878736540052,0,0.0715883668903803,0.271812080536913,24.0779142843703,20.973419048963,22.5256666666667,-0.217991116423005,38.6684711955502,22.229,21.8961927337985,-0.423955362071393,NA
"9284186","2017-06-23",27.9627558116105,0.071120689655172,0.0237068965517239,0.129080524055645,24.1830199189027,20.6398134144306,22.4114166666667,-0.0314630493471308,41.5867508190677,22.1594,21.6753670359587,-0.984854363149013,NA
"9284185","2017-06-26",27.3412636298005,0.0366379310344824,0.0359195402298847,0.0437382678906631,24.2696665732792,20.3285000933875,22.2990833333333,0.018987586626367,40.5785877898993,22.0698,21.4626514311642,-1.47838537594696,NA
"9284184","2017-06-27",26.0212169867071,0.109913793103449,0.0725574712643676,0.0440613026819922,24.254271476924,20.1438951897427,22.1990833333333,0.165298283203308,43.7018845593796,21.9858,21.3236312403423,-1.72607952450011,NA
"9284183","2017-06-28",24.7828880705923,0.265086206896552,0.137212643678161,0.0818965517241378,24.1906076300719,20.0542257032614,22.1224166666667,0.302786586337059,49.7279660751456,21.9254,21.2991470749633,-1.63204154379405,NA
"9284182","2017-06-29",23.7446312968608,0.24353448275862,0.20617816091954,0.138649425287356,24.0938175179909,19.9698491486758,22.0318333333333,0.29990955488252,48.9443632116423,21.8466,21.2645941316349,-1.57747229606183,-0.529380050879196
"9284181","2017-06-30",22.5005980465867,0.286637931034482,0.265086206896551,0.202825670498084,24.0140658675705,19.9136007990962,21.9638333333333,0.364121103981512,50.6203030222842,21.8038,21.2613149140836,-1.44172956394912,-0.711849953493182
"9284180","2017-07-03",21.2932703583209,0.318965517241379,0.283045977011494,0.251436781609195,23.9859796310351,19.8893537022982,21.9376666666667,0.448494198965086,51.8956976617898,21.7652,21.2784729255391,-1.26258503379671,-0.821996969553888
"9284179","2017-07-05",20.1844987151708,0.398706896551724,0.334770114942529,0.294300766283525,23.9769844190504,19.8836822476163,21.9303333333333,0.511319304413117,54.9842555914892,21.732,21.3426765354672,-0.969201931847796,-0.85143796201267
"9284178","2017-07-06",19.4292880274051,0.22906976744186,0.315580727078321,0.311132273010781,23.9638065679983,19.812526765335,21.8881666666667,0.318168524114163,47.3329663434854,21.661,21.2829863307382,-1.05216736485935,-0.891583842582005
"9284177","2017-07-07",19.076377721633,0.155813953488372,0.261196872493985,0.303849238171612,23.9712264114253,19.7127735885747,21.842,0.253744679044094,44.8835500616917,21.5718,21.1892548199731,-1.22435393976141,-0.958137862017887
"9284176","2017-07-10",18.3744132776892,0.167979002624672,0.184287574518301,0.253688391363536,23.9505398569339,19.613460143066,21.782,0.287414559835761,44.6465859825467,21.4898,21.1040208439767,-1.35795978910247,-1.0381022474348
"9284175","2017-07-11",17.2763005619483,0.391534391534391,0.238442449215812,0.227975632076033,23.8795014879797,19.567165178687,21.7233333333333,0.397194165404497,49.1739265321006,21.4538,21.0928180647798,-1.27003736404928,-1.0844892707577
"9284174","2017-07-12",16.5206017251388,0.728,0.429171131386354,0.283967051706823,23.6944071668285,19.6175928331715,21.656,0.568026971707726,55.1426024649581,21.4498,21.1777756561425,-0.918470684237815,-1.05128555345372
"9284173","2017-07-13",15.8188813766728,0.763948497854077,0.627827629796156,0.431813736799441,23.5686655540434,19.6490011126233,21.6088333333333,0.598095131801816,56.1578066508184,21.4614,21.2687389019902,-0.584367709952482,-0.957901984753474
"9284172","2017-07-14",15.2074678567864,0.819742489270386,0.770563662374821,0.609187474519111,23.349433492216,19.7408998411174,21.5451666666667,0.650984689630775,57.2009362716534,21.4766,21.3649070483915,-0.268169639395877,-0.819955515681955
"9284171","2017-07-17",15.6485494860916,0.556666666666666,0.713452551263709,0.703947947811562,23.1457622653957,19.8434377346043,21.4946,0.750550783935737,56.4554019485366,21.48632,21.4393194419393,-0.0432048033530696,-0.664605373216178
"9284170","2017-07-18",16.1562448869951,0.849624060150375,0.742011072029142,0.742009095222558,22.9061661063557,20.0010338936443,21.4536,1.01279364388823,63.27898765831,21.52312,21.6220768496807,0.460672187966304,-0.439549860979681
"9284169","2017-07-19",16.859736321542,0.853658536585365,0.753316421134135,0.736260014808996,23.0110099026054,19.9388567640613,21.4749333333333,1.04198687095908,64.5600951664808,21.53112,21.80579993639,0.91581125494371,-0.168477637795003
"9284168","2017-07-20",17.731549275409,0.798045602605863,0.833776066447201,0.776367853203493,23.2774238220018,19.8596095113316,21.5685166666667,0.979297542551035,64.5600951664808,21.54912,21.965026611538,1.25802421023999,0.116822731811996
"9284167","2017-07-21",18.185819216782,0.722929936305732,0.79154469183232,0.792879059804552,23.4391916888045,19.9791749778622,21.7091833333333,0.904858352919678,62.1767485408307,21.55112,22.0790230633329,1.44393215752219,0.382244616954035
"9284166","2017-07-24",18.3884014322087,0.687898089171974,0.73629120936119,0.78720398921357,23.5353309158006,20.1158690841994,21.8256,0.801528929826903,60.7019571140983,21.53952,22.1631533215552,1.53199903438381,0.61219550043999
"9284165","2017-07-25",19.0860204300877,0.777070063694267,0.729299363057324,0.752378421416945,23.6402592206034,20.2886074460633,21.9644333333333,0.862676897373522,63.1011515172723,21.51752,22.2733995453478,1.6826386373195,0.826284127815892
"9284164","2017-07-26",19.0320189082725,0.665605095541401,0.710191082802547,0.725260551740354,23.7146009952668,20.4279323380666,22.0712666666667,0.770405515745055,58.3090584649928,21.53472,22.3222796059681,1.65527295135366,0.992081892523446
"9284163","2017-07-27",18.9818746380155,0.699044585987261,0.713906581740976,0.717799009200283,23.7946540344128,20.5085459655873,22.1516,0.731804103023789,59.3074677525119,21.61932,22.3786423251724,1.65193013014551,1.12405154004786
"9284162","2017-07-28",18.9353121013483,0.696629213483145,0.687092965003936,0.703730209849153,23.8629160651225,20.6189506015442,22.2409333333333,0.731938350900334,60.61346958731,21.73812,22.4454900151494,1.67786627469368,1.23481448697702
"9284161","2017-07-31",18.9079914553598,0.60204081632653,0.665904871932312,0.688968139559075,23.9295562294109,20.7133104372558,22.3214333333333,0.716162998185368,60.913680186669,21.84492,22.5074246797961,1.68898985405397,1.32564956039241
"9284160","2017-08-01",17.7602886524373,0.289617486338798,0.529429172049491,0.627475669661913,23.9530313115613,20.7765020217721,22.3647666666667,0.571954843105453,53.3263814564303,21.93732,22.4917680558233,1.49407716527952,1.35933508136983
"9284159","2017-08-02",16.9336729462412,0.326542161856254,0.406066821507194,0.533800288496332,23.986021511168,20.8168451554987,22.4014333333333,0.597364940298975,54.6142337096535,22.02052,22.4928656483802,1.36336917502062,1.36014190009999
"9284158","2017-08-03",17.4953409689021,0.500000000000001,0.372053216065018,0.435849736540568,24.0284838755588,20.9916161244412,22.51005,0.761985944687212,59.630676577141,22.09332,22.5551502285962,1.40813299853768,1.36974011978753
"9284157","2017-08-04",18.1245437856162,0.532544378698225,0.453028846851493,0.410382961474568,24.0110357792525,21.2850642207475,22.64805,0.832095663474139,62.8066865651585,22.18332,22.6531301981167,1.54268397441846,1.40432889071371
"9284156","2017-08-07",19.042157468693,0.692307692307692,0.574950690335306,0.466677584417272,24.0092238211395,21.5948761788605,22.80205,0.971328146813967,66.6587666462763,22.28332,22.7980461717011,1.78652741639322,1.48076859584962
"9284155","2017-08-08",19.8697529217462,0.687179487179487,0.637343852728468,0.555107796638422,24.0168862629487,21.8508804037179,22.9338833333333,0.953730690129495,66.4939561832171,22.37692,22.922306682141,1.95102364759119,1.57481960619793
"9284154","2017-08-09",20.0242764267191,0.558974358974359,0.646153846153846,0.619482796405873,24.0466716272784,21.9952283727216,23.02095,0.818661832451167,62.3439699889778,22.44572,22.9966657911889,1.96914394450707,1.65368447385976
"9284153","2017-08-10",18.8847100068984,0.0666666666666662,0.437606837606838,0.573701512163051,23.9800078102452,22.1435588564215,23.0617833333333,0.362896633849198,49.5542439625328,22.51072,22.9331103523637,1.62768759806193,1.64848509870019
"9284152","2017-08-11",18.1996644295745,0,0.208547008547008,0.430769230769231,23.9291621486613,22.2344045180054,23.0817833333333,0.150815359890558,46.9605164786665,22.57872,22.8460289720485,1.25783813179661,1.57035570531948
"9284151","2017-08-14",17.0636461843415,0,0.022222222222222,0.222792022792023,23.9088895935813,22.2728104064187,23.09085,0.14089961459287,45.6732741198505,22.64312,22.7545584424421,0.911247515439406,1.43853406734346
"9284150","2017-08-15",16.0087720994823,0.178899082568808,0.0596330275229358,0.0968007527640555,23.9154332359554,22.2352667640446,23.07535,0.23692090988819,50.429063631074,22.70432,22.7272839834498,0.765814047639579,1.30399006340269
"9284149","2017-08-16",14.8960577011427,0.197247706422018,0.125382262996942,0.0690791709140334,23.9089942716149,22.1960390617185,23.0525166666667,0.284475781269448,50.903783258165,22.73872,22.7089794523231,0.65719334143457,1.17463071900906
"9284148","2017-08-17",14.9017186993158,0,0.125382262996942,0.103465851172273,23.9250448661137,22.0849884672196,23.0050166666667,0.0933005094573288,43.9858332985143,22.74352,22.6117821920134,0.349685525607502,1.00964168032875
"9284147","2017-08-18",15.2330396440537,0,0.065749235474006,0.105504587155963,23.9807690270714,21.9082643062619,22.9445166666667,-0.00398759345584626,41.7804793441837,22.73432,22.4982112330783,0.0259267494611137,0.812898694155223
"9284146","2017-08-21",14.182061231071,0.145348837209302,0.0484496124031008,0.0798603702913497,23.9849480624388,21.8574186042278,22.9211833333333,0.250328564766382,46.6871886967171,22.7428,22.4497830686678,-0.0956636698238977,0.631186221359399
"9284145","2017-08-22",13.20615270473,0.248062015503875,0.131136950904392,0.0817785995938332,23.9582265467266,21.82114011994,22.8896833333333,0.341053066887847,49.9005110375911,22.7264,22.4431453261788,-0.0956727389010092,0.485814429307317
"9284144","2017-08-23",12.6007484097353,0.31782945736434,0.237080103359172,0.138888888888889,23.9486735805823,21.8088597527511,22.8787666666667,0.435929005497192,52.0160919490727,22.7096,22.4613926160216,-0.0305719429168239,0.382537154862489
"9284143","2017-08-24",12.0385872786688,0.339147286821706,0.301679586563307,0.223298880275624,23.9418195044279,21.7993804955721,22.8706,0.443709015985281,52.6737099203426,22.695,22.4845402672187,0.0402658729777627,0.314082898485544
"9284142","2017-08-25",11.6296965677966,0.375494071146245,0.344156938444097,0.294305542788859,23.9318446193753,21.7920220472914,22.8619333333333,0.480403359661497,53.6074153471112,22.6906,22.5146015649229,0.121827575893585,0.275631833967152
"9284141","2017-08-28",11.3093771699373,0.427517361111111,0.380719573026354,0.342185366011253,23.9213198003951,21.7862135329383,22.8537666666667,0.499797043669467,54.062888277957,22.692,22.5453213562665,0.196615003639611,0.259828467901644
"9284140","2017-08-29",11.236409922496,0.56441717791411,0.455809536723822,0.393562016064758,23.9273164057468,21.8055502609199,22.8664333333333,0.490683861784264,53.0217743523755,22.6796,22.5632785087643,0.229870891814032,0.253836952684122
"9284139","2017-08-30",11.4332788497054,0.729032258064517,0.573655599029912,0.470061569593363,23.9430489218793,21.8218177447874,22.8824333333333,0.569566517907286,55.9717667173019,22.6896,22.6068413742624,0.327400516833753,0.268549665514048
"9284138","2017-08-31",12.5438854371364,0.739130434782609,0.677526623587078,0.568997253113604,23.9666876382306,21.8146123617694,22.89065,0.769205267277013,60.9958874097979,22.7114,22.6979291910274,0.540529908871612,0.322945714185561
"9284137","2017-09-01",13.7638362688222,0.872146118721462,0.780102937189529,0.67709505326884,24.0065464894502,21.7957535105498,22.90115,0.889988271883393,65.0733839691964,22.743,22.8275386322238,0.833197904129857,0.42499615217442
"9284136","2017-09-05",13.1227797556066,0.538812785388128,0.716696446297399,0.724775335691336,23.8793877740012,21.8539122259988,22.86665,0.689264195451812,53.5021782964706,22.7442,22.8425334812606,0.79699859193505,0.499396640126546
"9284135","2017-09-06",12.4854405015712,0.529680365296804,0.646879756468798,0.714559713318576,23.7265763693204,21.9260569640129,22.8263166666667,0.657556387616313,53.2229458067171,22.7654,22.8528623504259,0.752536401065185,0.550024592314274
"9284134","2017-09-07",12.2657367915712,0.648401826484018,0.572298325722983,0.645291509496394,23.6582119998038,21.9616213335296,22.8099166666667,0.816369770664073,56.4080853553632,22.7926,22.8964807037024,0.799680565331973,0.599955786917814
"9284133","2017-09-08",12.5246638794495,0.752066115702479,0.6433827691611,0.620853617117627,23.7743927364305,21.9287739302362,22.8515833333333,0.928988910029926,60.0166621842097,22.8142,22.9769499432088,0.938321284069965,0.667628886348244
"9284132","2017-09-11",13.5252108918144,0.720000000000001,0.706822647395499,0.640834580759861,23.9666745424695,21.8901587908638,22.9284166666667,1.02889076288044,63.476210969439,22.8362,23.0920232841143,1.15284093405668,0.76467129588993
"9284131","2017-09-12",15.2863528071766,0.522267206477733,0.664777774060071,0.67166106353889,24.1857176330564,21.8471157002769,23.0164166666667,1.03318893189516,63.7740538144558,22.8414,23.195753512899,1.31648168043337,0.875033372798618
"9284130","2017-09-13",16.9216988714415,0.780538302277432,0.674268502918388,0.681956308124653,24.4603102498174,21.770523083516,23.1154166666667,1.05689040584068,69.5651334060175,22.873,23.3723197111792,1.6501326135973,1.03005322095835
"9284129","2017-09-14",18.7535864711873,0.790794979079498,0.697866829278221,0.678971035418893,24.7197251292798,21.7164415373869,23.2180833333333,1.00564100487633,69.9629097815762,22.9166,23.5320104163553,1.90602907274964,1.20524839131661
"9284128","2017-09-15",20.5565318250654,0.838709677419355,0.803347652925428,0.725160995040679,24.9504903398643,21.7493429934691,23.3499166666667,0.98214483735173,71.4878933714413,23.0062,23.6957423608412,2.14555252733037,1.39330921851936
"9284127","2017-09-18",23.0299737236008,0.750000000000001,0.793168218832951,0.764794233678867,25.2286811867758,21.8258188132242,23.52725,1.06405944641932,74.4968509167513,23.1218,23.8923100460624,2.44210954193063,1.60306928320162
"9284126","2017-09-19",25.4678315785042,0.817629179331307,0.80211295225022,0.7995429413362,25.577243574393,21.816256425607,23.69675,1.05391042765792,77.099504228401,23.2586,24.1173353732541,2.77731041620297,1.83791750980189
"9284125","2017-09-20",27.731556729486,0.831288343558282,0.799639174296529,0.798306781793234,25.8642448712559,21.8509217954108,23.8575833333333,0.975686431731216,77.4023741578326,23.3818,24.3190239901535,3.01877743353638,2.07408949454879
"9284124","2017-09-21",29.8764287066883,0.877300613496933,0.84207271212884,0.81460827955853,26.1359088603929,21.8934244729404,24.0146666666667,0.940465184077853,78.3283694902614,23.5094,24.5138207914664,3.21734688902013,2.30274097344306
"9284123","2017-09-22",32.047779382261,0.822485207100591,0.843691388051935,0.828467758159101,26.3611078363751,21.9832254969583,24.1721666666667,0.894673314487362,76.5272379385579,23.6582,24.6719780192709,3.30598148809567,2.50338907637358
"9284122","2017-09-25",34.3415781718574,0.894243641231593,0.864676487276372,0.850146862485716,26.6493279359808,22.0521720640192,24.35075,0.943952026755143,79.9949886766663,23.8382,24.8837142833681,3.51351424762283,2.70541411062343
"9284121","2017-09-26",36.5345118227183,0.848314606741573,0.855014485024585,0.854460786784297,26.8795727653559,22.1745939013108,24.5270833333333,0.893820401793181,78.6542207393588,24.0008,25.0592190455857,3.61180391180385,2.88669207085951
"9284120","2017-09-27",38.8100661632844,0.756983240223464,0.833180496065543,0.850957156122167,27.0792347717032,22.3402652282968,24.70975,0.877771999503749,78.7182431091207,24.1532,25.2126565061743,3.64700995456171,3.03875564759995
"9284119","2017-09-28",41.1729298186879,0.879452054794521,0.828249967253186,0.838814982781105,27.3906297658824,22.4455369007843,24.9180833333333,0.96077665182292,83.2601256170742,24.332,25.4576356386844,3.89247216688857,3.20949895145768
"9284118","2017-09-29",43.4562494975745,0.915343915343915,0.850593070120633,0.837341177813121,27.7251337364157,22.5076995969176,25.1164166666667,0.944710932225243,84.4513269681588,24.5198,25.7072842201931,4.12011246079953,3.39162165332605
"9284117","2017-10-02",45.679653444124,0.813253012048192,0.869349660728876,0.849397566034232,28.0148160581656,22.5843506085011,25.2995833333333,0.891694478686857,81.9831465493576,24.7002,25.9089796575007,4.21088174238078,3.55547367113699
"9284116","2017-10-03",47.8031385090929,0.887573964497042,0.872056963963049,0.863999898270853,28.2575708185815,22.7862625147518,25.5219166666667,0.897482627414318,83.6232051837554,24.8932,26.1304490365006,4.33554166364931,3.71148726963946
"9284115","2017-10-04",47.3386804419768,0.642633228840125,0.781153401795119,0.840853342162348,28.297802065296,23.1423646013707,25.7200833333333,0.762489848721712,68.9466584201172,25.0584,26.2210558316339,4.14874263668099,3.79893834304776
"9284114","2017-10-05",46.716416559562,0.564748201438848,0.698318464925338,0.783842943561169,28.2767407206206,23.5170926127127,25.8969166666667,0.707245713192072,67.766924729745,25.2124,26.290248387416,3.93275603901078,3.82570188224037
"9284113","2017-10-06",45.4919601892253,0.388185654008439,0.53185569476247,0.670442520494309,28.2046472073403,23.886186125993,26.0454166666667,0.631509038976793,63.7399372772372,25.3408,26.3182152690939,3.64553205749216,3.78966791729073
"9284112","2017-10-09",43.6694044063004,0.257327586206897,0.403420480551394,0.544531546746401,28.1201770960087,24.2114562373247,26.1658166666667,0.568782092587322,59.414861912642,25.44308,26.3060532332147,3.29634562754764,3.69100345934211
"9284111","2017-10-10",42.6282012070153,0.480000000000001,0.375171080071779,0.436815751795215,28.0739715928704,24.5263284071296,26.30015,0.683177948281822,64.647800675486,25.59668,26.3692461354527,3.15248082408777,3.58329893229124
"9284110","2017-10-11",41.6357307823192,0.475555555555556,0.404294380587484,0.394295313736886,28.0199576747522,24.8033423252479,26.41165,0.634204213568729,64.4858798138575,25.75068,26.422679984059,3.00014306220353,3.4666677582737
"9284109","2017-10-12",40.2687410266177,0.22857142857143,0.394708994708995,0.391391485122753,27.9274076895937,25.0948923104063,26.51115,0.576086671320558,61.6585531697454,25.88748,26.4463226528512,2.79492934965753,3.33232007655046
"9284108","2017-10-13",39.437397312112,0.18857142857143,0.297566137566138,0.365523170954206,27.8137540335859,25.3965459664142,26.60515,0.569577516150734,60.4826382909768,26.00868,26.457479632471,2.58108849180398,3.18207375960117
"9284107","2017-10-16",38.6654352914996,0.350574712643678,0.255905856595512,0.316060329623548,27.7692588673253,25.5877077993413,26.6784833333333,0.607652762956872,63.5814148802128,26.12788,26.5058156814749,2.47131660288857,3.03992232825865
"9284106","2017-10-17",38.1415084722876,0.320951828206617,0.286699323140575,0.280057105767408,27.7494770409758,25.7221562923576,26.7358166666667,0.594139025672221,62.8493496355401,26.24428,26.5423735906116,2.34471006778332,2.90087987616358
"9284105","2017-10-18",37.1430298785506,0.22228670922809,0.297937750026128,0.280180976587405,27.7009001662856,25.8783998337144,26.78965,0.529455870253582,59.7031212107555,26.32788,26.5513904451967,2.16751691151897,2.75420728323466
"9284104","2017-10-19",34.8864793477284,0,0.181079512478235,0.255238861881646,27.6554327464833,25.96420058685,26.8098166666667,0.190669316438823,51.3914843210353,26.38908,26.4912050525038,1.8506809421073,2.57350201500919
"9284103","2017-10-20",33.096897343217,0.162162162162161,0.12814962379675,0.202388962100371,27.5902366824297,26.0930633175703,26.84165,0.296293909248126,55.3309056770458,26.45468,26.4790443788366,1.67182669716286,2.39316695143992
"9284102","2017-10-23",30.9557492766226,0.0666666666666653,0.076276276276275,0.128501804183754,27.5925773561441,26.0875559771893,26.8400666666667,0.181023357289411,52.288483050183,26.49588,26.4418384616584,1.45238971084702,2.20501150332134
"9284101","2017-10-24",29.1233360694078,0.264462809917356,0.164430546248727,0.122952148773917,27.5844135556319,26.1107197777014,26.8475666666667,0.284509732332164,55.2062244738421,26.52948,26.4389266667706,1.3303929714213,2.03008779694134
"9284100","2017-10-25",27.0503238222362,0.140495867768594,0.157208448117538,0.132638423547514,27.5877104809641,26.1010895190359,26.8444,0.225731478449971,52.8338193942633,26.55508,26.4164031112012,1.17436803433097,1.85894384441926
"9284099","2017-10-26",28.6155404783403,0.44213649851632,0.28236505873409,0.201334684366785,27.8408688102265,25.9499311897735,26.8954,1.19873625252119,66.4835965975383,26.62748,26.5728826963744,1.4363567939494,1.77442643432529
"9284098","2017-10-27",30.7558166641771,0.668859649122807,0.417164005135907,0.285579170662512,28.5252529162661,25.4872137504005,27.0062333333333,1.37131858922095,75.5055092540926,26.76548,26.9164983368578,2.08630149588507,1.83680144663725
"9284097","2017-10-30",32.1052979551708,0.592105263157895,0.567700470265673,0.42240984471189,28.9262757628688,25.2778575704645,27.1020666666667,1.11431188763744,70.8946406709743,26.86708,27.1676318919434,2.45915866029351,1.9612728893685
