"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"9321000","2011-07-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9320999","2011-07-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9320998","2011-07-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9320997","2011-07-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9320996","2011-07-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9320995","2011-07-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9320994","2011-07-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9320993","2011-07-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9320992","2011-07-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9320991","2011-07-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9320990","2011-07-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9320989","2011-07-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9320988","2011-07-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9320987","2011-07-27",NA,0.0555555555555545,NA,NA,NA,NA,NA,NA,NA,NA,11.5492857142857,NA,NA
"9320986","2011-07-28",NA,0,NA,NA,NA,NA,NA,NA,48.8888888888889,NA,11.5307142857143,NA,NA
"9320985","2011-07-29",NA,0,0.0185185185185182,NA,NA,NA,NA,NA,48.8888888888889,NA,11.514619047619,NA,NA
"9320984","2011-08-01",NA,0.0263157894736837,0.00877192982456124,NA,NA,NA,NA,NA,49.5391405945736,NA,11.5020031746032,NA,NA
"9320983","2011-08-02",NA,0,0.00877192982456124,0.0120207927225469,NA,NA,NA,NA,46.9652645630379,NA,11.4857360846561,NA,NA
"9320982","2011-08-03",NA,0,0.00877192982456124,0.00877192982456124,NA,NA,NA,NA,43.8951776862233,NA,11.4649712733686,NA,NA
"9320981","2011-08-04",NA,0,1.15648231731787e-18,0.00584795321637416,11.771662162121,11.278337837879,11.525,-0.219607735834674,31.483518037221,NA,11.4096417702528,NA,NA
"9320980","2011-08-05",NA,0,1.15648231731787e-18,0.00292397660818708,11.8422185495522,11.1531147837811,11.4976666666667,-0.260891696400123,27.3234264280428,NA,11.3430228675524,NA,NA
"9320979","2011-08-08",NA,0,1.15648231731787e-18,1.73472347597681e-18,11.9002747709127,11.012391895754,11.4563333333333,-0.209177622728844,23.5014278717942,NA,11.2639531518788,NA,NA
"9320978","2011-08-09",NA,0.0543478260869573,0.0181159420289858,0.00603864734299526,11.9234712900046,10.9095287099954,11.4165,-0.0587101391825395,26.9406926656302,NA,11.2020927316283,NA,NA
"9320977","2011-08-10",NA,0.0588235294117656,0.037723785166241,0.0186132423984089,11.9359143112361,10.8244190220973,11.3801666666667,0.029012848623404,26.9406926656302,NA,11.1484803674112,NA,NA
"9320976","2011-08-11",NA,0.134146341463414,0.0824392323207122,0.046092986505313,11.9371521461077,10.7568478538923,11.347,0.107163449523382,31.2427984986323,11.3524,11.110016318423,NA,NA
