"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"9427990","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9427989","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9427988","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9427987","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9427986","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9427985","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9427984","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9427983","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9427982","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9427981","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9427980","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9427979","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9427978","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9427977","2001-08-17",NA,0.50561797752809,NA,NA,NA,NA,NA,NA,NA,NA,30.9517857142857,NA,NA
"9427976","2001-08-20",NA,0.680597014925373,NA,NA,NA,NA,NA,NA,52.0210896309314,NA,31.0068809523809,NA,NA
"9427975","2001-08-21",NA,0.637037037037037,0.607750676496833,NA,NA,NA,NA,NA,54.5989510042216,NA,31.0746301587302,NA,NA
"9427974","2001-08-22",NA,0.530864197530864,0.616166083164425,NA,NA,NA,NA,NA,50.4175412770675,NA,31.1046794708995,NA,NA
"9427973","2001-08-23",NA,0.629629629629629,0.59917695473251,0.607697904797923,NA,NA,NA,NA,53.9505075639592,NA,31.1573888747795,NA,NA
"9427972","2001-08-24",NA,0.555555555555556,0.57201646090535,0.595786499600761,NA,NA,NA,NA,51.0145393436408,NA,31.1830703581423,NA,NA
