"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"9645251","2001-07-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9645250","2001-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9645249","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9645248","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9645247","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9645246","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9645245","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9645244","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9645243","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9645242","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9645241","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9645240","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9645239","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9645238","2001-08-14",NA,0.409090909090911,NA,NA,NA,NA,NA,NA,NA,NA,8.51785714285714,NA,NA
"9645237","2001-08-15",NA,0.599999999999998,NA,NA,NA,NA,NA,NA,76.9230769230771,NA,8.52880952380952,NA,NA
"9645236","2001-08-16",NA,0.350000000000003,0.453030303030304,NA,NA,NA,NA,NA,63.7254901960786,NA,8.53163492063492,NA,NA
"9645235","2001-08-17",NA,0.400000000000002,0.450000000000001,NA,NA,NA,NA,NA,65.018181818182,NA,8.53541693121693,NA,NA
"9645234","2001-08-20",NA,0.400000000000002,0.383333333333335,0.42878787878788,NA,NA,NA,NA,65.018181818182,NA,8.53869467372134,NA,NA
"9645233","2001-08-21",NA,0.5,0.433333333333334,0.422222222222224,NA,NA,NA,NA,67.6889932944596,NA,8.5442020505585,NA,NA
"9645232","2001-08-22",NA,0.350000000000003,0.416666666666668,0.411111111111113,8.64259192191507,8.46874141141826,8.55566666666667,0.639966993848891,60.2573199885574,NA,8.54497511048403,NA,NA
"9645231","2001-08-23",NA,0.368421052631581,0.406140350877195,0.418713450292399,8.64087183939464,8.48212816060536,8.5615,0.67953470788484,61.7642784244809,NA,8.54697842908616,NA,NA
"9645230","2001-08-24",NA,0.666666666666675,0.461695906432753,0.428167641325539,8.64752471363215,8.49014195303451,8.56883333333333,0.931008663691915,70.2640714713596,NA,8.55804797187467,NA,NA
"9645229","2001-08-27",NA,0,0.345029239766085,0.404288499025344,8.64696129949438,8.49770536717229,8.57233333333333,0.573698913194701,55.1696650663064,NA,8.55697490895805,NA,NA
"9645228","2001-08-28",NA,0,0.222222222222225,0.342982456140354,8.64711808674219,8.50021524659114,8.57366666666667,0.475040192123601,52.1532651320297,NA,8.55337825443031,NA,NA
"9645227","2001-08-29",NA,0,0,0.18908382066277,8.64417471772675,8.50615861560658,8.57516666666667,0.221047041551141,52.1532651320297,8.538,8.5502611538396,NA,NA
"9645226","2001-08-30",NA,0,0,0.074074074074075,8.6412443399842,8.51242232668247,8.57683333333333,0.265826772199165,52.1532651320297,8.5408,8.54755966666099,0.132158254387815,NA
"9645225","2001-08-31",NA,0,0,2.77555756156289e-17,8.63489511076271,8.52377155590396,8.57933333333333,0.236029563033489,52.1532651320297,8.5424,8.54521837777286,0.10464587789587,NA
"9645224","2001-09-04",30.5432181596504,0.153846153846163,0.0512820512820544,0.0170940170940182,8.63058837282389,8.53274496050945,8.58166666666667,0.346693817752441,55.430904232185,8.5444,8.54585592740314,0.100568186581995,NA
"9645223","2001-09-05",29.4901959668767,0.153846153846163,0.102564102564109,0.0512820512820545,8.63004077510084,8.53462589156583,8.58233333333333,0.33580479180778,55.430904232185,8.5456,8.54640847041606,0.0962265435160869,NA
