"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"9684467","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9684466","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9684465","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9684464","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9684463","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9684462","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9684461","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9684460","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9684459","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9684458","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9684457","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9684456","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9684455","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9684454","2001-08-17",NA,0.806451612903226,NA,NA,NA,NA,NA,NA,NA,NA,6.66857142857143,NA,NA
"9684453","2001-08-20",NA,0.516666666666666,NA,NA,NA,NA,NA,NA,42.2764227642276,NA,6.68742857142857,NA,NA
"9684452","2001-08-21",NA,0.4,0.57437275985663,NA,NA,NA,NA,NA,41.9094854308741,NA,6.70243809523809,NA,NA
"9684451","2001-08-22",NA,0.546666666666667,0.487777777777778,NA,NA,NA,NA,NA,47.3254054054054,NA,6.73011301587302,NA,NA
"9684450","2001-08-23",NA,0.799999999999999,0.582222222222222,0.548124253285543,NA,NA,NA,NA,55.1104005261352,NA,6.77943128042328,NA,NA
"9684449","2001-08-24",NA,0.346666666666666,0.564444444444444,0.544814814814815,NA,NA,NA,NA,42.8935527730053,NA,6.77684044303351,NA,NA
"9684448","2001-08-27",NA,0.466666666666666,0.537777777777777,0.561481481481481,7.15257430593061,6.44409236073605,6.79833333333333,0.667023781108265,46.287824547146,NA,6.78659505062904,NA,NA
"9684447","2001-08-28",NA,0.466666666666666,0.426666666666666,0.509629629629629,7.12795582634453,6.4513775069888,6.78966666666667,0.613807962503621,46.287824547146,NA,6.7950490438785,NA,NA
"9684446","2001-08-29",NA,0.379310344827586,0.437547892720306,0.467330779054917,7.15665861978603,6.44900804688063,6.80283333333333,0.821015308069335,46.287824547146,NA,6.80237583802804,NA,NA
"9684445","2001-08-30",NA,0.825581395348838,0.557186135614363,0.473800231667112,7.22440124978399,6.44559875021601,6.835,1.02430922289007,59.3609895495546,NA,6.86072572629096,NA,NA
"9684444","2001-08-31",NA,0.702702702702703,0.635864814293042,0.543532947542571,7.27364186034618,6.44502480632048,6.85933333333333,0.903081252524697,56.6937542317893,NA,6.90196229611884,NA,NA
"9684443","2001-09-04",NA,0.61904761904762,0.715777239033054,0.636276062980153,7.3143967337977,6.44726993286897,6.88083333333333,0.845009134011598,55.9206306844123,6.794,6.93503398996966,NA,NA
"9684442","2001-09-05",NA,0.61904761904762,0.646932646932648,0.666191566752914,7.33420249161748,6.48513084171585,6.90966666666667,0.783054243256361,55.9206306844123,6.8,6.96369612464037,2.75362040157097,NA
"9684441","2001-09-06",NA,0.571428571428572,0.603174603174604,0.655294829713435,7.3418590475865,6.53380761908017,6.93783333333333,0.737814896289318,54.6247536263941,6.8208,6.98453664135499,2.68681620315439,NA
"9684440","2001-09-07",20.8784200755393,0.317460317460318,0.502645502645503,0.584250917584252,7.3265003049709,6.59783302836243,6.96216666666667,0.60224145147118,48.2082751105359,6.8352,6.98126508917432,2.42092105550968,NA
"9684439","2001-09-10",19.4635444699265,0.142857142857143,0.343915343915344,0.483245149911817,7.29687261911727,6.66612738088272,6.9815,0.450059076009568,44.3511026214643,6.8468,6.96376307728441,2.05945913297987,NA
