"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"9707405","2002-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9707404","2002-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9707403","2002-09-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9707402","2002-09-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9707401","2002-09-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9707400","2002-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9707399","2002-10-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9707398","2002-10-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9707397","2002-10-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9707396","2002-10-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9707395","2002-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9707394","2002-10-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9707393","2002-10-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9707392","2002-10-11",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,15.0321428571429,NA,NA
"9707391","2002-10-14",NA,0,NA,NA,NA,NA,NA,NA,50,NA,15.0278571428571,NA,NA
"9707390","2002-10-15",NA,0,0,NA,NA,NA,NA,NA,50,NA,15.0241428571429,NA,NA
"9707389","2002-10-16",NA,0,0,NA,NA,NA,NA,NA,50,NA,15.0209238095238,NA,NA
"9707388","2002-10-17",NA,0,0,0,NA,NA,NA,NA,50,NA,15.018133968254,NA,NA
"9707387","2002-10-18",NA,0,0,0,NA,NA,NA,NA,50,NA,15.0157161058201,NA,NA
"9707386","2002-10-21",NA,0,0,0,15.1366930768388,14.9736402564945,15.0551666666667,0.24343692280205,50,NA,15.0136206250441,NA,NA
"9707385","2002-10-22",NA,0,0,0,15.1371464212626,14.9725202454041,15.0548333333333,0.187170040053182,50,NA,15.0118045417049,NA,NA
"9707384","2002-10-23",NA,0,0,0,15.1382123321755,14.9684543344912,15.0533333333333,0.205463066941997,50,NA,15.0102306028109,NA,NA
"9707383","2002-10-24",NA,0,0,0,15.1310241900091,14.9656424766575,15.0483333333333,0.268212987055997,50,NA,15.0088665224361,NA,NA
"9707382","2002-10-25",NA,0,0,0,15.121282469432,14.9640508639013,15.0426666666667,0.249838251663495,50,NA,15.0076843194446,NA,NA
"9707381","2002-10-28",NA,0,0,0,15.1194692007395,14.9598641325938,15.0396666666667,0.272354764447882,50,15.018,15.0066597435187,NA,NA
"9707380","2002-10-29",NA,0,0,0,15.1131193646414,14.9575473020252,15.0353333333333,0.294307541715015,50,15.018,15.0057717777162,-0.0911675645256405,NA
"9707379","2002-10-30",NA,0,0,0,15.1034771653784,14.9575228346216,15.0305,0.313868718209348,50,15.018,15.005002207354,-0.0863430190479075,NA
"9707378","2002-10-31",18.2727024736081,0,0,0,15.0921029352086,14.9592303981247,15.0256666666667,0.331919117197064,50,15.016,15.0043352463735,-0.0815794892912836,NA
"9707377","2002-11-01",19.0511052229082,0,0,0,15.0622105719005,14.9761227614328,15.0191666666667,0.354799420125874,50,15.0128,15.0037572135237,-0.0769179807528886,NA
"9707376","2002-11-04",20.0648153057097,0,0,0,15.0434882328506,14.9868451004827,15.0151666666667,0.40878564707356,50,15.0128,15.0032562517205,-0.0723894713226758,NA
"9707375","2002-11-05",21.0061175254541,0,0,0,15.0377373402903,14.9889293263764,15.0133333333333,0.431705204411614,50,15.0112,15.0028220848245,-0.0680167266675302,NA
"9707374","2002-11-06",21.8801838723595,0,0,0,15.0290219988819,14.9936446677848,15.0113333333333,0.462311081927984,50,15.0088,15.0024458068479,-0.0638158167129976,NA
