"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"9768644","2014-11-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9768643","2014-11-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9768642","2014-11-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9768641","2014-11-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9768640","2014-11-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9768639","2014-11-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9768638","2014-11-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9768637","2014-11-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9768636","2014-11-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9768635","2014-11-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9768634","2014-11-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9768633","2014-11-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9768632","2014-11-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9768631","2014-12-01",NA,0.133333333333333,NA,NA,NA,NA,NA,NA,NA,NA,6.40292857142857,NA,NA
"9768630","2014-12-02",NA,0.149253731343284,NA,NA,NA,NA,NA,NA,38.0450070323488,NA,6.3705380952381,NA,NA
"9768629","2014-12-03",NA,0.261194029850746,0.181260364842455,NA,NA,NA,NA,NA,43.2063869879996,NA,6.35846634920635,NA,NA
"9768628","2014-12-04",NA,0.307835820895522,0.239427860696518,NA,NA,NA,NA,NA,45.2529434692122,NA,6.35467083597884,NA,NA
"9768627","2014-12-05",NA,0.29,0.28634328358209,0.235677169707021,NA,NA,NA,NA,43.890344983861,NA,6.34604805784833,NA,NA
"9768626","2014-12-08",NA,0.2,0.265945273631841,0.263905472636816,NA,NA,NA,NA,40.9058318203429,NA,6.32657498346855,NA,NA
"9768625","2014-12-09",NA,0.222222222222222,0.237407407407408,0.263231988207113,6.86117259645357,6.0516940702131,6.45643333333333,0.298512258555518,40.9058318203429,NA,6.30969831900608,NA,NA
"9768624","2014-12-10",NA,0.274698795180723,0.232307005800982,0.24521989561341,6.82375202313473,6.04731464353194,6.43553333333333,0.345190348690459,42.3209970114909,NA,6.29880520980527,NA,NA
"9768623","2014-12-11",NA,0.586510263929619,0.361143760444188,0.276952724550859,6.80542232705016,6.04697767294985,6.4262,0.505010253522726,50.2090218726937,NA,6.3122978484979,NA,NA
"9768622","2014-12-12",NA,0.0701754385964913,0.310461499235611,0.301304088493594,6.79540521327075,6.02029478672926,6.40785,0.218943272415986,38.3786383217431,NA,6.27599146869818,NA,NA
"9768621","2014-12-15",NA,0.399999999999999,0.352228567508703,0.341277942396167,6.75574299941924,6.0208903339141,6.38831666666667,0.379817178582375,45.3165342862517,NA,6.26852593953842,NA,NA
