"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"9808735","2020-12-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9808734","2020-12-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9808733","2020-12-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9808732","2020-12-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9808731","2020-12-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9808730","2020-12-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9808729","2020-12-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9808728","2020-12-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9808727","2020-12-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9808726","2021-01-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9808725","2021-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9808724","2021-01-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9808723","2021-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9808722","2021-01-08",NA,0.0557338234835975,NA,NA,NA,NA,NA,NA,NA,NA,5.71099285714286,NA,NA
"9808721","2021-01-11",NA,0.0342689803420666,NA,NA,NA,NA,NA,NA,23.7960339943343,NA,5.65619380952381,NA,NA
"9808720","2021-01-12",NA,0.044776119402985,0.044926307742883,NA,NA,NA,NA,NA,23.6517218973359,NA,5.60603463492064,NA,NA
"9808719","2021-01-13",NA,0.181818181818182,0.0869544271877445,NA,NA,NA,NA,NA,25.5954797122863,NA,5.57323001693122,NA,NA
"9808718","2021-01-14",NA,0.387387387387387,0.204660562869518,0.112180432600049,NA,NA,NA,NA,31.6829911892303,NA,5.57946601467372,NA,NA
"9808717","2021-01-15",NA,0.314516129032258,0.294573899412609,0.195396296489957,NA,NA,NA,NA,31.2592599426424,NA,5.57953721271723,NA,NA
"9808716","2021-01-19",NA,0.137096774193548,0.279666763537731,0.259633741939953,6.99689147486495,4.61769852513505,5.807295,0.405866539032872,28.9647914769426,NA,5.55026558435493,NA,NA
"9808715","2021-01-20",NA,0.0406504065040649,0.164087769909957,0.246109477620099,6.68237735861585,4.74387930805081,5.71312833333333,0.364261749834293,27.8635207856026,NA,5.51023017310761,NA,NA
"9808714","2021-01-21",NA,0.16260162601626,0.113449602237958,0.185734711895215,6.24644282315633,4.99981717684367,5.62313,0.427968218099577,31.6782682926543,NA,5.49553281669326,NA,NA
"9808713","2021-01-22",NA,0.0975609756097562,0.100271002710027,0.125936124952647,5.87138641204205,5.23720692129129,5.55429666666667,0.293491692425601,30.7444528829501,NA,5.47212844113416,NA,NA
"9808712","2021-01-25",NA,0.212903225806452,0.157688609144156,0.123803071364047,5.92669966960885,5.21222699705781,5.56946333333333,1.01395014454818,36.07174424378,NA,5.47984464898294,NA,NA
"9808711","2021-01-26",NA,0.4,0.236821400472069,0.164927004108751,5.95389757353113,5.19632909313554,5.57511333333333,1.03401552968793,42.6342262775269,5.590956,5.52519869578521,NA,NA
"9808710","2021-01-27",NA,0.226666666666667,0.279856630824373,0.224788880146866,5.95780507068112,5.19542159598555,5.57661333333333,0.718682599418323,39.1974765801676,5.528556,5.53383886968052,-1.21110422673246,NA
"9808709","2021-01-28",NA,0.266666666666667,0.297777777777778,0.271485269691407,5.97867570037192,5.20981763296141,5.59424666666667,0.740729302990906,40.5439375202505,5.482556,5.54932702038978,-0.939747568224503,NA
"9808708","2021-01-29",18.9495867629962,0.14,0.211111111111111,0.262915173237754,5.98251778739507,5.21897554593826,5.60074666666667,0.529581423843129,37.6970728766518,5.436956,5.53741675100448,-0.989834735574535,NA
"9808707","2021-02-01",17.7081427069185,0.121266666666666,0.175977777777778,0.228288888888889,5.97921406283544,5.21273927049789,5.59597666666667,0.402527779456185,37.2801497886255,5.437832,5.52334785087055,-1.05876319288895,NA
"9808706","2021-02-02",16.6614177443448,0.166666666666667,0.142644444444444,0.176577777777778,5.98077440528271,5.21951226138395,5.60014333333333,0.47353955730654,39.0397756989931,5.427832,5.52023480408781,-1.00264288911112,NA
"9808705","2021-02-03",16.290597751163,0.273333333333333,0.187088888888889,0.16857037037037,5.9975789801544,5.22884435317893,5.61321166666667,0.69706193531226,43.0802806217202,5.433032,5.53887016354277,-0.716347648379445,NA
"9808704","2021-02-04",16.0600912944203,0.373333333333333,0.271111111111111,0.200281481481481,6.01911944961328,5.26197055038672,5.640545,0.816258796974551,46.6503497095025,5.457832,5.57502080840373,-0.269369205613867,NA
