"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"9955151","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9955150","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9955149","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9955148","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9955147","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9955146","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9955145","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9955144","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9955143","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9955142","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9955141","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9955140","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9955139","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9955138","2001-08-17",NA,0.652173296903874,NA,NA,NA,NA,NA,NA,NA,NA,57.6818242857143,NA,NA
"9955137","2001-08-20",NA,0.72035672035672,NA,NA,NA,NA,NA,NA,64.5411928822852,NA,57.9321090476191,NA,NA
"9955136","2001-08-21",NA,0.909945697372927,0.760825238211174,NA,NA,NA,NA,NA,72.1455075245748,NA,58.3573971746032,NA,NA
"9955135","2001-08-22",NA,0.606003620175139,0.745435345968262,NA,NA,NA,NA,NA,58.6771043929119,NA,58.5188842179894,NA,NA
"9955134","2001-08-23",NA,0.615384765911648,0.710444694486572,0.738901759555336,NA,NA,NA,NA,58.9319403679604,NA,58.6652316555908,NA,NA
"9955133","2001-08-24",NA,0.684804070250967,0.635397485445918,0.697092508633584,NA,NA,NA,NA,60.8556863738379,NA,58.8393661015121,NA,NA
"9955132","2001-08-27",NA,0.785319914033809,0.695169583398808,0.680337254443766,61.2788686780039,56.2845703219961,58.7817195,0.933987655288156,63.9519565085743,NA,59.0708186213105,NA,NA
"9955131","2001-08-28",NA,0.633026557276028,0.701050180520268,0.677205749788332,61.4436344316524,56.312197901681,58.8779161666667,0.766001633660977,57.4990253903281,NA,59.1653068051357,NA,NA
"9955130","2001-08-29",NA,0.570641741829671,0.662996071046503,0.68640527832186,61.5179193934238,56.3695846065762,58.943752,0.63749973456954,55.0486507385727,NA,59.203732564451,NA,NA
"9955129","2001-08-30",NA,0.477272080785094,0.560313459963598,0.64145323717679,61.5932140124567,56.3991153208766,58.9961646666667,0.650193911652973,55.2900496412837,NA,59.2421482225242,NA,NA
"9955128","2001-08-31",NA,0.470454653202484,0.506122825272417,0.576477452094173,61.6550279656956,56.4430860343044,59.049057,0.617457115740211,55.0512859827883,NA,59.2716071261876,NA,NA
"9955127","2001-09-04",NA,0.51282085568648,0.48684919655802,0.517761827264678,61.7925816955313,56.5445863044687,59.168584,0.73515696465137,57.8605202021735,58.6408436,59.3521075093626,NA,NA
"9955126","2001-09-05",NA,0.351414444553773,0.444896651147579,0.479289557659339,61.9310830895567,56.6949952437766,59.3130391666666,0.756931804741251,56.9687795410085,58.7213804,59.4090905081142,1.41659966359804,NA
"9955125","2001-09-06",NA,0.534210367410123,0.466148555883459,0.465964801196353,61.989678764626,57.0355689020407,59.5126238333333,0.791909049276785,62.9886939050738,58.8260784,59.583755773699,1.47143159480576,NA
"9955124","2001-09-07",20.6132022682132,0.145631723379049,0.343752178447648,0.418265795159562,61.8531934513166,57.4954805486834,59.674337,0.606268971135492,55.558010598998,58.8828376,59.6239150038725,1.38553870197811,NA
"9955123","2001-09-10",21.3976252785647,0.213592069155238,0.297811386648137,0.369237373659748,61.722447332165,57.9771373345016,59.8497923333333,0.709060843336115,56.8802892747123,58.9599228,59.6855650033562,1.32927738143602,NA
"9955122","2001-09-17",20.6496234568415,0,0.119741264178096,0.253768276424627,61.6097647479061,58.2243679187605,59.9170663333333,0.336635695042123,46.7509820027027,59.0017252,59.5574670029087,1.08794548411002,NA
"9955121","2001-09-18",19.9550503366699,0.155842959623762,0.123145009593,0.180232553473078,61.4481292729012,58.5582623937654,60.0031958333333,0.392726604269746,50.7424676722726,59.0772764,59.5231500691875,0.963527840222511,NA
"9955120","2001-09-19",19.644020365195,0,0.0519476532079207,0.0982779756596722,61.5624970571077,58.3886052762255,59.9755511666666,-0.196146766348102,38.1628934808199,59.0876312,59.1802100599625,0.539219792046519,NA
"9955119","2001-09-20",19.9286173734028,0,0.0519476532079207,0.0756801053362806,62.0410706274404,57.6687403725595,59.8549055,-0.297893868173727,34.412876105743,59.0646208,58.7551593853008,0.0689781861165972,NA
"9955118","2001-09-21",21.6921604702426,0,1.57281595155231e-16,0.0346317688052806,63.1838369887128,55.9289783446204,59.5564076666666,-0.374519818774549,24.7300083271935,58.9035468,57.9137874672607,-0.790532007677269,0.830220737404034
"9955117","2001-09-24",23.3297362030225,0.0528840946562309,0.0176280315520771,0.0231918949199994,63.7074379021531,54.7610820978468,59.23426,-0.139228246497933,27.9742431438929,58.7156272,57.2549078049593,-1.39228610116627,0.385719369689973
"9955116","2001-09-25",22.5691373501945,0.125000501442147,0.0592948653661262,0.0256409656394013,63.6446831504957,54.2009541828376,58.9228186666666,0.0895185740072538,32.2618729965544,58.5641412,56.7797574309647,-1.75371505797596,-0.0421675158432133
"9955115","2001-09-26",21.8628669868542,0.390384746531023,0.189423114209801,0.0887820037093347,63.5325524668745,53.9688858664587,58.7507191666666,0.285762519864064,45.1919123059847,58.4993284,56.7207884401694,-1.64640227002231,-0.363014466679032
"9955114","2001-09-27",20.4518955373626,0.453846261849078,0.32307716994075,0.190598383172226,63.408720632315,53.8546227010183,58.6316716666666,0.38665265162091,47.7598870770094,58.4441032,56.7540539814802,-1.45440055346631,-0.581291684036487
"9955113","2001-09-28",19.2925529347795,0.6201926741308,0.488141227503634,0.333547170551395,63.2756314024676,53.846133264199,58.5608823333333,0.539417544944226,53.8621527840789,58.4383508,57.0040414506162,-1.05433951363558,-0.675901249956306
"9955112","2001-10-01",18.0869011353468,0.64256237528176,0.572200437087213,0.461139611510532,63.037830477884,53.8627775221159,58.450304,0.531314551322134,52.9761452394218,58.39233,57.191294590534,-0.760418614852332,-0.692804722935511
"9955111","2001-10-02",17.0531148424185,0.563016381996612,0.608590477136391,0.556310713909079,62.850343956518,53.8147257101486,58.3325348333333,0.450746978472803,50.0102308580851,58.2542664,57.2551459784628,-0.624724741280513,-0.679188726604512
"9955110","2001-10-03",16.2805978365471,0.527892708912478,0.577823822063617,0.58620491209574,62.7198518721065,53.7541024612268,58.2369771666666,0.44462439104858,48.7133718939925,58.1652924,57.2670198480011,-0.556728372090831,-0.654696655701776
"9955109","2001-10-04",15.6990541585995,0.569590034046923,0.553499708318671,0.57997133583956,62.5615911515533,53.6944018484467,58.1279965,0.440079866516385,47.7716272811269,58.0651964,57.246629201601,-0.529174173637681,-0.629592159288957
"9955108","2001-10-05",14.8943704120084,0.603818274147055,0.567100339035486,0.566141289805925,62.4154056657498,53.6587396675835,58.0370726666666,0.477809743262182,48.6184993048935,57.9581972,57.2532466413875,-0.476173318551909,-0.598908391141547
"9955107","2001-10-08",14.147164075888,0.751351671336674,0.641586659843551,0.587395569065903,62.1629988997472,53.6784844335861,57.9207416666666,0.518306881391918,50.8758703790853,57.8462128,57.3229004225358,-0.362452280286785,-0.551617168970595
"9955106","2001-10-09",13.4533296209191,0.758108618560886,0.704426188014872,0.637704395631303,61.8478290384568,53.7386212948765,57.7932251666667,0.538820253464247,51.1072018962701,57.7679772,57.3896590328644,-0.262606355150008,-0.493815006206477
"9955105","2001-10-10",12.926607475876,0.775266748682727,0.761575679526762,0.702529509128395,61.4820290761734,53.8660065904932,57.6740178333333,0.618251861129176,52.1743527114912,57.711218,57.4756404951491,-0.152156020739258,-0.425483209113034
"9955104","2001-10-11",12.1807559738331,0.710186827082071,0.747854064775228,0.737951977438954,61.2325574835598,53.9307541831069,57.5816558333333,0.597035047943485,50.3974159077285,57.6402688,57.5079710957959,-0.107843574772382,-0.361955282244903
"9955103","2001-10-12",11.6241028150511,0.570739625324471,0.685397733696423,0.731609159332804,60.7945129844151,54.0508056822515,57.4226593333333,0.504478347786088,47.0018984639628,57.545542,57.4528976163565,-0.158359570961186,-0.32123613998816
"9955102","2001-10-15",11.0496654921369,0.271677694545344,0.517534715650629,0.650262171374093,60.5869179563028,54.0791107103639,57.3330143333333,0.536586670594551,47.8747144012082,57.4400772,57.4243432675089,-0.176211411907556,-0.292231194372039
"9955101","2001-10-16",12.9828502526237,0,0.280805773289938,0.494579407545663,60.5486512018279,53.4625357981721,57.0055935,-0.0448429706175582,30.7737021495654,57.158198,56.7987641651744,-0.818134511420554,-0.397411857781742
"9955100","2001-10-17",15.0342438075512,0,0.0905592315151147,0.296299906818561,60.7591665241387,52.732046142528,56.7456063333333,-0.0206466081627924,28.9939073110187,56.8099716,56.1607182764845,-1.42071503602639,-0.602072493430671
"9955099","2001-10-18",16.9802976375572,0,-5.55111512312578e-17,0.123788334935018,61.0171680347177,52.0550609652824,56.5361145,0.0135406068138652,28.7078291884104,56.4905084,55.5924051729532,-1.90059924352801,-0.861777843450139
"9955098","2001-10-19",19.4273484086406,0,-5.55111512312578e-17,0.0301864105050384,61.3682362382767,51.45503142839,56.4116338333333,-0.0739170405308827,24.260824094431,56.0836052,54.8352458165595,-2.55016846683134,-1.19945596812638
"9955097","2001-10-22",21.6996098389324,0.0767713807330358,0.0255904602443452,0.00853015341478192,61.6606515505961,50.898314449404,56.279483,-0.00240044974999877,28.7402157230566,55.761074,54.2787530410182,-2.9310376474556,-1.54577230399222
"9955096","2001-10-23",22.8273474237181,0.114173612301652,0.0636483310115627,0.0297462637519695,61.8569432446646,50.3456787553354,56.101311,0.0987923246010129,30.8848563093615,55.430106,53.8450379688825,-3.14864325410351,-1.86634649401448
