"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"10174732","2020-02-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10174731","2020-02-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10174730","2020-02-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10174729","2020-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10174728","2020-02-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10174727","2020-02-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10174726","2020-02-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10174725","2020-02-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10174724","2020-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10174723","2020-02-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10174722","2020-03-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10174721","2020-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10174720","2020-03-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10174719","2020-03-05",NA,0.090909090909088,NA,NA,NA,NA,NA,NA,NA,NA,9.95571428571429,NA,NA
"10174718","2020-03-06",NA,0.27272727272728,NA,NA,NA,NA,NA,NA,57.1428571428571,NA,9.95761904761905,NA,NA
"10174717","2020-03-09",NA,0,0.121212121212123,NA,NA,NA,NA,NA,30.9523809523818,NA,9.94460317460317,NA,NA
"10174716","2020-03-11",NA,0,0.0909090909090934,NA,NA,NA,NA,NA,30.9523809523818,NA,9.93332275132275,NA,NA
"10174715","2020-03-12",NA,0,1.85037170770859e-17,0.070707070707072,NA,NA,NA,NA,5.94764341211222,NA,9.80754638447972,NA,NA
"10174714","2020-03-13",NA,0.716981132075471,0.238993710691824,0.109967600533639,NA,NA,NA,NA,46.560824649563,NA,9.79987353321576,NA,NA
"10174713","2020-03-16",NA,0.669811320754716,0.462264150943396,0.233752620545073,10.2109427506729,9.59139058266046,9.90116666666667,0.186063563260582,45.1786229819874,NA,9.78655706212032,NA,NA
"10174712","2020-03-17",NA,0.52,0.635597484276729,0.445618448637316,10.2259843058936,9.5343523607731,9.88016833333333,0.00821386663862114,40.2846795782367,NA,9.74968278717095,NA,NA
