"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"10353489","2021-02-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10353488","2021-02-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10353487","2021-02-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10353486","2021-02-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10353485","2021-02-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10353484","2021-02-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10353483","2021-02-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10353482","2021-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10353481","2021-02-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10353480","2021-02-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10353479","2021-02-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10353478","2021-02-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10353477","2021-02-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10353476","2021-02-25",NA,0.0962592327853228,NA,NA,NA,NA,NA,NA,NA,NA,26.6064285714286,NA,NA
"10353475","2021-02-26",NA,0.00421829686264181,NA,NA,NA,NA,NA,NA,52.9778786159955,NA,25.6055714285714,NA,NA
"10353474","2021-03-01",NA,0,0.0334925098826549,NA,NA,NA,NA,NA,51.668085106383,NA,24.6274952380952,NA,NA
"10353473","2021-03-02",NA,0,0.00140609895421393,NA,NA,NA,NA,NA,50.2417457897401,NA,23.6618292063492,NA,NA
"10353472","2021-03-03",NA,0,-1.15648231731787e-18,0.0116328696122896,NA,NA,NA,NA,47.034346337701,NA,22.554251978836,NA,NA
"10353471","2021-03-04",NA,0,-1.15648231731787e-18,0.000468699651404644,NA,NA,NA,NA,43.9043984577224,NA,21.3136850483245,NA,NA
"10353470","2021-03-05",NA,0,-1.15648231731787e-18,-1.15648231731787e-18,39.0807654326563,10.4442345673437,24.7625,0.0731850321714383,41.5826731834118,NA,20.0198603752146,NA,NA
"10353469","2021-03-08",NA,0,-1.15648231731787e-18,-1.15648231731787e-18,39.5691495891781,9.24985041082194,24.4095,0.0997213987277698,41.4962155438268,NA,18.8905456585193,NA,NA
"10353468","2021-03-09",NA,0.0323586744639376,0.0107862248213125,0.00359540827377084,39.5022026095992,7.78213072373416,23.6421666666667,0.158612585359277,43.2538905858164,NA,18.0224729040501,NA,NA
"10353467","2021-03-10",NA,0.046748831279218,0.0263691685810519,0.0123851311341215,39.1273071764946,6.68202615683871,22.9046666666667,0.223287956896999,43.8449266472514,NA,17.3061431835101,NA,NA
