"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"10379613","2011-08-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10379612","2011-09-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10379611","2011-09-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10379610","2011-09-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10379609","2011-09-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10379608","2011-09-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10379607","2011-09-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10379606","2011-09-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10379605","2011-09-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10379604","2011-09-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10379603","2011-09-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10379602","2011-09-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10379601","2011-09-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10379600","2011-09-20",NA,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA,13.0657142857143,NA,NA
"10379599","2011-09-21",NA,1,NA,NA,NA,NA,NA,NA,66.6666666666667,NA,13.1902857142857,NA,NA
"10379598","2011-09-22",NA,0.625,0.732142857142857,NA,NA,NA,NA,NA,57.7777777777778,NA,13.2182476190476,NA,NA
"10379597","2011-09-23",NA,0.75,0.791666666666667,NA,NA,NA,NA,NA,59.7063621533442,NA,13.2691479365079,NA,NA
"10379596","2011-09-26",NA,0.75,0.708333333333333,0.744047619047619,NA,NA,NA,NA,59.7063621533442,NA,13.3132615449735,NA,NA
"10379595","2011-09-27",NA,0.75,0.75,0.75,NA,NA,NA,NA,59.7063621533442,NA,13.3514933389771,NA,NA
"10379594","2011-09-28",NA,0.75,0.75,0.736111111111111,13.9655632130643,12.6757701202691,13.3206666666667,0.71657220440526,59.7063621533442,NA,13.3846275604468,NA,NA
"10379593","2011-09-29",NA,1,0.833333333333333,0.777777777777778,14.0498346357384,12.7061653642616,13.378,0.962911531285043,64.1156763892956,NA,13.4666772190539,NA,NA
"10379592","2011-09-30",NA,1,0.916666666666667,0.833333333333333,14.1307508622043,12.7212491377956,13.426,0.907236110506215,64.1156763892956,NA,13.53778692318,NA,NA
"10379591","2011-10-03",NA,0.250000000000001,0.75,0.833333333333333,14.138204773013,12.7684618936537,13.4533333333333,0.597341870027246,53.8620383518635,NA,13.5194153334227,NA,NA
"10379590","2011-10-04",NA,0.0500000000000011,0.433333333333334,0.700000000000001,14.1270730448603,12.814260288473,13.4706666666667,0.415702626952528,51.4969431867267,NA,13.482159955633,NA,NA
"10379589","2011-10-05",NA,0.0500000000000011,0.116666666666668,0.433333333333334,14.123022582467,12.828977417533,13.476,0.31762614907491,51.4969431867267,13.304,13.4498719615486,NA,NA
"10379588","2011-10-06",NA,0.7,0.266666666666667,0.272222222222223,14.1455795414868,12.8690871251799,13.5073333333333,0.697938243454424,58.3846154697743,13.3504,13.4912223666755,1.46357730023348,NA
"10379587","2011-10-07",NA,0,0.25,0.211111111111112,14.1377809752115,12.9022190247884,13.52,0.392086889461373,50.1287989715172,13.36,13.4523927177854,1.16642014097872,NA
"10379586","2011-10-10",15.1306127884889,0.7,0.466666666666667,0.327777777777778,14.0801201256147,13.0625465410519,13.5713333333333,0.685408376876971,56.7195915128331,13.392,13.4934070220807,1.25198567458047,NA
"10379585","2011-10-11",15.1717753755334,0.7,0.466666666666667,0.394444444444445,14.0508338052093,13.1678328614574,13.6093333333333,0.670630244206185,56.7195915128331,13.4224,13.5289527524699,1.30402743852223,NA
"10379584","2011-10-12",15.5496283979884,0.5,0.633333333333333,0.522222222222222,14.0531658613573,13.1908341386427,13.622,0.536335591638331,54.3399666168393,13.4464,13.5384257188073,1.23524253024183,NA
"10379583","2011-10-13",15.4077306926816,0.9,0.7,0.6,14.0880488862335,13.1879511137665,13.638,0.813299297727518,58.1240025611455,13.4832,13.589302289633,1.35518849268415,NA
"10379582","2011-10-14",16.3068638932012,0.250000000000001,0.55,0.627777777777778,14.0792318720692,13.2207681279308,13.65,0.410693180474833,50.762002403314,13.4992,13.5640619843486,1.1279050962683,NA
"10379581","2011-10-17",17.1417732936837,0.250000000000001,0.466666666666668,0.572222222222223,14.0825381339501,13.1974618660499,13.64,0.22883692772669,50.762002403314,13.5392,13.5421870531021,0.93694618366007,NA
"10379580","2011-10-18",19.2715198048335,0,0.166666666666668,0.394444444444445,14.1505053788317,13.0814946211683,13.616,-0.151069219847054,39.9325870234477,13.5168,13.3952287793552,0.207307380034849,1.11651113746712
"10379579","2011-10-19",21.2491415651869,0.743589743589743,0.331196581196582,0.321509971509972,14.1049093524552,13.0937573142115,13.5993333333333,0.56659071117563,52.9846081109628,13.5248,13.4225316087745,0.321760252955183,0.957560960564733
"10379578","2011-10-20",23.0855046283721,0.763157894736841,0.502249212775528,0.333370820212926,14.1079057016346,13.1040942983654,13.606,0.494022781589791,52.9846081109628,13.5248,13.4461940609379,0.407472055901525,0.847543179632092
"10379577","2011-10-21",24.7906989013299,0.783783783783784,0.76351047403679,0.532318756002967,14.1079057016346,13.1040942983654,13.606,0.494022781589791,52.9846081109628,13.5408,13.4667015194795,0.469751444758892,0.771984832657452
"10379576","2011-10-24",27.060835964954,0.378378378378379,0.641773352299668,0.635844346370662,14.1182305264952,13.0537694735048,13.586,0.137375177874644,46.4624903751368,13.5168,13.4044746502156,0.156858259818571,0.648959518089676
