"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"10381635","2013-06-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10381634","2013-06-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10381633","2013-06-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10381632","2013-06-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10381631","2013-06-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10381630","2013-06-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10381629","2013-06-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10381628","2013-06-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10381627","2013-06-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10381626","2013-06-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10381625","2013-06-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10381624","2013-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10381623","2013-06-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10381622","2013-06-25",NA,0.340845070422535,NA,NA,NA,NA,NA,NA,NA,NA,13.9864285714286,NA,NA
"10381621","2013-06-26",NA,0.232371794871795,NA,NA,NA,NA,NA,NA,59.6009975062344,NA,13.9082380952381,NA,NA
"10381620","2013-06-27",NA,0.135435992578849,0.23621761929106,NA,NA,NA,NA,NA,60.0657354149548,NA,13.8578063492063,NA,NA
"10381619","2013-06-28",NA,0.0797773654916511,0.149195050980765,NA,NA,NA,NA,NA,58.3962411310641,NA,13.7740988359788,NA,NA
"10381618","2013-07-01",NA,0.0575139146567716,0.0909090909090907,0.158773920393639,NA,NA,NA,NA,57.7053354206812,NA,13.685552324515,NA,NA
"10381617","2013-07-02",NA,0.0389610389610388,0.0587507730364872,0.0996183049754477,NA,NA,NA,NA,57.0990650786752,NA,13.5954786812463,NA,NA
"10381616","2013-07-03",NA,0.0241187384044525,0.0401978973407543,0.0632859204287774,16.884804369889,11.4488622967777,14.1668333333333,0.31662178884059,56.5868638108877,NA,13.5067481904135,NA,NA
"10381615","2013-07-05",NA,0.0742115027829311,0.0457637600494741,0.0482374768089052,16.7410008667157,11.7733324666176,14.2571666666667,0.333489959464619,57.9576114113295,NA,13.4658484316917,NA,NA
