"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"10400532","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10400531","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10400530","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10400529","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10400528","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10400527","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10400526","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10400525","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10400524","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10400523","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10400522","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10400521","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10400520","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10400519","2001-08-20",NA,0.371430040799533,NA,NA,NA,NA,NA,NA,NA,NA,5.20476071428571,NA,NA
"10400518","2001-08-21",NA,0.542856653066823,NA,NA,NA,NA,NA,NA,57.3770249933607,NA,5.23079261904762,NA,NA
"10400517","2001-08-22",NA,0.485720163198135,0.46666895235483,NA,NA,NA,NA,NA,56.3817377223231,NA,5.2489096031746,NA,NA
"10400516","2001-08-23",NA,0.542856653066823,0.523811156443927,NA,NA,NA,NA,NA,57.1816186700173,NA,5.26905498941799,NA,NA
"10400515","2001-08-24",NA,0.531422498028594,0.519999771431184,0.50349329340998,NA,NA,NA,NA,56.9565185988958,NA,5.28562499082892,NA,NA
"10400514","2001-08-27",NA,0.715163636363637,0.596480929153018,0.546763952342709,NA,NA,NA,NA,59.1218423849724,NA,5.3110976587184,NA,NA
"10400513","2001-08-28",NA,0.727272727272727,0.657952953888319,0.591477884824173,5.60683498712769,5.02538667953898,5.31611083333333,0.797147366461243,59.2980546120231,NA,5.33406197088928,NA,NA
"10400512","2001-08-29",NA,0.721218181818183,0.721218181818182,0.658550688286506,5.62050311473861,5.04860721859472,5.33455516666667,0.773747082972499,59.1607348715718,NA,5.35352037477071,NA,NA
"10400511","2001-08-30",NA,0.606072727272727,0.684854545454545,0.688008560387015,5.62753285847657,5.07046680819009,5.34899983333333,0.681313328909663,56.4818657266028,NA,5.36194032480128,NA,NA
"10400510","2001-08-31",NA,0.86329693097941,0.730195946690106,0.712089557987611,5.6398760329942,5.08979030033913,5.36483316666667,0.745713516959642,58.6065298335395,NA,5.37812561482778,NA,NA
"10400509","2001-09-04",NA,0.884879354253897,0.784749670835344,0.733266720993332,5.65476403890979,5.10079096109021,5.3777775,0.740684078953429,58.9304657958699,NA,5.39348619951741,NA,NA
"10400508","2001-09-05",NA,0.79310202139325,0.847092768875519,0.787346128800323,5.65715814629154,5.10006285370846,5.3786105,0.74780829271277,58.4379648212582,5.3097324,5.40546537291509,NA,NA
"10400507","2001-09-06",NA,0.8,0.825993791882382,0.819278743864415,5.66520409220886,5.12179424112447,5.39349916666667,0.702114174253859,59.1728690746714,5.3258656,5.41851398985974,2.18358194837864,NA
"10400506","2001-09-07",NA,0.561208559096335,0.718103526829862,0.797063362529254,5.67917100007961,5.13204966658706,5.40561033333333,0.729381782401975,58.067139136792,5.3398656,5.42715612454511,2.09207610890678,NA
"10400505","2001-09-10",12.8880772673516,0.512807692307693,0.624672083801342,0.722923134171195,5.66321241200751,5.13800825465915,5.40061033333333,0.689240060795526,58.75888587184,5.3525324,5.43686864127243,2.02065582083915,NA
"10400504","2001-09-17",12.148421339182,0,0.358005417134676,0.566927009255293,5.66249420105946,5.13494913227387,5.39872166666667,0.38869513372857,47.0574171564255,5.3571992,5.41417548910277,1.59879625615829,NA
"10400503","2001-09-18",11.4615979773103,0.23147222222222,0.248093304843304,0.410256935259774,5.65534447721534,5.15921018945132,5.40727733333333,0.427101725832469,50.8239031994825,5.3545324,5.4056187572224,1.37270925559301,NA
"10400502","2001-09-19",11.6897808098181,0.305555555555554,0.179009259259258,0.261702660412412,5.63363594293684,5.21447472372983,5.42405533333333,0.567200873337685,52.0008877440853,5.3655992,5.40175892292608,1.21936363356043,NA
"10400501","2001-09-20",11.7991529099262,0.2685,0.268509259259258,0.231870607787273,5.59624731750803,5.27864068249197,5.437444,0.35060975400928,51.3390041109473,5.3747992,5.39663506653594,1.06564405577803,NA
"10400500","2001-09-21",11.0351219043025,0,0.191351851851851,0.212956790123456,5.581578892255,5.30064277441166,5.44111083333333,-0.0418343305299605,44.7485438383295,5.3595992,5.37308372433115,0.720558186954667,NA
"10400499","2001-09-24",10.6664869962519,0,0.0894999999999999,0.18312037037037,5.60059013976393,5.27163152690274,5.43611083333333,-0.200860709076361,42.5593584276312,5.356266,5.34556189442033,0.361628982457729,1.40389047206964
"10400498","2001-09-25",10.2271556344698,0.0941956521739132,0.0313985507246375,0.104083467525496,5.61284702281947,5.24170797718053,5.4272775,-0.00759278015516245,44.9172354767385,5.3593328,5.32748697516428,0.140166885782689,1.15114575481225
