"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"10523369","2018-06-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10523368","2018-06-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10523367","2018-06-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10523366","2018-07-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10523365","2018-07-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10523364","2018-07-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10523363","2018-07-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10523362","2018-07-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10523361","2018-07-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10523360","2018-07-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10523359","2018-07-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10523358","2018-07-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10523357","2018-07-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10523356","2018-07-17",NA,0.258802816901409,NA,NA,NA,NA,NA,NA,NA,NA,20.5047142857143,NA,NA
"10523355","2018-07-18",NA,0.122807017543859,NA,NA,NA,NA,NA,NA,62.9253203711887,NA,20.5040857142857,NA,NA
"10523354","2018-07-19",NA,0.310924369747899,0.230844734731056,NA,NA,NA,NA,NA,65.0068978793032,NA,20.5368742857143,NA,NA
"10523353","2018-07-20",NA,0.310924369747899,0.248218585679885,NA,NA,NA,NA,NA,65.0068978793032,NA,20.565291047619,NA,NA
"10523352","2018-07-23",NA,0.327731092436974,0.316526610644257,0.265196643685066,NA,NA,NA,NA,65.3677137989881,NA,20.5952522412698,NA,NA
"10523351","2018-07-24",NA,0.310924369747899,0.316526610644257,0.293757268989466,NA,NA,NA,NA,64.6498280954705,NA,20.6158852757672,NA,NA
"10523350","2018-07-25",NA,0.0552763819095475,0.23131061469814,0.288121278662218,21.6201438687806,20.2681894645527,20.9441666666667,0.0614990183992791,54.498126907592,NA,20.5497672389982,NA,NA
"10523349","2018-07-26",NA,0,0.122066917219149,0.223301380853849,21.6514252303,20.1199081030333,20.8856666666667,-0.0434698172907971,48.7415110382656,NA,20.4337982737985,NA,NA
"10523348","2018-07-27",NA,0.154589371980676,0.0699552512967413,0.14111092773801,21.4168446598756,20.1675553401244,20.7922,-0.000711343196229092,52.658144545063,NA,20.3759585039587,NA,NA
"10523347","2018-07-30",NA,0.154589371980676,0.103059581320451,0.0983605832787803,21.4441475376441,20.0732857956892,20.7587166666667,0.0510974487800753,52.658144545063,NA,20.3258307034309,NA,NA
"10523346","2018-07-31",NA,0.154589371980676,0.154589371980676,0.109201401532623,21.4701894397924,19.9972438935409,20.7337166666667,0.0923927161725426,52.658144545063,NA,20.2823866096401,NA,NA
