"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"10635167","2019-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10635166","2019-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10635165","2019-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10635164","2019-09-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10635163","2019-09-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10635162","2019-09-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10635161","2019-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10635160","2019-10-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10635159","2019-10-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10635158","2019-10-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10635157","2019-10-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10635156","2019-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10635155","2019-10-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10635154","2019-10-10",NA,0.0441176470588236,NA,NA,NA,NA,NA,NA,NA,NA,1.34785714285714,NA,NA
"10635153","2019-10-11",NA,0.0508474576271187,NA,NA,NA,NA,NA,NA,13.8461538461539,NA,1.32280952380952,NA,NA
"10635152","2019-10-14",NA,0.0526315789473685,0.0491988945444369,NA,NA,NA,NA,NA,13.8461538461539,NA,1.30110158730159,NA,NA
"10635151","2019-10-15",NA,0.0701754385964913,0.0578848250569928,NA,NA,NA,NA,NA,15.3564081924694,NA,1.28362137566138,NA,NA
"10635150","2019-10-16",NA,0.140350877192983,0.0877192982456141,0.0649343392823479,NA,NA,NA,NA,21.2993110683239,NA,1.27380519223986,NA,NA
"10635149","2019-10-17",NA,0.245283018867925,0.1519364448858,0.0991801893961355,NA,NA,NA,NA,28.09535519703,NA,1.27196449994121,NA,NA
"10635148","2019-10-18",NA,0.285714285714286,0.223782727258398,0.154479490129937,1.73588714401062,0.943446189322718,1.33966666666667,0.445737282070516,27.5823478715366,NA,1.26903589994905,NA,NA
"10635147","2019-10-21",NA,0.605263157894737,0.378753487492316,0.251490886545504,1.68987722847581,0.961456104857521,1.32566666666667,0.61577551858247,40.4609398243102,NA,1.28116444662251,NA,NA
"10635146","2019-10-22",NA,0.708333333333333,0.533103592314119,0.378546602354944,1.6594198326264,0.977246834040266,1.31833333333333,0.805396627783747,50.7505431442761,NA,1.30767585373951,NA,NA
"10635145","2019-10-23",NA,0.760869565217391,0.69148868548182,0.534448588429418,1.64042022835516,0.987246438311503,1.31383333333333,0.84625802522105,52.9401776712657,NA,1.33465240657424,NA,NA
