"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"10790740","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10790739","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10790738","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10790737","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10790736","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10790735","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10790734","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10790733","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10790732","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10790731","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10790730","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10790729","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10790728","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10790727","2001-08-20",NA,0.698014639837289,NA,NA,NA,NA,NA,NA,NA,NA,11.851185,NA,NA
"10790726","2001-08-21",NA,0.643564356435643,NA,NA,NA,NA,NA,NA,57.6388888888888,NA,11.901327,NA,NA
"10790725","2001-08-22",NA,0.648520013628057,0.663366336633663,NA,NA,NA,NA,NA,57.7968643172353,NA,11.9454234,NA,NA
"10790724","2001-08-23",NA,0.742574257425743,0.678219542496481,NA,NA,NA,NA,NA,60.7858691378701,NA,11.9957869466667,NA,NA
"10790723","2001-08-24",NA,0.678212659639269,0.689768976897689,0.677118285342611,NA,NA,NA,NA,57.7706277454903,NA,12.0311233537778,NA,NA
"10790722","2001-08-27",NA,0.594059405940594,0.671615441001868,0.679867986798679,NA,NA,NA,NA,53.9989583610028,NA,12.0508802399407,NA,NA
"10790721","2001-08-28",NA,0.499994837857092,0.590755634478985,0.650713350792847,12.5414484246946,11.6279092419721,12.0846788333333,0.622820311146685,50.0644051165109,NA,12.0558548746153,NA,NA
"10790720","2001-08-29",NA,0.460401201746869,0.518151815181518,0.59350763022079,12.5448493766304,11.6286642900363,12.0867568333333,0.601012886319779,48.463702554834,NA,12.0550528913333,NA,NA
"10790719","2001-08-30",NA,0.586384233225966,0.515593424276642,0.541500291312382,12.5630363231074,11.6406853435593,12.1018608333333,0.680996717845734,54.3581585200416,NA,12.0735365058222,NA,NA
"10790718","2001-08-31",NA,0.670103092783506,0.57229617591878,0.53534713845898,12.5935447072919,11.6566876260414,12.1251161666667,0.774499890979516,57.4993351863158,NA,12.1010636383792,NA,NA
"10790717","2001-09-04",NA,0.556450663482402,0.604312663163957,0.564067421119793,12.6177905677325,11.6957360989341,12.1567633333333,0.796594914856878,59.6589050148626,NA,12.1332324865953,NA,NA
"10790716","2001-09-05",NA,0.499982021502284,0.57551192592273,0.584040255001822,12.6342097129155,11.7339796204179,12.1840946666667,0.737911768467025,58.9147316684197,12.0168448,12.1591934883826,NA,NA
"10790715","2001-09-06",NA,0.560335838337351,0.538922841107345,0.572915810064677,12.6521690582495,11.7687652750838,12.2104671666667,0.743349837031811,60.1631469814044,12.0306544,12.1861690232649,1.55446577931826,NA
"10790714","2001-09-07",NA,0,0.353439286613212,0.489291351214429,12.6305327395191,11.8052659271476,12.2178993333333,0.07943783174481,35.5624202046476,12.0245168,12.1149264868296,1.066982397838,NA
"10790713","2001-09-10",31.5681176628235,0,0.186778612779117,0.359713580166558,12.6623277583945,11.7571682416055,12.209748,-0.171091288772512,32.2084073968725,12.0164612,12.0308069552523,0.560298045850938,NA
"10790712","2001-09-17",32.4391442675446,0,-3.70074341541719e-17,0.180072633130776,12.7600088736105,11.6085007930562,12.1842548333333,-0.249673274474818,27.1633482602376,11.9974732,11.9169860278853,-0.0506125339128416,NA
"10790711","2001-09-18",33.5699653107221,0,-3.70074341541719e-17,0.0622595375930386,12.855884921186,11.4458144121474,12.1508496666667,-0.164467717981091,25.0503739611072,11.9723472,11.7978812241673,-0.637131789194623,NA
"10790710","2001-09-19",35.0513924585934,0,-3.70074341541719e-17,-3.88578058618805e-16,12.9550141991517,11.2359211341816,12.0954676666667,-0.123445595726727,22.2025856278128,11.9362888,11.6633303942783,-1.25573163671671,NA
"10790709","2001-09-20",37.2804365953845,0,-3.70074341541719e-17,-3.88578058618805e-16,13.1212074578905,10.8788865421095,12.000047,-0.206993806659372,16.509922744103,11.8743372,11.4584916750412,-2.19414379873764,NA
"10790708","2001-09-21",39.3502632938334,0.0270792490580958,0.00902641635269855,0.00300880545089914,13.2232343144073,10.575310018926,11.8992721666667,-0.0938382891144867,18.7849268494584,11.817948,11.2899154517024,-2.87459090317428,NA
"10790707","2001-09-24",40.7483736505467,0.0676961057191958,0.0315917849257638,0.0135394004261538,13.2565673652163,10.3508163014503,11.8036918333333,0.0263983494111138,22.2089095227178,11.760216,11.1572413914754,-3.31571653717687,-0.794020108433973
"10790706","2001-09-25",42.0466189817804,0.121854603835387,0.072209986204226,0.0376093958275624,13.2528198416893,10.1761891583107,11.7145045,0.108185720877775,26.6495217812413,11.7111152,11.0601585392787,-3.53505653937858,-1.34222739462289
"10790705","2001-09-26",43.4519625011308,0.0638316754201261,0.0844607949915694,0.0627541887071861,13.2274244498921,10.0102638834412,11.6188441666667,0.127712861928653,25.0028031096106,11.6420676,10.9568414007082,-3.77704074341486,-1.82919006438129
"10790704","2001-09-27",44.7569243405275,0.123790852837009,0.10315904403084,0.0866099417422116,13.1595637916037,9.88888187506292,11.5242228333333,0.190100456358248,29.8282028304011,11.570526,10.8871185472804,-3.82025677053103,-2.22740340561124
"10790703","2001-09-28",43.1600559223049,0.124503868077337,0.104042132111491,0.0972206570446331,13.0757582596223,9.81253440704435,11.4441463333333,0.272706470602465,29.7616088625436,11.4986008,10.8260520743097,-3.81735157176364,-2.54539303884172
"10790702","2001-10-01",41.7592781955358,0.110671936758893,0.119655552557746,0.108952242900025,12.9888586628468,9.73080967048651,11.3598341666667,0.257997039992698,29.2695809872052,11.4232236,10.7686531310684,-3.7991631399467,-2.79614705906271
"10790701","2001-10-02",40.4585560206787,0.215384121774922,0.150186642203717,0.124628108957651,12.8915820792741,9.67480625405924,11.2831941666667,0.307535805941555,36.0969804880652,11.3580116,10.7457593802593,-3.59389045761388,-2.95569573877295
"10790700","2001-10-03",39.3686760939004,0.249297527178834,0.191784528570883,0.153875574444115,12.7830912201999,9.62777877980006,11.205435,0.315766263728124,35.3103348503204,11.2908812,10.7201634628914,-3.42486430551244,-3.04952945212085
"10790699","2001-10-04",38.2426046006176,0.336568443502558,0.267083364152104,0.203018178308901,12.6402010367225,9.61179496327753,11.125998,0.352749381736844,37.745305214907,11.222984,10.7075710011725,-3.2003593673388,-3.07969543516444
"10790698","2001-10-05",37.7372376691284,0.209150326797386,0.265005432492926,0.241291108405304,12.4523733624731,9.61501563752693,11.0336945,0.324667449474984,34.0634199457148,11.1499084,10.6710842010162,-3.13170110594284,-3.09009656932012
