"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"10912710","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10912709","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10912708","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10912707","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10912706","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10912705","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10912704","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10912703","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10912702","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10912701","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10912700","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10912699","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10912698","2001-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10912697","2001-08-20",NA,0.734042553191489,NA,NA,NA,NA,NA,NA,NA,NA,2.81821428571429,NA,NA
"10912696","2001-08-21",NA,0.97872340425532,NA,NA,NA,NA,NA,NA,61.878453038674,NA,2.84111904761905,NA,NA
"10912695","2001-08-22",NA,0.734042553191489,0.815602836879433,NA,NA,NA,NA,NA,54.4299065420561,NA,2.84563650793651,NA,NA
"10912694","2001-08-23",NA,1,0.904255319148936,NA,NA,NA,NA,NA,60.2543201825888,NA,2.86688497354497,NA,NA
"10912693","2001-08-24",NA,0.181818181818181,0.638620245003224,0.786159467010531,NA,NA,NA,NA,49.5083438089999,NA,2.85796697707231,NA,NA
"10912692","2001-08-27",NA,0.0980392156862742,0.426619132501485,0.656498232217882,NA,NA,NA,NA,49.5083438089999,NA,2.850238046796,NA,NA
"10912691","2001-08-28",NA,0,0.0932857991681518,0.386175058890953,3.0531815421511,2.6498184578489,2.8515,0.388851173847766,44.3611148337345,NA,2.8282063072232,NA,NA
"10912690","2001-08-29",NA,0.246575342465753,0.114871519384009,0.211592150351215,3.05386821277125,2.65663178722875,2.85525,0.486783689353688,48.8436527260152,NA,2.82111213292678,NA,NA
"10912689","2001-08-30",NA,0.904109589041097,0.383561643835617,0.197239654129259,3.07483896026662,2.66016103973338,2.8675,0.86775529259888,58.455601382616,NA,2.84696384853654,NA,NA
"10912688","2001-08-31",NA,0.876712328767123,0.675799086757991,0.391410749992539,3.08847870706136,2.67202129293864,2.88025,0.799550436057887,57.9668756011651,NA,2.86803533539833,NA,NA
"10912687","2001-09-04",NA,0.452054794520548,0.744292237442923,0.601217656012177,3.04546853598882,2.74886479734452,2.89716666666667,0.509552588063398,50.8678480203822,NA,2.86563062401189,NA,NA
"10912686","2001-09-05",NA,0.726027397260275,0.684931506849315,0.701674277016743,3.04213617605452,2.77136382394548,2.90675,0.659728272340676,54.7206128122409,2.8482,2.87687987414364,NA,NA
"10912685","2001-09-06",NA,0.726027397260275,0.634703196347033,0.687975646879757,3.04038062770521,2.78895270562813,2.91466666666667,0.640530665971538,54.7206128122408,2.8552,2.88662922425782,1.48651265043664,NA
"10912684","2001-09-07",NA,0.767123287671233,0.739726027397261,0.686453576864536,3.04211029110012,2.80122304223321,2.92166666666667,0.679890523625327,55.329986114658,2.8628,2.89707866102344,1.568950537907,NA
"10912683","2001-09-10",25.7356886992829,0.767123287671233,0.753424657534247,0.709284627092847,3.04380794741379,2.81185871925288,2.92783333333333,0.660236216181246,55.329986114658,2.8714,2.90613483955365,1.61469289902687,NA
"10912682","2001-09-17",26.9258354854944,0.589041095890411,0.707762557077626,0.733637747336378,3.04238899857404,2.81727766809263,2.92983333333333,0.367472982059436,51.8247932023957,2.8862,2.9053168609465,1.45347448831274,NA
"10912681","2001-09-18",28.0309717869765,0.589041095890411,0.648401826484018,0.703196347031964,3.04187449148713,2.8199588418462,2.93091666666667,0.360682801250419,51.8247932023957,2.8922,2.90460794615363,1.31064220242687,NA
"10912680","2001-09-19",30.7228800398453,0,0.392694063926941,0.582952815829528,3.08700933356628,2.74549066643372,2.91625,-0.328407621293667,35.6887076774904,2.8812,2.85066021999981,0.074641578839163,NA
"10912679","2001-09-20",33.2225091317949,0.136363636363637,0.241801577418016,0.427632489276325,3.11859489399702,2.67707177266965,2.89783333333333,-0.197207730385396,39.4928212005234,2.8712,2.81390552399984,-0.699183523005664,NA
"10912678","2001-09-21",35.6134034124413,0.0909090909090906,0.0757575757575758,0.236751072367511,3.14103764570758,2.61212902095909,2.87658333333333,-0.117466454604775,38.6716710079425,2.8602,2.77871812079986,-1.3784384039236,NA
"10912677","2001-09-24",33.7819176401892,0.0943396226415091,0.107204116638079,0.141587756604557,3.14104637214599,2.58945362785401,2.86525,0.182283710557233,38.6716710079425,2.8478,2.74822237135988,-1.9037374532766,0.391950552971492
"10912676","2001-09-25",31.7528928796746,0.849056603773586,0.344768439108062,0.175910043834572,3.13879733289518,2.59003600043816,2.86441666666667,0.698477298280118,55.7460759089945,2.8508,2.77512605517856,-1.13595244848271,0.086369952680651
"10912675","2001-09-26",29.8687984591967,1,0.647798742138365,0.366590432628169,3.15385863201411,2.58864136798589,2.87125,0.76317313618462,57.9522990289161,2.855,2.80777591448809,-0.326458242424132,0.00380431365969432
"10912674","2001-09-27",28.1192822116101,1,0.949685534591195,0.647417571945874,3.15610013883997,2.58789986116003,2.872,0.760471537614008,57.9522990289161,2.8578,2.83607245922301,0.304634243680013,0.0639702996637581
"10912673","2001-09-28",26.666680801605,0.951923076923077,0.983974358974359,0.860486211901306,3.16734345271841,2.58882321394826,2.87808333333333,0.704976983321143,56.7798255334165,2.8586,2.85726279799327,0.720636623359905,0.195303564402987
"10912672","2001-10-01",25.3178366351718,0.951923076923077,0.967948717948718,0.967202870504758,3.17770885054572,2.59029114945428,2.884,0.688962640713341,56.7798255334165,2.8634,2.87562775826084,1.03525046115518,0.363292943753426
"10912671","2001-10-02",25.9712882339176,0.288461538461538,0.730769230769231,0.894230769230769,3.17832114710601,2.58567885289399,2.882,0.305391322118375,42.8914477077672,2.8498,2.84554405715939,0.309270267463546,0.35248840849545
"10912670","2001-10-03",26.5780647184673,0.951923076923077,0.730769230769231,0.80982905982906,3.18935999881492,2.58930666785175,2.88933333333333,0.67887298977417,54.7982990199141,2.8546,2.86547151620481,0.699460515594996,0.421882829915359
"10912669","2001-10-04",27.3378011635702,0.865384615384616,0.701923076923077,0.721153846153846,3.18292481235871,2.59040852097462,2.88666666666667,0.635017384607473,53.2390894186484,2.8524,2.87674198071083,0.869953583229433,0.511496980578174
"10912668","2001-10-05",28.0432707197372,0.961538461538461,0.926282051282051,0.786324786324787,3.18228314368328,2.59055018965005,2.88641666666667,0.691950325833897,54.7787402917067,2.8604,2.89317638328272,1.13045194758972,0.635287973980482
"10912667","2001-10-08",28.440495011881,1,0.942307692307692,0.856837606837607,3.19463502409653,2.59069830923681,2.89266666666667,0.719117881190696,55.5665191424501,2.8694,2.91075286551169,1.38808184939971,0.785846749064329
"10912666","2001-10-09",28.4452508961133,1,0.987179487179487,0.951923076923077,3.20801591316495,2.58831742016838,2.89816666666667,0.76114850231567,56.7036888345523,2.8844,2.93065248344347,1.66691275390241,0.962059950031944
"10912665","2001-10-10",29.8122035037834,0.363636363636364,0.787878787878788,0.905788655788656,3.20318962178932,2.58481037821068,2.894,0.455798430142718,45.5775546559502,2.8834,2.90656548565101,1.02028823659481,0.973705607344518
"10912664","2001-10-11",31.0815166394771,0.981818181818181,0.781818181818182,0.852292152292152,3.21980746309893,2.58069253690107,2.90025,0.796894959297598,55.8172613902041,2.8864,2.93102342089754,1.43062766506532,1.06509001888868
"10912663","2001-10-12",32.2601645511927,0.977777777777777,0.774410774410774,0.781369248035915,3.23562493406338,2.57737506593662,2.9065,0.778769520337624,55.8172613902041,2.8898,2.9522202981112,1.73154610864299,1.19838123683954
"10912662","2001-10-15",33.8443962956051,0.600000000000001,0.853198653198653,0.80314253647587,3.244908136949,2.57975852971767,2.91233333333333,0.656856941955686,51.215448732653,2.8938,2.95192425836304,1.56800774157257,1.27230653778615
"10912661","2001-10-16",35.3154686297023,0.600000000000001,0.725925925925926,0.784511784511784,3.2502883569244,2.58254497640893,2.91641666666667,0.597717179838802,51.215448732653,2.8938,2.9516676905813,1.42204900198508,1.30225503062593
"10912660","2001-10-17",36.6814643685068,0.600000000000001,0.6,0.726374859708193,3.23992817782727,2.62457182217273,2.93225,0.528845074625286,51.215448732653,2.8938,2.95144533183713,1.29151741958222,1.30010750841719
"10912659","2001-10-18",37.9498889831111,0.600000000000001,0.6,0.641975308641976,3.21483620733347,2.68566379266653,2.95025,0.499527564186886,51.215448732653,2.8932,2.95125262092551,1.17455297470257,1.27499660167427
"10912658","2001-10-19",37.1857404813696,0.75,0.65,0.616666666666667,3.16965455450971,2.78151211215696,2.97558333333333,0.708900971617125,53.9510458776807,2.8956,2.96108560480211,1.27173806405234,1.27434489414988
"10912657","2001-10-22",36.4761740154668,0.812500000000001,0.720833333333334,0.656944444444445,3.14515039372952,2.84601627293715,2.99558333333333,0.815633223039112,55.7331846962311,2.9026,2.9762741908285,1.46654077881154,1.31278407108221
"10912656","2001-10-23",36.2466621804384,0.625,0.729166666666667,0.7,3.14614160872842,2.84769172460492,2.99691666666667,0.510331159425266,52.4539258434808,2.9066,2.97943763205136,1.40052434673668,1.33033212621311
"10912655","2001-10-24",36.033544047912,0.625,0.6875,0.7125,3.14477705987677,2.84705627345656,2.99591666666667,0.513715311525374,52.4539258434808,2.9266,2.98217928111118,1.33271424362571,1.33080854969563
"10912654","2001-10-25",36.4921607560333,0.3125,0.520833333333333,0.645833333333333,3.14304166096671,2.83845833903329,2.99075,0.256771536724104,47.0974699456634,2.9386,2.96788871029636,0.929502014184558,1.25054724259341
"10912653","2001-10-26",36.9180191278602,0.625,0.520833333333333,0.576388888888889,3.14324115583371,2.83859217749963,2.99091666666667,0.529815735417868,52.3388835361972,2.9566,2.97217021559018,0.938496814634115,1.18813715700155
"10912652","2001-10-29",38.0820851603048,0.175,0.370833333333333,0.470833333333333,3.14494046510266,2.82539286823067,2.98516666666667,0.170888882607384,45.3682647559762,2.9674,2.95188085351149,0.450189266716094,1.04054757894446
"10912651","2001-10-30",39.1630036190034,0.545454545454546,0.448484848484848,0.446717171717172,3.1212470696239,2.87241959704277,2.99683333333333,0.512726354665816,52.2210643602076,2.9694,2.95829673970995,0.547967881434963,0.942031639442563
"10912650","2001-10-31",38.0416626601568,0.473684210526316,0.39804625199362,0.405788144603934,3.12841577206367,2.87225089460299,3.00033333333333,0.758947807329734,52.2210643602076,2.9686,2.96385717441529,0.617988742094,0.87722305997285
"10912649","2001-11-01",37.000417484085,0.907894736842105,0.642344497607655,0.496291866028708,3.15587995342076,2.86462004657924,3.01025,1.0313123995614,57.8428591833021,2.9744,2.99067621782659,1.10699685695952,0.923177819370184
"10912648","2001-11-02",35.2632249862806,0.802325581395349,0.72796817625459,0.589452975285289,3.18579974128383,2.8540335920495,3.01991666666667,1.02270753682039,57.8428591833021,2.9812,3.01391938878304,1.47271446430497,1.03308514835714
"10912647","2001-11-05",33.6501176668909,0.825581395348837,0.845267237862097,0.738526637241447,3.21221986815816,2.84511346517517,3.02866666666667,0.966713007294699,58.1886536939916,2.9884,3.03539680361197,1.76495892041788,1.17945990276929
"10912646","2001-11-06",32.1522322988861,1,0.875968992248062,0.816401468788249,3.24536732089129,2.83096601244205,3.03816666666667,1.0111792096556,60.7865844126948,3.0124,3.06401056313037,2.16556099570286,1.376680121356
"10912645","2001-11-07",30.9051476133448,0.639705882352941,0.821762425900592,0.84766621867025,3.29114675536961,2.83218657796372,3.06166666666667,1.09918052488636,60.9607364079398,3.0228,3.08947582137966,2.46200895965114,1.59374588901503
"10912644","2001-11-08",29.9624285519923,0.888111888111888,0.842605923488276,0.846779113878977,3.37492759154859,2.78757240845142,3.08125,1.18172832757725,67.229980228104,3.043,3.13821237852904,3.16993677170379,1.90898406555278
"10912643","2001-11-09",29.6109095131087,0.84472049689441,0.790846089119746,0.818404812836205,3.45962525129788,2.74804141536879,3.10383333333333,1.11529409638946,68.4573595183668,3.063,3.1864507280585,3.78538111554299,2.28426347555082
"10912642","2001-11-12",29.2844989770025,0.93167701863354,0.888169801213279,0.840540604607101,3.54140102440254,2.72276564226413,3.13208333333333,1.04918629605155,70.3196253537872,3.0848,3.23759063098403,4.38105617226501,2.70362201489366
"10912641","2001-11-13",27.6927727674301,0.559006211180124,0.778467908902691,0.819161266411906,3.56906571372315,2.73510095294352,3.15208333333333,0.775291408139006,55.2614103832653,3.0932,3.24191188018616,4.05291244118209,2.97348010015135
"10912640","2001-11-14",26.114134846174,0.736559139784946,0.742414123199537,0.803017277771836,3.63048789403259,2.73734543930074,3.18391666666667,0.950935903747757,62.1066844640279,3.1234,3.27699029616134,4.32090476850151,3.24296503382138
"10912639","2001-11-15",25.088964921864,1,0.76518845032169,0.762023494141306,3.74194311972569,2.71389021360764,3.22791666666667,1.08565403565349,69.1392687704951,3.153,3.35072492333983,5.24610549088762,3.64359312523463
"10912638","2001-11-16",23.6765244807926,0.637755102040816,0.791438080608587,0.766346884709938,3.81612150034001,2.70837849965999,3.26225,0.934291467459519,61.3987977075537,3.1744,3.38729493356118,5.4034381702083,3.99556213422936
"10912637","2001-11-19",22.3349028981301,0.751269035532995,0.79634137919127,0.784322636707183,3.89722757350169,2.70043909316498,3.29883333333333,0.936863607833386,63.844194369448,3.206,3.43432227575303,5.72163598848154,4.3407769050798
