"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"10989319","2016-08-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10989318","2016-08-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10989317","2016-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10989316","2016-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10989315","2016-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10989314","2016-08-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10989313","2016-08-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10989312","2016-08-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10989311","2016-08-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10989310","2016-08-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10989309","2016-08-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10989308","2016-08-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10989307","2016-08-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10989306","2016-08-30",NA,0.166906889593543,NA,NA,NA,NA,NA,NA,NA,NA,27.7325,NA,NA
"10989305","2016-08-31",NA,0.276448544249063,NA,NA,NA,NA,NA,NA,52.2873392680514,NA,27.6975,NA,NA
"10989304","2016-09-01",NA,0.432113000864803,0.291822811569136,NA,NA,NA,NA,NA,55.4878265190233,NA,27.7391666666667,NA,NA
"10989303","2016-09-02",NA,0.54849859580903,0.419020046974299,NA,NA,NA,NA,NA,60.9242584745763,NA,27.9139444444444,NA,NA
"10989302","2016-09-06",NA,0.54849859580903,0.509703397494288,0.406848752012574,NA,NA,NA,NA,60.9242584745763,NA,28.0654185185185,NA,NA
