"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"10994120","2021-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10994119","2021-01-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10994118","2021-01-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10994117","2021-01-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10994116","2021-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10994115","2021-01-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10994114","2021-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10994113","2021-01-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10994112","2021-01-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10994111","2021-01-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10994110","2021-01-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10994109","2021-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10994108","2021-01-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10994107","2021-01-29",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,39.0558357142857,NA,NA
"10994106","2021-02-01",NA,0,NA,NA,NA,NA,NA,NA,41.5306799561231,NA,38.5897242857143,NA,NA
"10994105","2021-02-02",NA,0.110986547085201,0.0369955156950671,NA,NA,NA,NA,NA,45.4674187935204,NA,38.3177610476191,NA,NA
"10994104","2021-02-03",NA,0.336322869955157,0.149103139013453,NA,NA,NA,NA,NA,52.4652761106769,NA,38.3500595746032,NA,NA
"10994103","2021-02-04",NA,0.481327800829875,0.309545739290078,0.165214797999533,NA,NA,NA,NA,53.9838948292499,NA,38.4420516313228,NA,NA
"10994102","2021-02-05",NA,0.460580912863071,0.426077194549368,0.294908690950966,NA,NA,NA,NA,53.4096563880266,NA,38.5017780804797,NA,NA
"10994101","2021-02-08",NA,0.558782849239281,0.500230520977409,0.411951151605618,42.4753008478087,36.7307024855247,39.6030016666667,0.566206833390429,55.8059688053225,NA,38.6482076697491,NA,NA
"10994100","2021-02-09",NA,0.643153526970954,0.554172429691102,0.493493381739293,42.6032012684399,36.7556953982267,39.6794483333333,0.707590214861253,57.8135656932193,NA,38.8564466471159,NA,NA
"10994099","2021-02-10",NA,0.540802213001383,0.580912863070539,0.54510527124635,42.629781158418,36.7621155082486,39.6959483333333,0.602945822526412,54.5747149131943,NA,38.9382537608338,NA,NA
"10994098","2021-02-11",NA,0.538035961272476,0.573997233748271,0.569694175503304,42.5639153037971,36.7559813628696,39.6599483333333,0.545349172817544,54.485870926045,NA,39.0064865927226,NA,NA
"10994097","2021-02-12",NA,0.466113416320885,0.514983863531581,0.556631320116797,42.3390572504369,36.7738394162297,39.5564483333333,0.473086108912752,52.110560679531,NA,38.9962883803596,NA,NA
"10994096","2021-02-16",NA,0.497014925373134,0.500388100988832,0.529789732756228,42.3427128959548,36.7761837707119,39.5594483333333,0.532435232548755,51.923044853094,38.877268,38.9821165963116,NA,NA
"10994095","2021-02-17",NA,0.549253731343284,0.504127357679101,0.506499774066504,42.3648298705717,36.8224001294283,39.593615,0.514383282613681,53.4997841358242,38.924404,39.0165010501368,0.271222790492009,NA
"10994094","2021-02-18",NA,0.549253731343284,0.5318407960199,0.512118751562611,42.2316796842696,36.8268836490637,39.5292816666667,0.522335409615276,53.4997841358242,38.934004,39.0463009101185,0.300836846313524,NA
"10994093","2021-02-19",9.08687491859456,0.516417910447762,0.538308457711443,0.524758870470148,41.9559103224629,36.8953196775371,39.425615,0.519968354241023,52.2505669694859,38.923404,39.0427941221027,0.27560192396936,NA
"10994092","2021-02-22",10.7964667462442,0.521812080536913,0.529161240775986,0.53310349816911,42.0263284734759,36.8587348598574,39.4425316666667,0.92233745462912,58.9082830660169,38.941904,39.2287549058223,0.541678806444179,NA
"10994091","2021-02-23",13.4252309138522,0.354265402843601,0.464165131276092,0.510544943254507,42.5000457703616,36.5636842296384,39.531865,1.1459851948639,63.2403044681168,39.035504,39.5382542517127,0.967318104504478,NA
"10994090","2021-02-24",16.1121291692602,0.683684794672586,0.519920759351033,0.504415710467704,43.8943927416513,35.7223372583486,39.808365,1.25765944230933,72.9146807115332,39.336704,40.2731536848177,1.98181241306639,NA
"10994089","2021-02-25",17.7412331661545,0.560488346281909,0.532812847932698,0.505632912853274,44.7276227931075,35.6057738735591,40.1666983333333,1.03022529123838,66.901216883889,39.474304,40.762066526842,2.51884894638703,NA
"10994088","2021-02-26",19.9190902977379,0.485308056872038,0.576493732608844,0.543075779964192,45.6304159751471,35.4663073581862,40.5483616666667,1.01865230213465,67.0855722477522,39.588704,41.1951243232631,2.91538410542902,NA
"10994087","2021-03-01",22.4364621841332,0.626326129666012,0.557374177606652,0.555560252716065,47.0556850117153,35.0988716549513,41.0772783333333,1.11619441960251,73.5460637178112,39.835904,41.9504410801613,3.72687570622172,1.49995329364752
"10994086","2021-03-02",24.7740217929288,0.628683693516699,0.580105960018249,0.571324623411248,47.8543366283407,35.4272200383259,41.6407783333333,0.981947813339017,73.6047944445772,40.071504,42.6090489361398,4.30543988391547,2.06105061170111
"10994085","2021-03-03",25.4461129657,0.456581532416503,0.570530451866404,0.569336863163768,48.2460265554516,35.8516967778817,42.0488616666667,0.807759413790148,62.6671766290748,40.287104,42.8878424113212,4.29105571013952,2.5070516313888
"10994084","2021-03-04",25.050837394773,0.315913555992141,0.467059593975114,0.539232001953256,48.5215337536134,36.1911329130532,42.3563333333333,0.723864038892666,55.4184073029553,40.523104,42.8907967564784,3.89756584525658,2.78515447416235
"10994083","2021-03-05",24.274803684302,0,0.257498362802881,0.4316961362148,48.5381570410219,36.1378429589781,42.338,0.248285945607366,38.6956052920689,40.4999,42.0653571889479,2.38272744035988,2.70466906740186
"10994082","2021-03-08",23.5542009531505,0.138786456587328,0.151566670859823,0.292041542545939,48.535125274582,36.148874725418,42.342,0.283200467108704,44.6872205566376,40.5787,41.6259762304215,1.54941034083935,2.47361732208936
"10994081","2021-03-09",22.6230487378168,0.196446530338585,0.111744328975304,0.173603120879336,48.5263129578325,36.2031870421675,42.36475,0.343674674765936,47.004631304708,40.7415,41.3598460663653,1.04044594408834,2.18698304648915
"10994080","2021-03-10",21.1900877963929,0.32651692926584,0.220583305397251,0.161298101744126,48.5716953278464,36.3224713388202,42.4470833333333,0.507585514539528,51.9002574824669,40.9423,41.3878665908499,1.00367059840236,1.9503205568718
"10994079","2021-03-11",20.8453758886785,0.462621521957761,0.328528327187395,0.220285320519983,48.8123132667914,36.5458533998752,42.6790833333333,0.684316966035538,56.4353254074668,41.1439,41.68281771207,1.35312375654166,1.83088119680577
"10994078","2021-03-12",20.5252862600866,0.531009051290647,0.440049167504748,0.329720266696465,49.0326795995748,36.8528204004251,42.94275,0.685052768657953,58.5500502642932,41.3671,42.0744420171273,1.80165074341117,1.82503510612685
"10994077","2021-03-15",21.1426302896078,0.565873281930942,0.519834618393116,0.429470704361753,49.37932801535,37.2350053179833,43.3071666666667,0.778964370245854,59.6260411363844,41.6171,42.4831830815103,2.22442899405821,1.90491388371312
"10994076","2021-03-16",21.8646770796723,0.742876299027824,0.61325287741647,0.524378887771445,50.0204132841544,37.4865867158456,43.7535,0.891992552305564,64.6440594346655,41.9443,43.1894253373089,3.01210349912147,2.12635180679479
"10994075","2021-03-17",22.1238216454753,0.681193429433456,0.663314336797407,0.598800610868998,50.3902692029756,37.9417307970243,44.166,0.801829275920222,61.7631543103124,42.2103,43.6788352923344,3.41119506169616,2.38332045777506
"10994074","2021-03-18",22.3644558851496,0.683204827355012,0.702424851938763,0.65966402205088,50.6307554945093,38.5189111721574,44.5748333333333,0.768483745892623,61.8229020332391,42.5071,44.1069905866898,3.6818313035055,2.64302262692115
"10994073","2021-03-19",22.3373065136399,0.703784570596798,0.689394275795088,0.685044488177086,50.6970774909041,39.2565891757626,44.9768333333333,0.726374369868959,60.0707604293149,42.7839,44.4087251751312,3.75234129863429,2.86488636126378
"10994072","2021-03-22",21.7814911736,0.622270742358079,0.669753380103295,0.687190835945716,50.7175579474445,39.6736087192221,45.1955833333333,0.572837772978078,56.3653895049567,43.0367,44.5208951517804,3.56181551291381,3.00427219159379
"10994071","2021-03-23",20.5043035156321,0.383551673944687,0.569868995633187,0.643005550510523,50.7177220419178,39.6724446247488,45.1950833333333,0.333556315769037,47.1858508554754,43.1599,44.1807757982097,2.78394825985271,2.96020740524557
"10994070","2021-03-24",20.1426680208291,0.195778748180495,0.40053372149442,0.546718699076967,50.8015822172828,39.0289177827171,44.91525,0.116746345591979,41.4654637991464,43.1659,43.5420056917817,1.67053191714241,2.70227230762494
"10994069","2021-03-25",18.8644560472225,0.199657240788346,0.259662554304509,0.410021757144039,50.7637068397565,38.8411264935768,44.8024166666667,0.327575076844947,46.1271660825225,43.2403,43.2164049328775,1.08645845322344,2.37910953674464
"10994068","2021-03-26",17.6775449288735,0.210859728506787,0.202098572491875,0.287431616096935,50.6581803635977,38.6223196364023,44.64025,0.328547091055101,47.7519031574658,43.3483,43.0168842751605,0.729444989297012,2.04917662725511
"10994067","2021-03-29",16.6028029485186,0.324886877828054,0.245134615707729,0.235631914168038,50.1656853927687,38.6146479405646,44.3901666666666,0.418030450749457,50.9870056461662,43.45,43.0119663718058,0.675109225653858,1.77436314693486
"10994066","2021-03-30",16.7183700056266,0.304977375565611,0.28024132730015,0.242491505166585,49.815938267209,38.6513950661243,44.2336666666667,0.523855282615367,50.4002101999988,43.4984,42.978370855565,0.583975928322911,1.53628570321247
"10994065","2021-03-31",17.4753662993793,0.594112399643175,0.407992217678946,0.311122720228942,50.0480006278787,38.5896660387879,44.3188333333333,0.783447241663333,58.1558838580392,43.5384,43.3879214081563,1.11418750349102,1.45186606326818
