"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"11048541","2021-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11048540","2021-01-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11048539","2021-01-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11048538","2021-01-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11048537","2021-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11048536","2021-01-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11048535","2021-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11048534","2021-01-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11048533","2021-01-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11048532","2021-01-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11048531","2021-01-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11048530","2021-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11048529","2021-01-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11048528","2021-01-29",NA,0.0307692307692301,NA,NA,NA,NA,NA,NA,NA,NA,23.6528571428571,NA,NA
"11048527","2021-02-01",NA,0.108527131782946,NA,NA,NA,NA,NA,NA,30.1724137931035,NA,23.5844761904762,NA,NA
"11048526","2021-02-02",NA,0.27906976744186,0.139455376664679,NA,NA,NA,NA,NA,36.6425992779783,NA,23.554546031746,NA,NA
"11048525","2021-02-03",NA,0.58139534883721,0.322997416020672,NA,NA,NA,NA,NA,46.1656441717791,NA,23.5806065608466,NA,NA
"11048524","2021-02-04",NA,0.635658914728683,0.498708010335918,0.320386934340423,NA,NA,NA,NA,47.6855553726394,NA,23.612525686067,NA,NA
"11048523","2021-02-05",NA,0.795275590551183,0.670776618039025,0.497494014798538,NA,NA,NA,NA,51.6737982793888,NA,23.6655222612581,NA,NA
"11048522","2021-02-08",NA,0.859259259259259,0.763397921513041,0.644294183295995,24.4735113349349,23.1207119983985,23.7971116666667,0.815066436799061,54.6154443044842,NA,23.7314526264237,NA,NA
"11048521","2021-02-09",NA,0.812080536912753,0.822205128907731,0.752126556153266,24.5016886482978,23.1088680183689,23.8052783333333,0.857587322658637,55.5859357129422,NA,23.7952589429005,NA,NA
"11048520","2021-02-10",NA,0.846644295302015,0.839328030491342,0.808310360304038,24.5573980680432,23.0935919319568,23.825495,0.845336030187352,56.6150060414993,NA,23.8574244171805,NA,NA
"11048519","2021-02-11",NA,0.879194630872483,0.845973154362417,0.835835437920497,24.5827190340356,23.0826042992977,23.8326616666667,0.858198157041105,57.6110900794532,NA,23.9177678282231,NA,NA
"11048518","2021-02-12",NA,0.791946308724833,0.839261744966444,0.841520976606735,24.6145331177251,23.0741235489416,23.8443283333333,0.784992387022542,54.0302903053365,NA,23.9527321177933,NA,NA
"11048517","2021-02-16",NA,0.906249999999999,0.859130313199105,0.848121737509322,24.6769238807139,23.0493994526194,23.8631616666667,0.891292641966011,59.6410185846451,23.79166,24.0190345020875,NA,NA
"11048516","2021-02-17",NA,0.868682310469314,0.855626206398048,0.851339421521199,24.7645559286638,23.0148607380028,23.8897083333333,0.921725835794238,61.5145663899969,23.81126,24.0898299018092,1.25594263884059,NA
"11048515","2021-02-18",NA,0.879666177963235,0.884866162810849,0.866540894136001,24.857781306213,22.9834153604537,23.9205983333333,0.900420740516577,62.4531074339471,23.84526,24.157852581568,1.3204537154208,NA
"11048514","2021-02-19",28.3977904880826,0.808092552758562,0.85214701373037,0.864213127646422,24.948185726768,22.9756809398987,23.9619333333333,0.843776098549432,60.2382688173805,23.85846,24.2074722373589,1.33224955258757,NA
"11048513","2021-02-22",26.4096003770847,0.793280447970136,0.827013059563977,0.854675412035065,25.0226210686237,22.9840789313763,24.00335,0.791049498475315,60.6674657440489,23.88326,24.2531426057111,1.33249263768713,NA
"11048512","2021-02-23",25.2228919537227,0.603549229799119,0.734974076842606,0.804711383378984,25.0734002155754,23.0222997844246,24.04785,0.723692930730484,56.4054921782468,23.89846,24.2753902582829,1.27448886600841,NA
"11048511","2021-02-24",24.6860897818622,0.456686857032979,0.617838844934078,0.726608660446887,25.1022897565018,23.0806802434982,24.091485,0.66250170860737,52.5804966959842,23.90986,24.2780048905119,1.17337675870008,NA
"11048510","2021-02-25",24.1245726973606,0.341136336901541,0.467124141244547,0.606645687673744,25.0916203778027,23.210016288864,24.1508183333333,0.646602749725585,52.7186128313318,23.92386,24.280937571777,1.08242607981981,NA
"11048509","2021-02-26",23.789100192893,0.142836737608915,0.313553310514479,0.466172098897701,25.054976872177,23.356833127823,24.205905,0.588780273853677,51.4280993037584,23.94946,24.27814589554,0.985691110671238,NA
"11048508","2021-03-01",22.5774685037101,0.264666960741067,0.249546678417175,0.343408043392067,24.9983445664638,23.5361321002029,24.2672383333333,0.638667718505472,54.4313360851468,23.97946,24.2890597761347,0.931523254292177,1.18762717933642
"11048507","2021-03-02",21.4967224740719,0.492857142857142,0.300120280402375,0.28774008977801,24.9304585899322,23.7390180767345,24.3347383333333,0.759009993853365,58.9422847215912,24.02046,24.3205184726501,0.932560886887468,1.13661392084663
"11048506","2021-03-03",20.7343674454808,0.506666666666665,0.421396923421625,0.323687960747058,24.8624418264877,23.9273681735123,24.394905,0.808455202876836,59.8502172383251,24.06606,24.3524493429634,0.93404018937262,1.09609917455183
"11048505","2021-03-04",19.64701098293,0.213333333333334,0.404285714285714,0.375267639369905,24.8179189840808,24.0315576825858,24.4247383333333,0.519407957433374,52.0576170342941,24.11966,24.3507894305683,0.852382376297056,1.04735581490088
"11048504","2021-03-05",19.9033253994077,0,0.24,0.355227545902446,24.7791809181744,24.0934624151589,24.4363216666667,0.0775890562581712,43.2389358470573,24.16006,24.3066841731592,0.673777424775768,0.972640136875854
