"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"11062516","2017-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11062515","2017-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11062514","2017-08-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11062513","2017-08-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11062512","2017-08-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11062511","2017-08-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11062510","2017-08-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11062509","2017-08-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11062508","2017-08-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11062507","2017-08-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11062506","2017-08-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11062505","2017-08-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11062504","2017-08-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11062503","2017-09-01",NA,0.909864797195794,NA,NA,NA,NA,NA,NA,NA,NA,26.2452142857143,NA,NA
"11062502","2017-09-05",NA,0.908817635270541,NA,NA,NA,NA,NA,NA,91.8202764976959,NA,26.5551857142857,NA,NA
"11062501","2017-09-06",NA,0.578410933518648,0.799031121994994,NA,NA,NA,NA,NA,92.4910510901399,NA,27.0638276190476,NA,NA
"11062500","2017-09-07",NA,0.747111401787661,0.744779990192283,NA,NA,NA,NA,NA,92.818719806185,NA,27.6286506031746,NA,NA
"11062499","2017-09-08",NA,0.565802845528455,0.630441726944921,0.7247509463774,NA,NA,NA,NA,90.3132937450623,NA,28.0449638560847,NA,NA
