"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"11237057","2016-06-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11237056","2016-06-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11237055","2016-06-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11237054","2016-06-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11237053","2016-06-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11237052","2016-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11237051","2016-06-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11237050","2016-06-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11237049","2016-06-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11237048","2016-06-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11237047","2016-06-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11237046","2016-06-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11237045","2016-06-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11237044","2016-07-01",NA,0.765342960288809,NA,NA,NA,NA,NA,NA,NA,NA,24.2601428571429,NA,NA
"11237043","2016-07-05",NA,0,NA,NA,NA,NA,NA,NA,36.506248338208,NA,23.9867904761905,NA,NA
"11237042","2016-07-06",NA,0.672661870503597,0.479334943597469,NA,NA,NA,NA,NA,49.9152993562751,NA,23.9992184126984,NA,NA
"11237041","2016-07-07",NA,0.62589928057554,0.432853717026379,NA,NA,NA,NA,NA,49.1383828597748,NA,23.992655957672,NA,NA
