"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"11323086","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11323085","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11323084","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11323083","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11323082","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11323081","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11323080","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11323079","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11323078","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11323077","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11323076","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11323075","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11323074","2001-08-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11323073","2001-08-17",NA,0.185185185185185,NA,NA,NA,NA,NA,NA,NA,NA,24.3307142857143,NA,NA
"11323072","2001-08-20",NA,0.185185185185185,NA,NA,NA,NA,NA,NA,53.2299741602067,NA,24.3199523809524,NA,NA
"11323071","2001-08-21",NA,0.185185185185185,0.185185185185185,NA,NA,NA,NA,NA,53.2299741602067,NA,24.3106253968254,NA,NA
"11323070","2001-08-22",NA,0.37037037037037,0.246913580246913,NA,NA,NA,NA,NA,56.4897657283473,NA,24.3358753439153,NA,NA
"11323069","2001-08-23",NA,0.416666666666667,0.324074074074074,0.252057613168724,NA,NA,NA,NA,56.4897657283473,NA,24.3577586313933,NA,NA
"11323068","2001-08-24",NA,0.5,0.429012345679012,0.333333333333333,NA,NA,NA,NA,56.4897657283473,NA,24.3767241472075,NA,NA
"11323067","2001-08-27",NA,0.537634408602151,0.484767025089606,0.412617814947564,24.8891711956283,24.0304954710384,24.4598333333333,0.546777456863417,56.4897657283473,NA,24.3931609275799,NA,NA
"11323066","2001-08-28",NA,0.736842105263158,0.591492171288436,0.501757180685685,24.9281515035001,24.0415151631666,24.4848333333333,0.836665650189474,59.5252963630149,NA,24.4340728039025,NA,NA
"11323065","2001-08-29",NA,0.589743589743589,0.621406701202966,0.565888632527002,25.1333433887277,23.9316566112723,24.5325,1.23577132015958,65.3780693814988,NA,24.5295297633822,NA,NA
"11323064","2001-08-30",NA,0.868421052631579,0.731668915879442,0.648189262790281,25.4250386974568,23.7919613025432,24.6085,1.25001548435378,71.3308087266993,NA,24.6922591282646,NA,NA
"11323063","2001-08-31",NA,0.672,0.710054880791723,0.687710165958043,25.7150744262286,23.6622589071048,24.6886666666667,1.16477803482757,71.5937952450271,NA,24.837291244496,NA,NA
"11323062","2001-09-04",NA,1,0.846807017543859,0.762843604738341,26.0814123583163,23.4492543083504,24.7653333333333,1.19701994782968,77.6332552105374,24.6044,25.0723190785632,NA,NA
"11323061","2001-09-05",NA,0.744680851063829,0.805560283687943,0.787474060674508,26.2874505786731,23.3732160879935,24.8303333333333,0.969991921050681,66.4932688605638,24.6844,25.1960098680881,2.55620809901131,NA
"11323060","2001-09-06",NA,0.638297872340425,0.794326241134751,0.815564514122185,26.4358999678354,23.3614333654979,24.8986666666667,0.853882523613296,62.4708462899813,24.7384,25.2698752190097,2.50796998501366,NA
"11323059","2001-09-07",27.3239090479099,0.851063829787233,0.744680851063829,0.781522458628841,26.617117910533,23.3765487561337,24.9968333333333,0.890826407231773,66.7970005957464,24.8204,25.4005585231417,2.59761856005696,NA
"11323058","2001-09-10",27.0668191255451,0.872340425531915,0.787234042553191,0.775413711583924,26.771320234118,23.435679765882,25.1035,0.858701728017099,67.204134263712,24.9124,25.5204840533895,2.65169998257317,NA
"11323057","2001-09-17",25.3487225994907,0.571428571428571,0.764944275582573,0.765619723066531,26.8414872945325,23.4811793721341,25.1613333333333,0.690061947123829,58.0115046933619,24.9404,25.5444195129376,2.47538263548981,NA
"11323056","2001-09-18",24.6014850389851,0.238095238095238,0.560621411685241,0.704266576607002,26.8478690351801,23.5551309648199,25.2015,0.509667739326089,49.5037770529892,24.9464,25.4718302445459,2.09043387611729,NA
"11323055","2001-09-19",23.9076215899442,0.238095238095238,0.349206349206349,0.558257345491388,26.833974511237,23.6386921554297,25.2363333333333,0.426036792052569,49.5037770529892,24.9664,25.4089195452731,1.76500132967408,NA
"11323054","2001-09-20",24.3429373354039,0,0.158730158730159,0.356185973207249,26.8295333819201,23.6507999514132,25.2401666666667,0.240934552077657,41.8730393810973,24.9644,25.2543969392367,1.25347769205113,NA
